model,calibration_composite_score,level_weighted_MAE_m,level_weighted_bias_m,level_R2,level_Pearson_r,delta_weighted_MAE_m,delta_weighted_bias_m,selected_for_test,score_improvement_vs_physical
PHYSICAL_ONLY,0.3903953896356315,0.24449005330930923,0.21797276170615273,-0.23690485573045672,0.7150312191760841,0.1476758218929835,0.008881077724068594,True,0.0
RF_RESIDUAL,0.4103243330173357,0.27200015944705075,0.20159540425444566,-0.8750764697183957,0.501464561107328,0.15010588577224837,0.0043514784640528315,False,-0.0510481012603774
XGB_RESIDUAL,1.0412065916371231,0.6742058145493187,-0.6611893989458759,-4.620583814275438,0.7048602611634642,0.1456243104594656,-0.008489455474049612,False,-1.6670565772021915
