number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
19,0.4760418672238613,2026-09-14 00:47:49.469388,2026-09-14 00:47:50.522977,0 days 00:00:01.053589,0.9521326659449174,0.4472629850794635,0.02513907529503959,0.01876250582239851,3,0.5153620609476093,900,0.00016001393444976022,0.5650928191018793,0.7510587670786667,"{""colsample_bytree"": 0.9521326659449174, ""gamma"": 0.4472629850794635, ""huber_slope"": 0.02513907529503959, ""learning_rate"": 0.01876250582239851, ""max_depth"": 3, ""min_child_weight"": 0.5153620609476093, ""n_estimators"": 900, ""reg_alpha"": 0.00016001393444976022, ""reg_lambda"": 0.5650928191018793, ""subsample"": 0.7510587670786667}",COMPLETE
20,0.4954726219238995,2026-09-14 00:47:50.637384,2026-09-14 00:47:51.880044,0 days 00:00:01.242660,0.9611683824219883,0.23946620913792538,0.02907290833944496,0.007700622892894078,3,0.927807683948312,1200,0.00017943376789315068,4.458740544268763,0.8476276706091274,"{""colsample_bytree"": 0.9611683824219883, ""gamma"": 0.23946620913792538, ""huber_slope"": 0.02907290833944496, ""learning_rate"": 0.007700622892894078, ""max_depth"": 3, ""min_child_weight"": 0.927807683948312, ""n_estimators"": 1200, ""reg_alpha"": 0.00017943376789315068, ""reg_lambda"": 4.458740544268763, ""subsample"": 0.8476276706091274}",COMPLETE
21,0.4941863366058177,2026-09-14 00:47:52.025045,2026-09-14 00:47:53.086115,0 days 00:00:01.061070,0.8689134927348372,0.4382590056916815,0.02985489766773272,0.019844751781115166,3,0.5835630743655129,1000,0.0007108571815792395,1.757742501038003,0.8085291147008244,"{""colsample_bytree"": 0.8689134927348372, ""gamma"": 0.4382590056916815, ""huber_slope"": 0.02985489766773272, ""learning_rate"": 0.019844751781115166, ""max_depth"": 3, ""min_child_weight"": 0.5835630743655129, ""n_estimators"": 1000, ""reg_alpha"": 0.0007108571815792395, ""reg_lambda"": 1.757742501038003, ""subsample"": 0.8085291147008244}",COMPLETE
22,0.47871059331140886,2026-09-14 00:47:53.212748,2026-09-14 00:47:54.232092,0 days 00:00:01.019344,0.9604322889961744,0.8946332524015075,0.025306173358134433,0.02207665941555575,2,0.8575654927613161,1000,6.1023562602598455e-06,1.7771738350247535,0.753559893009457,"{""colsample_bytree"": 0.9604322889961744, ""gamma"": 0.8946332524015075, ""huber_slope"": 0.025306173358134433, ""learning_rate"": 0.02207665941555575, ""max_depth"": 2, ""min_child_weight"": 0.8575654927613161, ""n_estimators"": 1000, ""reg_alpha"": 6.1023562602598455e-06, ""reg_lambda"": 1.7771738350247535, ""subsample"": 0.753559893009457}",COMPLETE
23,0.41840479122088836,2026-09-14 00:47:54.362471,2026-09-14 00:47:54.947121,0 days 00:00:00.584650,0.9612182250962089,0.5032711912598625,0.04468159237765091,0.01388324088299158,2,0.5886365353588702,1200,1.4714936007788704e-05,0.5044651852081119,0.7573665652717833,"{""colsample_bytree"": 0.9612182250962089, ""gamma"": 0.5032711912598625, ""huber_slope"": 0.04468159237765091, ""learning_rate"": 0.01388324088299158, ""max_depth"": 2, ""min_child_weight"": 0.5886365353588702, ""n_estimators"": 1200, ""reg_alpha"": 1.4714936007788704e-05, ""reg_lambda"": 0.5044651852081119, ""subsample"": 0.7573665652717833}",PRUNED
24,0.4834397571871501,2026-09-14 00:47:55.077766,2026-09-14 00:47:56.093695,0 days 00:00:01.015929,0.9613664636579764,0.6975068786316845,0.026423273740556263,0.02793454851764319,4,1.0991237608090274,1000,6.092035922714554e-05,0.8585152767216849,0.7992028824253535,"{""colsample_bytree"": 0.9613664636579764, ""gamma"": 0.6975068786316845, ""huber_slope"": 0.026423273740556263, ""learning_rate"": 0.02793454851764319, ""max_depth"": 4, ""min_child_weight"": 1.0991237608090274, ""n_estimators"": 1000, ""reg_alpha"": 6.092035922714554e-05, ""reg_lambda"": 0.8585152767216849, ""subsample"": 0.7992028824253535}",COMPLETE
25,0.4762247080750547,2026-09-14 00:47:56.203633,2026-09-14 00:47:56.983741,0 days 00:00:00.780108,0.7420562429264748,0.6266100400004719,0.024368287816333763,0.014529786896160248,3,1.4369711676215247,800,3.198294863361243e-05,0.6968115395503337,0.7902301486838169,"{""colsample_bytree"": 0.7420562429264748, ""gamma"": 0.6266100400004719, ""huber_slope"": 0.024368287816333763, ""learning_rate"": 0.014529786896160248, ""max_depth"": 3, ""min_child_weight"": 1.4369711676215247, ""n_estimators"": 800, ""reg_alpha"": 3.198294863361243e-05, ""reg_lambda"": 0.6968115395503337, ""subsample"": 0.7902301486838169}",COMPLETE
26,0.8490744992146291,2026-09-14 00:47:57.105020,2026-09-14 00:47:57.898841,0 days 00:00:00.793821,0.916371288546648,0.06117989628015025,0.022356409554313516,0.020509795377187497,2,0.5352852989602459,1400,4.718433425690865e-06,0.5255849579500861,0.8308051312259627,"{""colsample_bytree"": 0.916371288546648, ""gamma"": 0.06117989628015025, ""huber_slope"": 0.022356409554313516, ""learning_rate"": 0.020509795377187497, ""max_depth"": 2, ""min_child_weight"": 0.5352852989602459, ""n_estimators"": 1400, ""reg_alpha"": 4.718433425690865e-06, ""reg_lambda"": 0.5255849579500861, ""subsample"": 0.8308051312259627}",PRUNED
27,0.4704104031751834,2026-09-14 00:47:58.023306,2026-09-14 00:47:58.923456,0 days 00:00:00.900150,0.9920066718554641,0.5968758150746178,0.02606644384074458,0.019231441457641205,3,0.5315678365420665,700,4.138597647978998e-05,0.08407336426128667,0.7121255241300052,"{""colsample_bytree"": 0.9920066718554641, ""gamma"": 0.5968758150746178, ""huber_slope"": 0.02606644384074458, ""learning_rate"": 0.019231441457641205, ""max_depth"": 3, ""min_child_weight"": 0.5315678365420665, ""n_estimators"": 700, ""reg_alpha"": 4.138597647978998e-05, ""reg_lambda"": 0.08407336426128667, ""subsample"": 0.7121255241300052}",COMPLETE
28,0.4658412131082901,2026-09-14 00:47:59.044686,2026-09-14 00:47:59.867670,0 days 00:00:00.822984,0.8746783595466938,0.5472032134827504,0.02044452100895753,0.03274033513613096,3,0.5907502773205582,800,4.056471092567954e-05,0.14260046202597762,0.690848941109347,"{""colsample_bytree"": 0.8746783595466938, ""gamma"": 0.5472032134827504, ""huber_slope"": 0.02044452100895753, ""learning_rate"": 0.03274033513613096, ""max_depth"": 3, ""min_child_weight"": 0.5907502773205582, ""n_estimators"": 800, ""reg_alpha"": 4.056471092567954e-05, ""reg_lambda"": 0.14260046202597762, ""subsample"": 0.690848941109347}",COMPLETE
29,0.4616636203572412,2026-09-14 00:47:59.980695,2026-09-14 00:48:00.966092,0 days 00:00:00.985397,0.8536829216956818,0.6707547577878111,0.025254583450126253,0.024970207068988195,2,1.7327225633383545,900,6.234213813037882e-05,0.8899511348541058,0.6939604300809332,"{""colsample_bytree"": 0.8536829216956818, ""gamma"": 0.6707547577878111, ""huber_slope"": 0.025254583450126253, ""learning_rate"": 0.024970207068988195, ""max_depth"": 2, ""min_child_weight"": 1.7327225633383545, ""n_estimators"": 900, ""reg_alpha"": 6.234213813037882e-05, ""reg_lambda"": 0.8899511348541058, ""subsample"": 0.6939604300809332}",COMPLETE
