year,n,physical_MAE_m,physical_weighted_MAE_m,physical_bias_m,physical_R2,physical_Pearson_r,frozen_weighted_MAE_m,weighted_MAE_skill_vs_frozen
2024,33,0.20994457083831244,0.21918573374943084,-0.1211523489935809,-0.13124981571056704,0.6108051521555193,0.21143881406633774,-0.036639061362983893
2025,36,0.10563671761216635,0.10574910166487352,-0.05709266070574712,0.5985875527353547,0.8237082447793016,0.4077434494946408,0.7406479446918413
2026,24,0.17597379389090406,0.1803039268853737,-0.09112169299744248,0.41376380190284234,0.7618430836133043,1.004655186099478,0.8205315322310788
