horizon,n,mean_actual_lead_days,physical_MAE_m,physical_weighted_MAE_m,physical_RMSE_m,physical_bias_m,physical_R2,physical_Pearson_r,frozen_MAE_m,frozen_weighted_MAE_m,frozen_RMSE_m,weighted_MAE_skill_vs_frozen
1obs,93,10.342122162485063,0.1276632369226449,0.12362579831113411,0.16344080670775768,-0.0051513377762647345,0.8661910092599548,0.934765506018313,0.12956989247312511,0.12599147758011178,0.16332236083398513,0.01877650230328831
1m,92,29.85471014492754,0.2011793010843136,0.19739428576578663,0.2476465262710543,-0.009174381062430948,0.6817161223448951,0.8598817586518406,0.20130434782608922,0.19609127360467546,0.2439351303647873,-0.00664492680963491
3m,86,89.35610465116278,0.18110201435105897,0.1790917635895406,0.227969321613622,0.006986078295582512,0.7230399843587412,0.8884973812129169,0.28930232558140717,0.2793315990676237,0.3628761080140747,0.35885605428341083
6m,78,178.48159722222223,0.2367812270081027,0.2211485975521334,0.2963351364952674,0.020832415843558057,0.5952195995951821,0.8586213636957732,0.4251282051282003,0.4255389185314632,0.5047847980156405,0.48030934910649714
12m,60,366.2177893518518,0.18100873094572686,0.18131528452837836,0.22616842754343972,0.00761560328298477,0.6486013967135038,0.8795858218322608,0.4803333333333285,0.47746116832061597,0.5327163097434419,0.6202512443763284
24m,26,731.4694444444444,0.25337795693925413,0.2440829367755961,0.3039590946705171,0.0710559678195138,-0.9028765591921069,0.6070099595395058,0.9815384615384608,0.9768353334506994,1.0156581799313886,0.7501288820979009
