block_length,n_resamples_valid,skill_median,skill_ci_low,skill_ci_high,mae_improvement_median_m,mae_improvement_ci_low_m,mae_improvement_ci_high_m,probability_skill_positive
5,5000,0.6881886451663504,0.511008691118391,0.7889954302938155,0.33567085873345376,0.179348889113932,0.5081360190469557,1.0
10,5000,0.688761264274715,0.4544065434188844,0.7984813366963281,0.3239061393989217,0.13770613936830903,0.5418880430789532,1.0
15,5000,0.6790949064651519,0.38244442982539545,0.8052888148810393,0.3005343086182257,0.10327382908188891,0.5473670194841609,0.9998
