regime_type,regime,n,level_weighted_MAE_m,level_bias_m,delta_weighted_MAE_m,delta_bias_m
precip_regime,high,18,0.1215462218287148,-0.05383352540076834,0.14943207909381317,0.08828684867187196
precip_regime,low,30,0.19567561485265886,-0.1194413726486952,0.1138628248206406,-0.00531832028168305
precip_regime,normal,45,0.15803592453492035,-0.08195642883242221,0.11910592652218545,-0.04241529068524782
qin_regime,high,21,0.12939867074848482,-0.010153451389734463,0.1311851712709615,0.012879119860881642
qin_regime,low,47,0.19850984584665632,-0.1425076333880981,0.11262147949021245,-0.015811291052383897
qin_regime,normal,25,0.12143777729801672,-0.053168107428346045,0.13847644678091114,-0.000256210032376758
