metric,q025,median,q975
weighted_MAE_m,0.14784211156465676,0.2594434291895415,0.6515468525225268
skill_vs_frozen,-0.29089689338181823,0.48596986471126397,0.7070833482029215
final_level_m,1551.2454240727839,1552.2802539856527,1553.322949210483
