draw,precip_scale,evap_scale,qin_scale,net_unresolved_m_per_day,weighted_MAE_m,skill_vs_frozen,final_level_m
0,1.2423458868850956,2.215097410207996,0.7697471452150346,-0.000277744481207269,0.15641680724813947,0.6900944732254009,1552.3322480243712
1,1.198149732796148,2.31166142245786,0.763494649910433,-0.00027009037945508737,0.3737625703667844,0.25947161116521067,1551.8045988177187
2,1.2184973014084053,2.052543920629194,0.7175292271589029,-0.0002852759510382618,0.19481467487264947,0.614017537488454,1552.7211358749264
3,1.3800059191656553,2.0770404635551243,0.7436708192012876,-0.0002831582304157152,0.5370836934796401,-0.06411330008677862,1553.3784013825057
4,1.4013944624588617,2.2992134590043025,0.7304886246722472,-0.00026995843334382376,0.22155769080603482,0.5610321289112957,1552.7021949696164
5,1.3717765903305479,2.1222055871069365,0.7118153423967152,-0.00026542439778471234,0.4307249091921113,0.1466132557841836,1553.1662593783733
6,1.1766753006450827,2.4024453988683003,0.7497390752741877,-0.00028118670375428125,0.5920939048849084,-0.17310394401730478,1551.3699772453585
7,1.3829426842891328,2.3547332544360033,0.7228100260849536,-0.00026497107495068164,0.1524130874561508,0.6980269640684454,1552.4252096183518
8,1.2348750528331325,2.35775427367211,0.7918188903030415,-0.0002833009919334739,0.3561856411345685,0.2942964334373358,1551.8268972951744
9,1.253666176612784,2.398261337599414,0.71444374176451,-0.0002613955236978179,0.4177688353737863,0.17228286861056596,1551.700661011416
10,1.2048838778003328,2.4163290237469544,0.8041354314241489,-0.00027621758413535563,0.5124864894904725,-0.015379346277374584,1551.5139182934963
11,1.2339261271861646,2.3857503412156524,0.7946875982288298,-0.00028111283935728645,0.40177634078417473,0.20396848186036864,1551.7314490155845
12,1.2226768581595444,2.204791893308305,0.8265710035885929,-0.0002542245844674265,0.15086231867805386,0.7010994715792229,1552.3701004150485
13,1.2214858300642029,2.1053060112752613,0.7838599338942625,-0.00024044894656469174,0.18147663901171904,0.640443924155858,1552.6721802975537
14,1.3944959677352335,2.480223896741911,0.8233562503405979,-0.00024861208350178567,0.18255897127903545,0.6382995206397082,1552.175000708215
15,1.1701841245286453,2.1402598231197323,0.6841103058741014,-0.0002582924641430406,0.2023345528373514,0.5991185519962197,1552.1929920923612
16,1.3426088876233901,2.3441678267180093,0.6880044058373482,-0.00028863522557840885,0.176210627584827,0.6508773684510296,1552.2213249289427
17,1.171237722646716,2.3821325985401516,0.7355295188245984,-0.00026720543388974733,0.5720216952494789,-0.1333352720309895,1551.4132010301746
18,1.154766149117847,2.4465131246157905,0.8323789420420367,-0.0002789198685467666,0.6668912995683405,-0.32129854284940906,1551.2197033852092
19,1.287480446841328,2.203100915808699,0.715143220849512,-0.0002841834647860525,0.15127794867665978,0.7002759920828222,1552.502316360403
20,1.2118079036332712,2.0760404213574213,0.8132904051952935,-0.0002398964068710734,0.21652522023067008,0.5710028633360302,1552.7655009719622
21,1.1842098365079332,2.477700786582242,0.7800785066897523,-0.00027006823052662946,0.6798938197492098,-0.34706017893533936,1551.189039744456
22,1.375331759934242,2.331071893619451,0.7475085935505454,-0.0002889855219085841,0.15559470390964472,0.6917232903113755,1552.4791218177024
23,1.2801221638287144,2.2738302979763056,0.7160462172149838,-0.0002650087914215958,0.17306736709085377,0.6571050483040598,1552.2451359512709
24,1.223660881384308,2.148956739282082,0.7878176448018028,-0.00026534758713770367,0.14987800047185093,0.7030496817744945,1552.5115859061664
25,1.2511730740481466,2.321132391999945,0.6839791569801785,-0.00025475398616912437,0.31098187029221336,0.3838577706207157,1551.927153691655
26,1.3637278545940186,2.4859100390148523,0.7744734052026402,-0.0002712968219945482,0.28272270776288394,0.4398470904638684,1551.9415760954594
27,1.3599996817422404,2.4669201929969153,0.7745225141367973,-0.00024118773395705937,0.2460982597112802,0.5124103850736055,1552.0198195444634
