scenario,year,level_p05_m,level_p50_m,level_p95_m,delta_p50_vs_2026_m,uncertainty_width_p95_p05_m,current_reference_area_km2,water_area_lower_bound_p50_km2,water_area_upper_bound_p50_km2,certain_exposed_area_p50_km2,uncertain_area_p50_km2,direct_coastal_exposed_p50_km2,ams_coastal_exposed_p50_km2,interior_ams_exposed_p50_km2,robust_wet_area_km2,ensemble_or_vertical_sensitive_area_km2,robust_exposed_area_km2,spatially_uncertain_area_km2,level_source
ssp245,2027,1552.3277500864735,1552.6965004835279,1553.0526733481463,-0.07349951647211128,0.7249232616727568,122.0232,112.72080000000001,121.7228,0.3004,9.002,0.29960000000000003,0.0008,0.0,111.0912,1.9300000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2028,1551.892399069565,1552.5049073808239,1553.670280854123,-0.26509261917613003,1.7778817845578487,122.0232,111.09320000000001,120.0952,1.9280000000000002,9.002,1.9264000000000001,0.0016,0.0,111.08840000000001,1.9328,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2029,1551.5230823389093,1552.2687240565365,1553.9705514004397,-0.5012759434634972,2.4474690615304553,122.0232,111.0912,120.09320000000001,1.9300000000000002,9.002,1.9264000000000001,0.0036000000000000003,0.0,111.08760000000001,1.9336,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2030,1551.225733575015,1552.348610031073,1554.0239062558508,-0.42138996892708747,2.7981726808357053,122.0232,111.092,120.09400000000001,1.9292,9.002,1.9264000000000001,0.0028,0.0,111.086,1.9352,0.0,9.002,frozen_key_horizon
ssp245,2031,1550.9178233722266,1551.9765067065928,1554.1620761793508,-0.7934932934072094,3.2442528071242123,122.0232,111.0892,120.0912,1.9320000000000002,9.002,1.9264000000000001,0.0056,0.0,111.0832,1.9380000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2032,1550.3412407690214,1551.867939966115,1554.2599473416324,-0.9020600338849363,3.918706572610972,122.0232,111.08840000000001,120.0904,1.9328,9.002,1.9264000000000001,0.0064,0.0,111.0792,1.9420000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2033,1549.9270711604963,1552.0102947151895,1554.4746903708356,-0.7597052848104795,4.547619210339235,122.0232,111.0892,120.0912,1.9320000000000002,9.002,1.9264000000000001,0.0056,0.0,111.0784,1.9428,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2034,1549.6991073661743,1552.1834287818324,1554.8488869626015,-0.5865712181675917,5.149779596427152,122.0232,111.0904,120.09240000000001,1.9308,9.002,1.9264000000000001,0.0044,0.0,111.0768,1.9444000000000001,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2035,1549.3559018331935,1551.8864238677027,1554.8325172406117,-0.8835761322973212,5.476615407418194,122.0232,111.08840000000001,120.0904,1.9328,9.002,1.9264000000000001,0.0064,0.0,111.07440000000001,1.9468,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2036,1548.8689709239945,1551.9329422315413,1554.5687726579345,-0.8370577684586351,5.699801733939921,122.0232,111.0892,120.0912,1.9320000000000002,9.002,1.9264000000000001,0.0056,0.0,111.0704,1.9508,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2037,1548.6882336898589,1551.682542192588,1553.9707207530732,-1.0874578074119654,5.282487063214376,122.0232,111.08800000000001,120.09,1.9332,9.002,1.9264000000000001,0.0068000000000000005,0.0,111.06920000000001,1.9520000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2038,1548.4087922546933,1551.484400732945,1553.6041535572924,-1.2855992670549767,5.195361302599167,122.0232,111.08760000000001,120.0896,1.9336,9.002,1.9264000000000001,0.007200000000000001,0.0,111.06840000000001,1.9528,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2039,1548.3802690713596,1551.8018483396274,1553.372506668381,-0.9681516603725413,4.992237597021358,122.0232,111.08800000000001,120.09,1.9332,9.002,1.9264000000000001,0.0068000000000000005,0.0,111.0676,1.9536,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2040,1548.1254747549337,1551.9762826163985,1553.3052090482872,-0.7937173836014608,5.1797342933534765,122.0232,111.0892,120.0912,1.9320000000000002,9.002,1.9264000000000001,0.0056,0.0,111.066,1.9552,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2041,1547.6494801749525,1551.9970629971529,1553.1553298099643,-0.7729370028471294,5.505849635011828,122.0232,111.0892,120.0912,1.9320000000000002,9.002,1.9264000000000001,0.0056,0.0,111.06200000000001,1.9592,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2042,1547.5370917059274,1551.7881373752164,1553.1888542553704,-0.9818626247836164,5.651762549442992,122.0232,111.08800000000001,120.09,1.9332,9.002,1.9264000000000001,0.0068000000000000005,0.0,111.0612,1.9600000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2043,1547.4439074296738,1551.4696517889674,1552.9972104096416,-1.3003482110325422,5.553302979967839,122.0232,111.08760000000001,120.0896,1.9336,9.002,1.9264000000000001,0.007200000000000001,0.0,111.0608,1.9604000000000001,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2044,1547.326490550171,1550.923551373627,1553.1970424234676,-1.8464486263728759,5.870551873296563,122.0232,111.0832,120.0852,1.9380000000000002,9.002,1.9264000000000001,0.011600000000000001,0.0,111.0608,1.9604000000000001,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2045,1546.9381659675557,1550.4192709859988,1552.9020340563025,-2.3507290140012174,5.963868088746722,122.0232,111.0792,120.08120000000001,1.9420000000000002,9.002,1.9264000000000001,0.015600000000000001,0.0,111.0584,1.9628,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2046,1546.3992905333644,1550.3414030420836,1552.7105489321148,-2.4285969579163975,6.311258398750397,122.0232,111.0792,120.08120000000001,1.9420000000000002,9.002,1.9264000000000001,0.015600000000000001,0.0,111.0556,1.6744,0.2912,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2047,1545.765757806312,1550.5441575885502,1552.4788485906524,-2.2258424114497757,6.713090784340466,122.0232,111.08,120.08200000000001,1.9412,9.002,1.9264000000000001,0.0148,0.0,111.05080000000001,0.042,1.9284000000000001,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2048,1545.2011119980473,1550.513262074261,1552.1396144073633,-2.2567379257388893,6.9385024093160155,122.0232,111.08,120.08200000000001,1.9412,9.002,1.9264000000000001,0.0148,0.0,111.0492,0.0412,1.9308,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2049,1544.6395477956394,1550.3948263365642,1551.835664856604,-2.3751736634358167,7.196117060964525,122.0232,111.0792,120.08120000000001,1.9420000000000002,9.002,1.9264000000000001,0.015600000000000001,0.0,111.04480000000001,0.0436,1.9328,9.002,annual_mean_by_model_then_ensemble_quantile
ssp245,2050,1544.4745564340274,1550.3365020596582,1551.839102663566,-2.4334979403417947,7.364546229538746,122.0232,111.0792,120.08120000000001,1.9420000000000002,9.002,1.9264000000000001,0.015600000000000001,0.0,111.04400000000001,0.0444,1.9328,9.002,frozen_key_horizon
ssp585,2027,1552.3877247201249,1552.5389676323387,1553.1394832993035,-0.23103236766132795,0.7517585791786132,122.0232,111.09320000000001,120.0952,1.9280000000000002,9.002,1.9264000000000001,0.0016,0.0,111.092,1.9292,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2028,1551.954062268825,1552.4678015484399,1553.4080698925268,-0.30219845156011615,1.4540076237017274,122.0232,111.09280000000001,120.0948,1.9284000000000001,9.002,1.9264000000000001,0.002,0.0,111.0892,1.9320000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2029,1551.3099426927186,1552.2156457172698,1553.4846315329983,-0.5543542827301735,2.174688840279714,122.0232,111.0912,120.09320000000001,1.9300000000000002,9.002,1.9264000000000001,0.0036000000000000003,0.0,111.08640000000001,1.9348,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2030,1550.764842172001,1552.293234566714,1553.5025736984253,-0.47676543328589105,2.7377315264243407,122.0232,111.0912,120.09320000000001,1.9300000000000002,9.002,1.9264000000000001,0.0036000000000000003,0.0,111.08200000000001,1.9392,0.0,9.002,frozen_key_horizon
ssp585,2031,1550.3762595202015,1551.9063293243737,1553.964101115317,-0.8636706756262811,3.5878415951153784,122.0232,111.08840000000001,120.0904,1.9328,9.002,1.9264000000000001,0.0064,0.0,111.0792,1.9420000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2032,1550.2077442608709,1551.9883216242044,1553.5430352340065,-0.7816783757955363,3.3352909731356704,122.0232,111.0892,120.0912,1.9320000000000002,9.002,1.9264000000000001,0.0056,0.0,111.0788,1.9424000000000001,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2033,1550.3001179071077,1551.8711304955589,1553.4143366816945,-0.8988695044411088,3.1142187745867886,122.0232,111.08840000000001,120.0904,1.9328,9.002,1.9264000000000001,0.0064,0.0,111.0792,1.9420000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2034,1550.177340037265,1551.5137072806656,1553.3700472385317,-1.2562927193343967,3.192707201266785,122.0232,111.08760000000001,120.0896,1.9336,9.002,1.9264000000000001,0.007200000000000001,0.0,111.0788,1.9424000000000001,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2035,1549.4745577241883,1551.1684489573454,1553.2306297574708,-1.6015510426545916,3.7560720332824076,122.0232,111.0852,120.08720000000001,1.9360000000000002,9.002,1.9264000000000001,0.009600000000000001,0.0,111.07480000000001,1.9464000000000001,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2036,1549.0183722703823,1551.2288179651096,1553.1716708637803,-1.5411820348904257,4.153298593397949,122.0232,111.086,120.08800000000001,1.9352,9.002,1.9264000000000001,0.0088,0.0,111.0712,1.9500000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2037,1548.3930286044006,1551.2999435227625,1553.4649726433042,-1.4700564772374491,5.071944038903666,122.0232,111.08640000000001,120.08840000000001,1.9348,9.002,1.9264000000000001,0.008400000000000001,0.0,111.06800000000001,1.9532,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2038,1547.884761131407,1551.1475521115228,1553.3116241708342,-1.6224478884771543,5.4268630394271895,122.0232,111.0848,120.08680000000001,1.9364000000000001,9.002,1.9264000000000001,0.01,0.0,111.0656,1.9556,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2039,1547.0999325260236,1550.6712574932342,1553.124478795462,-2.0987425067658023,6.0245462694383605,122.0232,111.08120000000001,120.0832,1.9400000000000002,9.002,1.9264000000000001,0.013600000000000001,0.0,111.0592,1.9620000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2040,1546.6814411096625,1550.6063408074613,1552.890274372264,-2.1636591925387165,6.208833262601502,122.0232,111.08040000000001,120.0824,1.9408,9.002,1.9264000000000001,0.014400000000000001,0.0,111.05720000000001,1.9640000000000002,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2041,1546.2070951370133,1550.6109421316078,1552.6909413787625,-2.1590578683922104,6.483846241749234,122.0232,111.08040000000001,120.0824,1.9408,9.002,1.9264000000000001,0.014400000000000001,0.0,111.0544,1.6664,0.3004,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2042,1546.0241438312987,1550.6437389354592,1552.7683316636956,-2.126261064540813,6.744187832396847,122.0232,111.08040000000001,120.0824,1.9408,9.002,1.9264000000000001,0.014400000000000001,0.0,111.052,1.9692,0.0,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2043,1545.5651099633405,1550.1845852652673,1552.6474528253577,-2.5854147347326943,7.082342862017185,122.0232,111.0788,120.08080000000001,1.9424000000000001,9.002,1.9264000000000001,0.016,0.0,111.05000000000001,0.7208,1.2504,9.002,annual_mean_by_model_then_ensemble_quantile
ssp585,2044,1544.5010159694618,1549.716859646231,1552.6185267779988,-3.053140353769095,8.117510808536963,122.0232,111.0768,120.0788,1.9444000000000001,9.002,1.9264000000000001,0.018000000000000002,0.0,111.04400000000001,0.7268,1.2504,9.002,annual_mean_by_model_then_ensemble_quantile
