version,precip_scale,evap_scale,qin_scale,net_unresolved_m_per_day,success,cost,optimality,nfev,message,n_fit
ORIGINAL_EXACT_STAGE03,1.278815536652382,2.273196372849161,0.7582216211994326,-0.0002646651582524234,True,5.889062491108456,8.374514588611537e-09,6.0,`gtol` termination condition is satisfied.,453.0
FUTURE_COMPATIBLE_EVAP_EXACT_STAGE03,1.1653939637046278,2.9999999999999996,0.41273618512489435,0.003372630294682225,True,5.892999423508777,4.00935512768785e-08,7.0,`ftol` termination condition is satisfied.,453.0
FROZEN_EXPECTED,1.278816,2.273196,0.758222,-0.00026467,,,,,,
