version,scope,n,mae,rmse,bias,r2_nse,pearson_r
RECONSTRUCTED_ORIGINAL_EVAP,recursive_level,93,0.3784402008821695,0.4405457899734528,0.2829613808907887,0.027820606989123697,0.6588107911972235
RECONSTRUCTED_ORIGINAL_EVAP,one_step_level,93,0.12532589580316336,0.15994922582254245,0.0053787388766038694,0.8718470566278086,0.9367774477982272
RECONSTRUCTED_ORIGINAL_EVAP,delta,93,0.12532589580315173,0.15994922582253565,0.0053787388766083,0.03554185744476501,0.21700357773378132
FUTURE_COMPATIBLE_EVAP,recursive_level,93,0.38269527641558587,0.4458955330390679,0.28398085100145903,0.004066034527125395,0.6414446651568143
FUTURE_COMPATIBLE_EVAP,one_step_level,93,0.12521023078342522,0.15970078048385603,0.005694149851547326,0.8722448612920487,0.9368847038049547
FUTURE_COMPATIBLE_EVAP,delta,93,0.1252102307834245,0.1597007804838633,0.005694149851555829,0.038535670442386705,0.22126266782122167
