date,p_consensus_mm,evap_original_mm,evap_candidate_mm,qin_total_m3s,qin_depth_m_day
2008-12-01,2.6432113753892743,2.5725347711984226,2.9610488227478124,1.5395529107703319,0.001057624008034958
2008-12-02,0.1098130875788261,3.037429069636924,2.9248634537145843,1.429349457391915,0.0009819177317218848
2008-12-03,0.08984317118062365,3.3454931313954748,3.0554514865480105,1.425640010440224,0.0009793694593467073
2008-12-04,0.9442073825286905,2.918744865504588,3.2028595546326164,1.5545767904503502,0.0010679449367489086
2008-12-05,1.5235224430434862,2.997162412391979,3.1491641411802123,1.6400404551686816,0.0011266557631118238
2008-12-06,0.1962971446546444,2.961427986136228,3.1136451525253643,1.5428588128933702,0.0010598950579151403
2008-12-07,0.8202480494100545,2.960128399765512,3.112310923991677,1.6199936501606735,0.0011128842440477234
2008-12-08,0.02585180218796375,3.0358997269455306,3.200444736951024,1.4614933572645303,0.0010039995711827576
2008-12-09,0.01617046152383965,2.9355123236545366,3.241012177336067,1.5185916375850668,0.0010432242783441979
2008-12-10,0.12742393911056416,2.717890606563711,3.183097548851257,1.4260462994481433,0.0009796485670058009
2008-12-11,1.7919920892808654,2.4044424228331853,2.9742059223338053,1.4117749305475087,0.0009698445893242009
2008-12-12,0.1131013853676732,2.9823688964325914,3.3029497084684465,1.3264836899123316,0.0009112522128363319
2008-12-13,0.03239164834979465,3.247307481701082,3.315185772730857,1.3195183208223886,0.0009064672252449262
2008-12-14,0.0026570597171737,2.721059327788561,3.170584941549794,1.3683080284059268,0.000939984206522001
2008-12-15,0.01863562217294525,2.616704408060216,3.210717086348774,1.3662301754064892,0.0009385567874303941
2008-12-16,0.29039899082846476,2.585412411252436,2.8283204863950853,1.4119968078756755,0.0009699970120096872
2008-12-17,0.035672670623246,2.5605639198389203,3.2272654000543213,1.3449922370827474,0.0009239669975665849
2008-12-18,0.02845759477091975,2.799870650001241,3.26063800129883,1.3930935607311927,0.0009570110809189398
2008-12-19,0.06182824439572765,2.690887812678391,3.2680149523905078,1.2933387889125627,0.0008884827173574415
2008-12-20,0.0179586315043391,2.7911364672766235,3.2237321561797376,1.3147710544728684,0.0009032060038678208
2008-12-21,0.03928272355980995,2.527277117936934,3.1298216575217075,1.3151811050245468,0.0009034876955881437
2008-12-22,0.2398472067933147,2.4371554829039668,2.7642409285550875,1.3787963117995996,0.0009471893244771042
2008-12-23,0.1311349751030399,2.3420545836434563,2.9512069745982155,1.3296529184410928,0.0009134293722931575
2008-12-24,0.0375170663229188,2.317045871200325,3.078364274727504,1.3345667434702646,0.00091680501419918
2008-12-25,0.0919018010536564,2.3883724645879214,3.025465980531283,1.3827369722407814,0.0009498964331844122
2008-12-26,0.31567664738376255,2.1662516615275247,2.9091999946661486,1.3481690406400675,0.0009261493608277159
2008-12-27,0.0297083359802541,2.508800491166668,3.3066449420644375,1.3651802622398854,0.000937835530392988
2008-12-28,0.0277588568870649,2.346354991989929,3.0263740224236946,1.2791246167269936,0.00087871803200455
2008-12-29,0.1854860378783931,2.194383074601355,2.675648947106428,1.2797889447859914,0.000879174404305555
2008-12-30,0.229368277060229,2.0722924694930094,2.622680082514716,1.252404021311075,0.0008603618306533902
2008-12-31,0.5458127327919792,2.135865492538564,2.882121522626142,1.278656081484113,0.0008783961631567733
2009-01-01,0.0728969495307935,2.0624350526371704,2.702766528742331,1.3615323357491396,0.000935329520622769
2009-01-02,0.10205499349895995,2.477322558921924,3.2963554130602715,1.4027889720449895,0.0009636715209086991
2009-01-03,0.0091397264815773,2.3838412352097995,3.2617120322939446,1.3295019809263109,0.0009133256830089311
2009-01-04,0.00307377842410835,2.246217378039763,3.229820372691,1.321497020870305,0.0009078265294044235
2009-01-05,0.0057840211824937,2.4744213485250035,3.4011738488219336,1.312971116732454,0.0009019695037424188
2009-01-06,0.0035404663472902,2.270278971367492,3.16875344615864,1.2938586162719325,0.0008888398222620257
2009-01-07,0.00021755690227105,2.229745233012923,3.053043057865742,1.2759869375998214,0.0008765625459857245
2009-01-08,0.0009332165130418,2.0456513530522025,2.8518261654388413,1.2656107188433834,0.0008694344128811984
2009-01-09,0.00064646497958785,2.2149051700943945,3.2001930959693086,1.179390388960249,0.0008102037815549457
