date,evap_reference_mm,EQUILIBRIUM_OPEN_WATER_PROXY__RAW,EQUILIBRIUM_OPEN_WATER_PROXY__SCALE,EQUILIBRIUM_OPEN_WATER_PROXY__AFFINE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__RAW,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__SCALE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__AFFINE,PM_REFERENCE_DEMAND_PROXY__RAW,PM_REFERENCE_DEMAND_PROXY__SCALE,PM_REFERENCE_DEMAND_PROXY__AFFINE,RADIATION_ENERGY_PROXY__RAW,RADIATION_ENERGY_PROXY__SCALE,RADIATION_ENERGY_PROXY__AFFINE,AERO_VPD_WIND_INDEX__RAW,AERO_VPD_WIND_INDEX__SCALE,AERO_VPD_WIND_INDEX__AFFINE,TRANSPARENT_COMBINATION_PT_PLUS_AERO
2005-01-01,2.2864976764904053,3.2678597919214982,2.6140468686201275,2.8931234716199725,4.117503337821088,2.6140468686201275,2.8931234716199725,2.964136247695764,2.9058864241688767,3.1283386459979345,4.846867635712311,2.6710333847038656,2.900277034034044,1.122655357652876,4.484846932097059,3.4528223446976627,2.8931234716199654
2005-01-02,2.226534073728738,3.481726949766767,2.7851248247944302,3.012095866304219,4.386975956706126,2.78512482479443,3.012095866304219,3.166939433822188,3.1047042166374563,3.25546404242652,5.088160385243518,2.804006066841104,2.9976053026617917,1.1703478445298683,4.675371568171966,3.4528223446976627,3.012095866304212
2005-01-03,2.334415513032331,3.6265985580494173,2.901011428901318,3.092686651410247,4.569514183142266,2.9010114289013176,3.0926866514102467,3.3341974406968444,3.268675347144172,3.360308255359846,5.290549398203008,2.915539504711151,3.079241291554521,1.2722379402124588,5.082407868242281,3.4528223446976627,3.0926866514102396
2005-01-04,2.6463150709021845,4.160283303649554,3.3279198726219295,3.3895707210832464,5.241956962598438,3.327919872621929,3.3895707210832464,3.7182528200350595,3.6451834492314195,3.601049997545621,6.075967627543623,3.348371277558909,3.396048972510166,1.3474315031299577,5.382795353738309,3.4528223446976627,3.3895707210832393
2005-01-05,2.70687430289831,3.9982375084772657,3.1982951853907475,3.2994260888059137,5.037779260681355,3.1982951853907475,3.2994260888059137,3.493206816261951,3.4245599445979527,3.4599818861871983,5.907778174761959,3.255684685495852,3.3282077784730846,1.3131528404939463,5.245857019180393,3.4528223446976627,3.2994260888059066
2005-01-06,2.48257420486222,3.8315178920768114,3.064931785814507,3.206681451415859,4.827712544016783,3.064931785814507,3.206681451415859,2.995141635599953,2.936282508646071,3.147774101150424,5.675108437258818,3.1274640111984735,3.234357703171405,0.9444394868869951,3.772900121522535,3.4528223446976627,3.206681451415852
2005-01-07,2.4281818330006053,3.7279717752149266,2.9821025275918256,3.1490796690410914,4.6972444367708075,2.982102527591825,3.1490796690410914,3.132324031440608,3.070769060004231,3.233765681398059,5.518178373178591,3.040982293164017,3.1710581160008644,1.1237165810535807,4.489086367183239,3.4528223446976627,3.149079669041084
2005-01-08,2.267964820114068,3.353904086250624,2.6828759593631624,2.940989146033893,4.2259191486757866,2.6828759593631624,2.9409891460338935,3.0536859378880297,2.993676325601553,3.184472082967964,4.950505008258474,2.7281463291412495,2.9420803872414822,1.217948903690573,4.865530963650009,3.4528223446976627,2.9409891460338864
2005-01-09,2.3904141664876573,3.7776206246797157,3.021817946164821,3.176698881704015,4.759801987096441,3.0218179461648207,3.176698881704015,3.4716354963623735,3.4034125342195276,3.446460093723779,5.590330041771924,3.080743955759237,3.2001613401815976,1.2904149138977632,5.155022267765373,3.4528223446976627,3.176698881704008
2005-01-10,2.539336316204235,3.780503038808425,3.0241236649248013,3.1783023430059716,4.7634338288986156,3.0241236649248013,3.1783023430059716,3.5396768736728736,3.470116794107054,3.4891112336262466,5.633296021899039,3.1044218392814633,3.217492173635113,1.423157371398217,5.685309322667586,3.4528223446976627,3.1783023430059645
2005-01-11,2.559811088255737,3.817971793460646,3.0540959057816046,3.199145877430441,4.810644459760414,3.054095905781604,3.1991458774304404,3.2943828863603324,3.229643209866156,3.335350851581676,5.744511075852862,3.1657107261088107,3.2623520737676164,1.1724850437747873,4.683909372237583,3.4528223446976627,3.1991458774304333
2005-01-12,2.4032866380474536,4.211681206081776,3.369034404597486,3.418162916330601,5.306718319663038,3.369034404597486,3.4181629163306013,3.3106856136918386,3.245625563601204,3.3455700730567908,6.24173170014069,3.439721280317169,3.462911860922278,0.8986084331909541,3.5898116436897687,3.4528223446976627,3.4181629163305938
2005-01-13,2.4465942116308503,3.732075752587008,2.9853854068710706,3.151362675093099,4.70241544825963,2.98538540687107,3.151362675093099,3.1535514945306757,3.091579370886845,3.2470719302398092,5.5041861476159,3.0332713952371004,3.1654141872424932,1.332399828743224,5.322745973224445,3.4528223446976627,3.151362675093092
2005-01-14,2.163940765162224,3.355594247329865,2.684227963597731,2.941929367585558,4.2280487516356295,2.6842279635977304,2.9419293675855576,2.9884843130011856,2.929756012647073,3.1436010169366795,4.957263332371018,2.731870736466972,2.9448064367642175,1.234679137718644,4.932365846005116,3.4528223446976627,2.9419293675855505
2005-01-15,2.3529012979793835,3.9096875355553946,3.1274617365368393,3.2501665277125635,4.9262062947997975,3.1274617365368393,3.2501665277125635,3.5026337111822734,3.4338015865745404,3.465891052491368,5.842572298145888,3.219750740851455,3.3019062211833328,1.2585934908787146,5.027900252599192,3.4528223446976627,3.2501665277125564
2005-01-16,2.3206613560688467,3.8728136691376145,3.0979653624018164,3.2296539243133813,4.879745223113394,3.097965362401816,3.229653924313381,3.5331058806026046,3.463674931128911,3.48499226431939,5.8640198042223215,3.2315701279390443,3.310557325026519,1.259943983380562,5.033295276203224,3.4528223446976627,3.2296539243133737
2005-01-17,2.569012861996762,3.8898800113591707,3.1116171777438772,3.239147778456561,4.901248814312555,3.1116171777438772,3.239147778456561,3.677805434523854,3.605530916881901,3.5756959091024223,6.017409401703246,3.316100749885279,3.372428823350983,1.4293825250463956,5.710177917513325,3.4528223446976627,3.239147778456554
2005-01-18,2.662462818973657,3.4734817521484276,2.778529274682808,3.007509136321075,4.376587007707019,2.7785292746828074,3.007509136321075,3.4229770151715466,3.3557102668143037,3.415958952054631,5.456556930607787,3.007023674383614,3.146202382343667,1.495115219129457,5.97277059066747,3.4528223446976627,3.007509136321068
2005-01-19,2.7468324401067536,3.6449755018146197,2.9157116288373714,3.1029095815167276,4.592669132286421,2.915711628837371,3.1029095815167276,3.594644267263372,3.524003994106968,3.523567061635192,5.731245749144369,3.1584004108370833,3.257001348211928,1.5673959211821349,6.261521615317197,3.4528223446976627,3.1029095815167205
2005-01-20,2.5533651828970867,3.8730796417109175,3.098178120848216,3.229801882486506,4.880080348555756,3.0981781208482158,3.229801882486506,3.5215284607543005,3.4523250253375553,3.477735060347662,5.976521666551785,3.293568154852192,3.3559362744528785,1.3786808098698757,5.5076318465295495,3.4528223446976627,3.2298018824864987
