date,evap_original_mm,EQUILIBRIUM_OPEN_WATER_PROXY__RAW,EQUILIBRIUM_OPEN_WATER_PROXY__SCALE,EQUILIBRIUM_OPEN_WATER_PROXY__AFFINE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__RAW,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__SCALE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__AFFINE,PM_REFERENCE_DEMAND_PROXY__RAW,PM_REFERENCE_DEMAND_PROXY__SCALE,PM_REFERENCE_DEMAND_PROXY__AFFINE,RADIATION_ENERGY_PROXY__RAW,RADIATION_ENERGY_PROXY__SCALE,RADIATION_ENERGY_PROXY__AFFINE,AERO_VPD_WIND_INDEX__RAW,AERO_VPD_WIND_INDEX__SCALE,AERO_VPD_WIND_INDEX__AFFINE,TRANSPARENT_COMBINATION_PT_PLUS_AERO
2008-12-01,2.5725347711984226,3.3899637625939203,2.7117210414752146,2.9610488227478124,4.271354340868339,2.711721041475214,2.961048822747812,2.6984848364711227,2.6454554706190585,2.961817391530594,4.976434736492851,2.7424357991610226,2.952539448112325,0.4792399851909177,1.9144949183828637,3.4528223446976627,2.961048822747805
2008-12-02,3.037429069636924,3.324916218991409,2.6596878030584605,2.9248634537145843,4.1893944359291755,2.65968780305846,2.9248634537145843,2.8658537262253856,2.8095353049867295,3.06673111042335,4.995815570989151,2.7531162756777765,2.96035693566531,0.8486494205310446,3.390232562602203,3.4528223446976627,2.9248634537145772
2008-12-03,3.3454931313954748,3.559663880453649,2.84746862244314,3.0554514865480105,4.4851764893715975,2.8474686224431394,3.0554514865480105,3.05214602698097,2.9921666763056636,3.1835068033376794,5.396497200967434,2.97392569131437,3.121976583965958,1.0186351504177216,4.069301142274242,3.4528223446976627,3.0554514865480034
2008-12-04,2.918744865504588,3.8246475739262906,3.0594360378964995,3.2028595546326164,4.819055943147126,3.0594360378964995,3.2028595546326164,3.10420049262021,3.0431981918562805,3.216136688038511,5.650566027709561,3.1139390709331085,3.2244582336099565,0.7356139172692885,2.938671959817211,3.4528223446976627,3.202859554632609
2008-12-05,2.997162412391979,3.72812362402287,2.9822239954411773,3.1491641411802123,4.697435766268816,2.982223995441177,3.1491641411802123,3.216758559654686,3.153544320236998,3.2866927239977937,5.464979800796774,3.0116653871681853,3.149599846104858,0.9152825630460778,3.656422397930931,3.4528223446976627,3.149164141180205
2008-12-06,2.961427986136228,3.664273979125737,2.931148987658265,3.1136451525253643,4.616985213698428,2.9311489876582644,3.1136451525253643,3.164464778856287,3.1022781924371508,3.253912826690846,5.39920242732478,2.9754164994933294,3.123067768836279,0.9397938531200664,3.754341481771493,3.4528223446976627,3.1136451525253572
2008-12-07,2.960128399765512,3.661875543209799,2.9292304157809945,3.112310923991677,4.613963184444347,2.929230415780994,3.112310923991677,3.1580646499832516,3.096003835912702,3.249900962105684,5.427997585934517,2.991285063635199,3.134682634752441,0.976407734763132,3.9006086809076335,3.4528223446976627,3.1123109239916698
2008-12-08,3.0358997269455306,3.820306649330738,3.0559636183104537,3.200444736951024,4.81358637815673,3.0559636183104533,3.200444736951024,3.235238329530034,3.17166093429085,3.2982766054751202,5.672154583694167,3.1258361884317494,3.233166231592644,0.9752484408931094,3.895977468380184,3.4528223446976627,3.2004447369510167
2008-12-09,2.9355123236545366,3.893231492099792,3.1142981152054294,3.241012177336067,4.905471680045738,3.1142981152054294,3.241012177336067,3.011150061120875,2.951976344052499,3.157808842119809,5.747427024988228,3.167317660333974,3.26352825614899,0.717045247754043,2.8644927917039613,3.4528223446976627,3.24101217733606
2008-12-10,2.717890606563711,3.7891229968090685,3.0310189957082465,3.183097548851257,4.774294975979426,3.0310189957082465,3.183097548851257,2.9616513397254556,2.903450348451426,3.1267810032564785,5.54237971698254,3.054319277400754,3.1808200126823003,0.7105024418729521,2.8383552218049806,3.4528223446976627,3.18309754885125
2008-12-11,2.4044424228331853,3.4136152281411296,2.730640469905039,2.9742059223338053,4.301155187457823,2.7306404699050386,2.9742059223338053,2.827804729912527,2.772234029809268,3.0428804311891158,4.982973354104186,2.74603912965039,2.9551768764335926,0.7057135047782749,2.8192241058390155,3.4528223446976627,2.974205922333798
2008-12-12,2.9823688964325914,4.004571637705761,3.203362021708547,3.3029497084684465,5.045760263509259,3.2033620217085463,3.3029497084684465,3.3749125892423213,3.3085903805736554,3.3858301887098765,5.988897308043686,3.3003881784357607,3.3609281350119073,0.9682825254622432,3.868149636591555,3.4528223446976627,3.3029497084684394
2008-12-13,3.247307481701082,4.026567431721332,3.2209570349987,3.315185772730857,5.073474963968878,3.2209570349986993,3.315185772730857,3.316047627426844,3.2508822055422995,3.3489312042832653,6.047960829914772,3.3329371668945043,3.3847521012684085,0.9939476247159691,3.9706780224095195,3.4528223446976627,3.31518577273085
2008-12-14,2.721059327788561,3.766630083491655,3.013026323633122,3.170584941549794,4.745953905199485,3.0130263236331216,3.1705849415497935,2.9158707485885933,2.858569416146627,3.098083841697189,5.534630404282678,3.0500487516745447,3.1776942362567846,0.8013362648029694,3.2012232999924235,3.4528223446976627,3.1705849415497864
