date,evap_original_mm,evap_candidate_mm
2008-12-01,2.5725347711984226,2.9610488227478124
2008-12-02,3.037429069636924,2.9248634537145843
2008-12-03,3.3454931313954748,3.0554514865480105
2008-12-04,2.918744865504588,3.2028595546326164
2008-12-05,2.997162412391979,3.1491641411802123
2008-12-06,2.961427986136228,3.1136451525253643
2008-12-07,2.960128399765512,3.112310923991677
2008-12-08,3.0358997269455306,3.200444736951024
2008-12-09,2.9355123236545366,3.241012177336067
2008-12-10,2.717890606563711,3.183097548851257
2008-12-11,2.4044424228331853,2.9742059223338053
2008-12-12,2.9823688964325914,3.3029497084684465
2008-12-13,3.247307481701082,3.315185772730857
2008-12-14,2.721059327788561,3.170584941549794
2008-12-15,2.616704408060216,3.210717086348774
2008-12-16,2.585412411252436,2.8283204863950853
2008-12-17,2.5605639198389203,3.2272654000543213
2008-12-18,2.799870650001241,3.26063800129883
2008-12-19,2.690887812678391,3.2680149523905078
2008-12-20,2.7911364672766235,3.2237321561797376
2008-12-21,2.527277117936934,3.1298216575217075
2008-12-22,2.4371554829039668,2.7642409285550875
2008-12-23,2.3420545836434563,2.9512069745982155
2008-12-24,2.317045871200325,3.078364274727504
2008-12-25,2.3883724645879214,3.025465980531283
2008-12-26,2.1662516615275247,2.9091999946661486
2008-12-27,2.508800491166668,3.3066449420644375
2008-12-28,2.346354991989929,3.0263740224236946
2008-12-29,2.194383074601355,2.675648947106428
2008-12-30,2.0722924694930094,2.622680082514716
2008-12-31,2.135865492538564,2.882121522626142
2009-01-01,2.0624350526371704,2.702766528742331
2009-01-02,2.477322558921924,3.2963554130602715
2009-01-03,2.3838412352097995,3.2617120322939446
2009-01-04,2.246217378039763,3.229820372691
2009-01-05,2.4744213485250035,3.4011738488219336
2009-01-06,2.270278971367492,3.16875344615864
2009-01-07,2.229745233012923,3.053043057865742
2009-01-08,2.0456513530522025,2.8518261654388413
2009-01-09,2.2149051700943945,3.2001930959693086
2009-01-10,2.009313165387506,2.971595409504726
2009-01-11,1.723327673971653,2.5435496126527823
2009-01-12,2.0566251069805737,2.9033430807306315
2009-01-13,1.942965595808845,2.924063483748227
2009-01-14,1.7433325627476846,2.5156427408235613
2009-01-15,2.1936866465962366,3.249498156434611
2009-01-16,1.8653645272818788,2.6290659323324648
2009-01-17,1.875639000929905,2.5878701715462107
2009-01-18,2.221805491607707,3.1297433096049594
2009-01-19,2.2111374630846763,3.2009254125970217
2009-01-20,2.2809905947328226,2.9225457891354134
2009-01-21,2.510218292404458,3.1475977614767023
2009-01-22,2.313986173822939,3.196940557872421
2009-01-23,2.46761415847042,3.416500731205731
2009-01-24,2.4338903841698354,3.392260093932437
2009-01-25,2.2182059050960974,3.205834582313131
2009-01-26,2.399937772890154,3.4537220797802695
2009-01-27,2.462537731579146,3.3591301853093256
2009-01-28,2.1517925494786594,3.2963954736295173
2009-01-29,2.1308257945814844,3.3044343985995166
2009-01-30,2.13599325785506,3.3533737976368974
2009-01-31,2.071542465679131,2.827978134089571
2009-02-01,1.9613749868401027,3.1418553702817955
2009-02-02,1.949636505255364,3.1895013964556096
2009-02-03,1.997148622894472,3.0687945949093214
2009-02-04,2.200093345579214,3.162391608188796
2009-02-05,2.6035006693204923,3.410483833313225
2009-02-06,2.5616530712380827,3.337388029210713
2009-02-07,2.567786581200862,3.457459531640699
2009-02-08,2.2492461708433424,3.3597163974448545
2009-02-09,2.181958056519872,3.704053198823802
2009-02-10,1.89975589453075,3.566904468244234
2009-02-11,2.0090546299212995,3.6059957281975237
2009-02-12,1.869282996726077,3.1891041422099358
2009-02-13,1.9072039167861587,3.4343945336225072
2009-02-14,1.712958862778202,3.033751496250597
2009-02-15,2.037775896866622,3.444035191628307
2009-02-16,1.9725373016405168,2.9958427716147176
2009-02-17,2.3375178118576625,3.5330107100238735
2009-02-18,2.34530068691149,3.7891713514938576
2009-02-19,2.197435311014616,3.6246681213984853
2009-02-20,2.075743167397549,3.251238999581826
2009-02-21,2.069938554081868,3.5605903303226167
