date,observed_level_m,recursive_pred_level_m,one_step_pred_level_m,observed_delta_m,predicted_delta_m,days
2024-01-20,1554.22,1553.8471430145316,1553.8471430145316,0.31999999999993634,-0.05285698546838364,10
2024-01-30,1554.2,1553.798789832145,1554.1716468176135,-0.01999999999998181,-0.048353182386493616,10
2024-02-09,1554.11,1553.7504071692845,1554.1516173371394,-0.09000000000014552,-0.04838266286051622,10
2024-02-19,1554.16,1553.7046041538383,1554.0641969845537,0.0500000000001819,-0.045803015446047333,10
2024-02-29,1554.0,1553.6487103041109,1554.1041061502726,-0.16000000000008185,-0.0558938497275143,10
2024-03-10,1553.76,1553.6067917440648,1553.958081439954,-0.2400000000000091,-0.04191856004607476,10
2024-03-20,1553.68,1553.560489050236,1553.713697306171,-0.07999999999992724,-0.04630269382883577,10
2024-03-30,1553.6,1553.5129105253673,1553.6324214751314,-0.08000000000015461,-0.047578524868536975,10
2024-04-09,1553.48,1553.4736588410208,1553.5607483156534,-0.11999999999989086,-0.03925168434656297,10
2024-04-19,1553.51,1553.4070862847932,1553.4134274437724,0.029999999999972715,-0.06657255622759332,10
2024-04-29,1553.57,1553.3876168065976,1553.4905305218044,0.05999999999994543,-0.019469478195559525,10
2024-05-08,1553.53,1553.3256515620915,1553.5080347554938,-0.03999999999996362,-0.06196524450605241,9
2024-05-18,1553.87,1553.3042599035382,1553.5086083414467,0.33999999999991815,-0.02139165855330314,10
2024-05-28,1553.72,1553.2430984464104,1553.808838542872,-0.14999999999986358,-0.0611614571278308,10
2024-06-07,1553.6,1553.250673571464,1553.7275751250536,-0.12000000000011823,0.007575125053637636,10
2024-06-17,1553.5,1553.5623652831796,1553.9116917117155,-0.09999999999990905,0.3116917117157295,10
2024-06-27,1553.81,1553.7735972061855,1553.711231923006,0.30999999999994543,0.2112319230060152,10
2024-07-07,1553.72,1553.8501957425224,1553.8865985363368,-0.08999999999991815,0.07659853633690285,10
2024-07-17,1553.67,1553.846838104261,1553.7166423617386,-0.049999999999954525,-0.003357638261373983,10
2024-07-27,1553.72,1553.837886284956,1553.6610481806952,0.049999999999954525,-0.008951819304884555,10
2024-08-06,1554.05,1553.833008438342,1553.715122153386,0.32999999999992724,-0.004877846614243165,10
2024-08-16,1553.9,1553.8204136855659,1554.037405247224,-0.14999999999986358,-0.012594752776180223,10
2024-08-25,1554.0,1553.793757114273,1553.8733434287071,0.09999999999990905,-0.02665657129303651,9
2024-09-04,1553.93,1553.8438822955045,1554.0501251812316,-0.06999999999993634,0.050125181231534546,10
2024-10-04,1554.24,1554.042234312105,1554.1283520166005,0.30999999999994543,0.19835201660052112,30
2024-10-14,1554.21,1554.0493626505515,1554.2471283384466,-0.029999999999972715,0.007128338446661166,10
2024-10-24,1553.87,1554.120797109591,1554.2814344590395,-0.3400000000001455,0.07143445903950557,10
2024-11-03,1553.76,1554.1028767711368,1553.8520796615458,-0.10999999999989996,-0.017920338454193885,10
2024-11-13,1553.77,1554.0803414548368,1553.7374646837,0.009999999999990905,-0.022535316299969466,10
2024-11-23,1554.07,1554.1207311300866,1553.8103896752498,0.2999999999999545,0.040389675249828616,10
2024-12-03,1554.13,1554.0484757059921,1553.9977445759055,0.060000000000172804,-0.07225542409454988,10
2024-12-13,1554.23,1553.9846387097014,1554.0661630037093,0.09999999999990905,-0.06383699629083865,10
2024-12-22,1553.87,1553.9302089011685,1554.1755701914672,-0.36000000000012733,-0.05442980853284854,9
2025-01-01,1553.94,1553.9086214119636,1553.848412510795,0.07000000000016371,-0.021587489204952258,10
2025-01-11,1554.02,1553.8530837829383,1553.8844623709747,0.07999999999992724,-0.05553762902544859,10
2025-01-21,1553.99,1553.788833418481,1553.9557496355428,-0.029999999999972715,-0.06425036445727658,10
2025-01-31,1553.86,1553.7343788926771,1553.935545474196,-0.13000000000010914,-0.05445452580389389,10
2025-02-10,1553.64,1553.6867579751333,1553.8123790824561,-0.2199999999997999,-0.04762091754374048,10
2025-02-20,1553.62,1553.6574476370586,1553.6106896619253,-0.020000000000209184,-0.029310338074838453,10
2025-03-02,1553.46,1553.6000712824414,1553.5626236453827,-0.15999999999985448,-0.05737635461712459,10
2025-03-12,1553.66,1553.5415792742244,1553.401507991783,0.20000000000004547,-0.058492008216869076,10
2025-04-01,1553.21,1553.449171699317,1553.5675924250927,-0.4500000000000455,-0.09240757490744717,20
2025-04-11,1553.43,1553.4087752020293,1553.1696035027123,0.22000000000002728,-0.04039649728778418,10
2025-04-20,1553.3,1553.3581166566175,1553.3793414545883,-0.13000000000010914,-0.05065854541172523,9
2025-04-30,1553.36,1553.3111935176926,1553.253076861075,0.05999999999994543,-0.04692313892495301,10
2025-05-10,1553.41,1553.2930892117822,1553.3418956940895,0.0500000000001819,-0.018104305910364958,10
2025-05-20,1553.21,1553.2494168650028,1553.3663276532207,-0.20000000000004547,-0.04367234677935622,10
2025-05-30,1553.36,1553.2030310519897,1553.163614186987,0.14999999999986358,-0.04638581301304307,10
2025-06-09,1553.39,1553.2694711918161,1553.4264401398264,0.03000000000020009,0.06644013982644854,10
2025-06-19,1553.49,1553.3739748744715,1553.4945036826555,0.09999999999990905,0.10450368265534693,10
2025-06-29,1553.41,1553.4453060356645,1553.561331161193,-0.07999999999992724,0.07133116119300588,10
2025-07-09,1553.49,1553.4010044271283,1553.3656983914639,0.07999999999992724,-0.04430160853628064,10
2025-07-19,1553.31,1553.3171204998898,1553.4061160727615,-0.18000000000006366,-0.08388392723845775,10
2025-07-29,1553.31,1553.2780895052238,1553.2709690053339,0.0,-0.039030994666162146,10
2025-08-08,1553.24,1553.244791972759,1553.2767024675352,-0.06999999999993634,-0.03329753246485791,10
2025-08-17,1553.28,1553.2263804457957,1553.2215884730367,0.03999999999996362,-0.018411526963349807,9
2025-08-27,1553.44,1553.1925276019529,1553.2461471561571,0.16000000000008185,-0.03385284384286618,10
2025-09-06,1553.31,1553.2123732236587,1553.4598456217059,-0.13000000000010914,0.019845621705890486,10
2025-09-16,1553.52,1553.3086911120738,1553.406317888415,0.21000000000003638,0.09631788841522383,10
2025-09-26,1553.64,1553.4130698976428,1553.624378785569,0.12000000000011823,0.10437878556893271,10
2025-10-06,1553.56,1553.5066609646976,1553.733591067055,-0.08000000000015461,0.09359106705475248,10
2025-10-16,1553.73,1553.566911918199,1553.6202509535012,0.17000000000007276,0.060250953501264304,10
2025-10-26,1553.57,1553.6009195729634,1553.7640076547646,-0.16000000000008185,0.03400765476458517,10
2025-11-05,1553.51,1553.5566473645458,1553.5257277915823,-0.05999999999994543,-0.044272208417727665,10
2025-11-15,1553.47,1553.5029716920637,1553.456324327518,-0.03999999999996362,-0.05367567248215266,10
2025-11-25,1553.47,1553.4585298890054,1553.4255581969417,0.0,-0.04444180305834654,10
2025-12-05,1553.28,1553.3941112581265,1553.4055813691211,-0.19000000000005457,-0.06441863087882156,10
2025-12-14,1553.61,1553.3579117552079,1553.2438004970813,0.32999999999992724,-0.036199502918643475,9
2025-12-24,1553.63,1553.353825445848,1553.6059136906401,0.020000000000209184,-0.004086309359755737,10
2026-01-03,1553.58,1553.2991240794868,1553.5752986336388,-0.0500000000001819,-0.054701366361207794,10
2026-01-13,1553.56,1553.2342748624471,1553.5151507829603,-0.01999999999998181,-0.06484921703960968,10
2026-01-23,1553.34,1553.1753837235512,1553.501108861104,-0.22000000000002728,-0.058891138895965,10
2026-02-02,1553.14,1553.1269472419663,1553.291563518415,-0.1999999999998181,-0.04843648158496558,10
2026-02-12,1552.95,1553.0704464063692,1553.083499164403,-0.19000000000005457,-0.05650083559706145,10
2026-02-22,1552.84,1553.0200710620315,1552.8996246556624,-0.11000000000012733,-0.050375344337633084,10
2026-03-04,1552.8,1552.9760062588136,1552.795935196782,-0.03999999999996362,-0.044064803217912424,10
2026-03-14,1552.76,1552.9301330008352,1552.7541267420215,-0.03999999999996362,-0.045873257978418916,10
2026-04-03,1552.96,1552.8985801756544,1552.7284471748192,0.20000000000004547,-0.0315528251807272,20
2026-04-12,1552.92,1552.846372493159,1552.9077923175046,-0.03999999999996362,-0.05220768249555915,9
2026-04-22,1552.7,1552.7891564874126,1552.8627839942537,-0.22000000000002728,-0.05721600574636838,10
2026-05-02,1552.87,1552.7501150327523,1552.6609585453398,0.16999999999984539,-0.03904145466023508,10
2026-05-12,1552.91,1552.6890111381351,1552.8088961053827,0.040000000000190994,-0.06110389461724455,10
2026-05-22,1552.94,1552.618443539338,1552.8394324012029,0.029999999999972715,-0.07056759879724199,10
2026-06-01,1552.81,1552.6395014782117,1552.9610579388739,-0.13000000000010914,0.021057938873896745,10
2026-06-11,1552.61,1552.7485676945794,1552.9190662163676,-0.20000000000004547,0.1090662163675701,10
2026-06-21,1552.65,1552.7277479834895,1552.58918028891,0.040000000000190994,-0.020819711089905678,10
2026-07-01,1552.77,1552.682004176641,1552.6042561931515,0.11999999999989086,-0.04574380684863793,10
2026-07-11,1552.72,1552.610023476931,1552.69801930029,-0.049999999999954525,-0.0719806997099313,10
2026-07-21,1552.74,1552.5517386632011,1552.6617151862702,0.01999999999998181,-0.058284813729868754,10
2026-07-30,1552.45,1552.5189730499262,1552.707234386725,-0.2899999999999636,-0.03276561327486667,9
2026-08-09,1552.74,1552.4447756712955,1552.3758026213693,0.2899999999999636,-0.07419737863064822,10
2026-08-19,1552.68,1552.3646010039383,1552.6598253326429,-0.05999999999994543,-0.08017466735713884,10
2026-08-29,1552.77,1552.2891220758108,1552.6045210718726,0.08999999999991815,-0.07547892812744852,10
