acquisition_date,lake_level_m,n,accuracy,balanced_accuracy,wet_iou,wet_f1
2024-05-08,1553.53,5589,0.9583109679728037,0.9646711921654413,0.9520378756689996,0.9754297163344933
2024-05-18,1553.87,5988,0.9123246492985972,0.7810036046899795,0.9014269620728502,0.9481583884664757
2024-05-28,1553.72,4158,0.9497354497354498,0.7968146718146718,0.9496264160038563,0.9741624428235875
2024-06-27,1553.81,6136,0.9476857887874837,0.9261250004199957,0.9437828371278458,0.9710784755383368
2024-07-17,1553.67,5620,0.39786476868327403,0.6004612700608896,0.2877288991791202,0.44687806472703495
2024-07-27,1553.72,4559,0.8479929809168677,0.7000240020801802,0.831755280407866,0.9081510934393638
2024-08-06,1554.05,5398,0.6165246387550944,0.5,0.6165246387550944,0.7627779051111621
2024-08-16,1553.9,6180,0.7297734627831716,0.638461452263559,0.6981745888306524,0.8222647935291614
2024-12-22,1553.87,2554,0.9628034455755677,0.9544382046365245,0.9592973436161096,0.9792258910999344
2025-01-01,1553.94,3056,0.912630890052356,0.7789802860326583,0.9021978021978022,0.9485846331600231
2025-01-11,1554.02,3362,0.9767995240928019,0.8892045454545454,0.9747409326424871,0.9872089209576911
2025-01-21,1553.99,3049,0.9878648737290915,0.9573596097471602,0.9865698729582577,0.9932395395578294
2025-01-31,1553.86,2641,0.1234380916319576,0.5182420438696589,0.004729148753224419,0.009413778348309799
2025-02-10,1553.64,669,0.9237668161434978,0.837145458558658,0.9113043478260869,0.9535941765241128
2025-02-20,1553.62,48,1.0,1.0,1.0,1.0
2025-03-02,1553.46,2078,0.9826756496631376,0.983301170048158,0.980327868852459,0.9900662251655629
2025-03-12,1553.66,2167,0.9755422242731887,0.9766990685035218,0.9727225939269172,0.9861727106704931
2025-04-01,1553.21,2669,0.5192956163357063,0.5677413397612845,0.45589482612383375,0.6262743955723856
2025-04-11,1553.43,1882,0.2763018065887354,0.5419935130180331,0.16133004926108374,0.27783669141039236
2025-12-14,1553.61,5057,0.9122009096302155,0.8225462999831878,0.8966239813736904,0.9454947213356248
2025-12-24,1553.63,4430,0.9492099322799097,0.907546603912883,0.9430812041487477,0.9707069392006249
2026-01-03,1553.58,5348,0.9577412116679133,0.9318446190922843,0.9512931034482759,0.9750386569472057
2026-01-13,1553.56,6181,0.9621420482122633,0.9145360026787354,0.9545101088646968,0.9767256813208673
2026-01-23,1553.34,4393,0.9119053038925563,0.8163686312582809,0.8971018346184525,0.945760336370007
2026-02-02,1553.14,6176,0.9881800518134715,0.9743288412563667,0.9854552699740984,0.9926743602609132
2026-02-12,1552.95,6178,0.983489802525089,0.962631846136728,0.9795057263411694,0.989646772228989
2026-02-22,1552.84,6051,0.9854569492645844,0.9767134480097229,0.982200647249191,0.9910204081632653
2026-03-04,1552.8,5976,0.9496318607764391,0.9025787677162764,0.9368443138900545,0.9673924818546203
2026-03-14,1552.76,5660,0.9618374558303887,0.9647228694526717,0.9535483870967741,0.9762219286657859
2026-04-03,1552.96,5529,0.9716042684029662,0.9481020911455694,0.9661637931034482,0.9827907486572399
2026-07-30,1552.45,2215,0.24875846501128668,0.5,0.0,0.0
2026-08-09,1552.74,2373,0.9506953223767383,0.9682410423452769,0.9364820846905537,0.9671993271656855
2026-08-29,1552.77,1923,0.842953718148726,0.7747248334222177,0.8173018753781004,0.8994673768308922
