scenario,year,level_p50_m,drawdown_vs_2026_m,current_area_km2,spatial_new_exposed_total_km2,spatial_new_exposed_intersect_current_km2,spatial_unknown_intersect_current_km2,spatial_remains_water_intersect_current_km2,spatial_already_exposed_intersect_current_km2,spatial_outside_domain_intersect_current_km2,hard_minimum_area_loss_km2,future_area_upper_bound_km2,hypso_area_p50_km2,hypso_area_loss_p50_km2,hypso_area_excess_vs_spatial_upper_bound_km2,area_loss_shortfall_vs_known_spatial_exposure_km2,area_consistency_status,hypso_storage_loss_p50_km3,hydraulic_storage_loss_upper_bound_km3,equivalent_mean_area_from_storage_loss_km2,storage_physical_status
ssp245,2030,1552.348610031073,0.42138996892708747,122.0232,1.9312,1.9292,5.7132,0.0888,0.1648,114.1272,1.9292,120.09400000000001,121.84974659128495,0.1734534087150336,1.7557465912849466,1.7557465912849664,CONTRADICTION,0.0511204258805584,0.05141935245638378,121.31381772261336,PLAUSIBLE
ssp245,2050,1550.3365020596582,2.4334979403417947,122.0232,1.944,1.942,5.7132,0.076,0.1648,114.1272,1.942,120.08120000000001,121.29609000340264,0.7271099965973775,1.2148900034026298,1.2148900034026224,CONTRADICTION,0.2944844750466622,0.29694320587391493,121.01283102187489,PLAUSIBLE
ssp585,2030,1552.293234566714,0.47676543328589105,122.0232,1.932,1.93,5.7132,0.088,0.1648,114.1272,1.93,120.0932,121.83507834482452,0.1881216551754931,1.7418783448245279,1.7418783448245068,CONTRADICTION,0.0578329967148292,0.05817644381893094,121.30283086221523,PLAUSIBLE
ssp585,2050,1548.1447400878528,4.625259912147158,122.0232,1.9572,1.9552,5.7132,0.0628,0.1648,114.1272,1.9552,120.068,120.70194236255338,1.321257637446621,0.633942362553384,0.6339423625533791,CONTRADICTION,0.5583137314313937,0.5643890153119151,120.70969892202469,PLAUSIBLE
