date,nivel_final_m
2020-08-29,1554.94
2020-04-22,1554.95
2021-11-08,1554.97
2020-09-08,1554.98
2020-12-16,1554.98
2021-09-10,1554.99
2020-06-30,1555.01
2019-05-21,1555.02
2020-12-06,1555.04
2020-03-13,1555.06
2022-10-21,1555.06
2020-01-04,1555.06
2020-09-18,1555.07
2020-08-09,1555.07
2021-11-18,1555.07
2020-04-12,1555.09
2020-03-03,1555.1
2019-03-12,1555.11
2020-01-24,1555.12
2020-10-17,1555.13
2020-07-30,1555.13
2020-10-08,1555.14
2020-11-26,1555.15
2010-09-12,1555.2
2020-03-23,1555.24
2011-06-16,1555.26
2019-08-18,1555.26
2019-08-28,1555.27
2020-01-14,1555.27
2020-04-02,1555.28
2019-09-07,1555.3
2019-07-09,1555.3
2019-05-11,1555.32
2020-11-16,1555.32
2020-02-22,1555.32
2010-09-22,1555.34
2011-05-08,1555.35
2019-05-31,1555.36
2019-05-01,1555.37
2019-07-19,1555.37
2019-09-27,1555.37
2011-07-06,1555.37
2019-06-29,1555.39
2019-07-29,1555.41
2011-04-18,1555.42
2019-10-26,1555.42
2019-04-01,1555.42
2019-10-17,1555.48
2019-06-10,1555.49
2019-08-08,1555.49
2010-10-12,1555.5
2011-05-28,1555.52
2018-11-13,1555.54
2011-02-17,1555.59
2019-11-15,1555.6
2019-02-11,1555.63
2011-04-28,1555.63
2011-03-09,1555.64
2019-12-25,1555.66
2011-03-19,1555.69
2011-02-08,1555.69
2011-04-08,1555.7
2019-01-22,1555.71
2011-01-09,1555.72
2018-10-05,1555.73
2011-06-07,1555.74
2011-02-27,1555.76
2010-10-31,1555.77
2019-12-15,1555.77
2010-12-30,1555.8
2018-03-01,1555.8
2011-01-29,1555.81
2011-03-29,1555.82
2019-12-05,1555.82
2019-11-25,1555.82
2019-11-05,1555.83
2018-09-25,1555.83
2018-11-04,1555.84
2019-04-21,1555.86
2010-12-20,1555.87
2018-09-15,1555.89
2010-12-10,1555.91
2010-10-21,1555.92
2018-05-29,1555.93
2010-11-10,1555.96
2018-10-25,1555.97
2019-01-02,1555.99
2018-11-23,1555.99
2011-08-25,1556.0
2010-11-20,1556.01
2011-01-19,1556.01
2018-12-03,1556.01
2011-08-05,1556.02
2018-07-27,1556.03
2018-03-20,1556.06
2018-10-15,1556.07
2011-07-26,1556.12
2011-07-16,1556.12
2018-06-08,1556.12
2017-10-03,1556.14
2010-11-30,1556.16
2018-06-18,1556.28
2018-06-28,1556.29
2013-06-19,1556.31
2018-12-23,1556.32
2018-12-13,1556.34
2018-02-19,1556.36
2011-10-04,1556.36
2018-04-09,1556.37
2012-04-29,1556.39
2017-11-21,1556.4
2012-04-09,1556.41
2018-08-16,1556.43
2018-07-17,1556.43
2018-04-19,1556.43
2017-10-23,1556.43
2018-05-09,1556.44
2018-04-29,1556.44
2018-07-08,1556.45
2012-04-19,1556.46
2018-02-09,1556.49
2017-02-07,1556.51
2011-09-14,1556.52
2018-05-19,1556.53
2018-08-06,1556.54
2017-10-13,1556.55
2016-11-10,1556.57
2013-05-01,1556.58
2011-09-24,1556.59
2018-01-30,1556.63
2018-03-30,1556.64
2017-09-23,1556.68
2013-06-09,1556.69
2012-03-20,1556.78
2012-06-27,1556.81
2014-04-13,1556.82
2013-05-20,1556.83
2012-06-17,1556.83
2012-01-01,1556.83
2012-03-30,1556.87
2017-11-02,1556.91
2017-09-03,1556.93
2013-07-29,1556.93
2013-04-11,1556.93
2013-04-21,1556.95
2012-02-19,1556.95
2017-11-12,1556.96
2018-01-10,1556.97
2017-12-31,1556.98
2012-01-31,1556.99
2012-05-19,1557.01
2016-07-04,1557.02
2016-07-24,1557.03
2015-07-23,1557.06
2017-09-13,1557.06
2013-03-22,1557.07
2016-05-15,1557.07
2015-03-26,1557.07
2017-12-11,1557.07
2012-08-26,1557.1
2016-08-22,1557.11
2013-03-12,1557.11
2013-02-10,1557.11
2012-03-10,1557.14
2015-07-03,1557.15
2017-12-21,1557.16
2016-04-15,1557.17
2016-02-26,1557.17
2013-07-09,1557.18
2017-12-01,1557.18
2013-07-19,1557.19
2016-03-07,1557.19
2016-06-14,1557.19
2016-12-09,1557.2
2012-08-06,1557.21
2016-06-04,1557.21
2015-07-13,1557.22
2011-12-22,1557.23
2011-10-23,1557.23
2012-07-27,1557.24
2016-07-14,1557.26
2015-05-04,1557.27
2011-12-02,1557.28
2014-04-03,1557.28
2012-07-07,1557.29
2013-01-21,1557.29
2011-12-12,1557.3
2016-03-17,1557.3
2013-08-08,1557.31
2014-05-22,1557.31
2016-10-01,1557.31
2013-06-29,1557.34
2014-06-01,1557.34
2016-05-25,1557.34
2012-12-03,1557.35
2015-10-10,1557.36
2016-09-01,1557.37
2012-02-29,1557.37
2011-11-02,1557.37
2015-08-12,1557.38
2016-08-12,1557.38
2013-03-02,1557.39
2012-12-23,1557.39
2013-01-02,1557.39
2012-01-11,1557.41
2013-01-31,1557.42
2015-11-09,1557.43
2015-06-23,1557.43
2012-07-17,1557.44
2016-02-16,1557.44
2015-04-15,1557.45
2013-09-26,1557.45
2013-02-20,1557.46
2011-11-12,1557.47
2013-01-12,1557.47
2014-03-24,1557.48
2012-10-14,1557.48
2015-08-31,1557.51
2015-10-20,1557.52
2012-09-15,1557.52
2011-11-22,1557.52
2015-08-02,1557.53
2016-09-21,1557.53
2012-11-23,1557.54
2015-03-16,1557.54
2016-09-11,1557.56
2014-05-12,1557.56
2013-08-28,1557.56
2015-12-09,1557.57
2015-09-20,1557.57
2012-12-13,1557.57
2015-09-10,1557.57
2015-12-28,1557.6
2016-01-07,1557.6
2016-02-06,1557.61
2014-03-04,1557.61
2013-12-05,1557.64
2014-06-11,1557.64
2015-06-03,1557.67
2015-11-19,1557.68
2015-02-24,1557.7
2015-05-14,1557.72
2015-04-05,1557.73
2015-11-29,1557.75
2015-12-18,1557.76
2014-08-10,1557.76
2014-09-08,1557.77
2016-01-17,1557.77
2015-01-15,1557.78
2015-03-06,1557.78
2015-06-13,1557.78
2012-10-24,1557.79
2014-07-31,1557.79
2016-01-27,1557.82
2014-08-29,1557.83
2013-09-16,1557.83
2014-02-22,1557.84
2014-11-07,1557.85
2014-02-12,1557.88
2014-01-04,1557.88
2013-10-06,1557.89
2012-11-13,1557.89
2015-02-14,1557.9
2014-08-20,1557.9
2015-01-25,1557.91
2014-12-26,1557.92
2013-12-15,1557.92
2013-10-26,1557.95
2013-12-25,1557.95
2014-07-21,1557.97
2015-02-04,1557.97
2013-11-15,1557.97
2015-09-30,1557.99
2015-08-21,1557.99
2013-11-25,1557.99
2014-07-11,1558.02
2013-10-16,1558.03
2015-01-05,1558.05
2012-11-03,1558.06
2014-06-21,1558.09
2014-09-28,1558.11
2014-10-08,1558.17
2014-12-07,1558.18
2014-11-17,1558.21
2015-05-24,1558.23
2014-12-17,1558.26
2014-11-27,1558.34
2014-10-28,1558.39
2014-10-18,1558.47
