date_month,Quiscab,San_Francisco,Tzununa,La_Catarata,San_Buenaventura,q_pred_dev_m3s,q_pred_final_m3s,q_total_obs_m3s,n_rivers
2008-12-01,0.9513839540943023,0.19554190682702247,0.1077227974610944,0.012902411390342526,0.021394581780717764,1.2889456515534794,1.3952550965776578,,
2009-01-01,0.8728555537039234,0.14964095795415838,0.12779485338157223,0.00879655145347096,0.020571531392383813,1.1796594478855087,1.2511167157449952,,
2009-02-01,0.7981358447245189,0.1269896536240304,0.10686322248407773,0.005288975479830836,0.005769339676833765,1.0430470359892916,1.0676174797907145,,
2009-03-01,0.6619593712591356,0.1094167129570206,0.08444685440871023,0.0030319205450205326,0.0034718279864095615,0.8623266871562966,0.9356868394728479,,
2009-04-01,0.7197184960047404,0.11217090879486127,0.10887059892217318,0.005059486697371809,0.009146023513997289,0.954965513933144,0.9640618037887133,,
2009-05-01,1.0056012503562435,0.3973839007737901,0.12671159544298727,0.031074893793536427,0.052758606312749555,1.6135302466793067,1.767472972076007,,
2009-06-01,1.4895612517992656,0.6501661396943336,0.22028786142667134,0.040671697263929024,0.05624515783453632,2.456932108018736,2.9392202728300276,,
2009-07-01,1.5183504127687024,0.4491445911287467,0.14861412995284604,0.02947726105135788,0.04083796802824029,2.1864243629298934,2.7704240668669744,,
2009-08-01,1.0466189519051583,0.25507910527217104,0.11357207668404426,0.019845967394386602,0.02849418498019844,1.4636102862359588,1.551285770290257,,
2009-09-01,1.2949913581212362,0.3470616155375851,0.16570786635080972,0.030515107486605172,0.04093534669716576,1.879211294193402,1.8435138542561789,,
2009-10-01,1.2847365140914917,0.34066856363256126,0.1489129340456378,0.029786489989998343,0.040935885493179905,1.8450403872528691,1.8846685943880903,,
2009-11-01,1.6114495058854421,0.33351914225591367,0.1572091909746329,0.030205043283610032,0.04044293723927751,2.172825819638876,2.417535950631014,,
2009-12-01,0.9587887371740034,0.19849802586014176,0.13569533848954785,0.01324785688423391,0.024752917891787834,1.3309828762997147,1.5542109069708394,,
2010-01-01,0.8722080184567359,0.14383133226178432,0.11851944726321005,0.008996104612538821,0.020544336514896525,1.1640992391091656,1.3609703974157754,,
2010-02-01,0.7573606478316444,0.11989883095757817,0.1000726938779865,0.005547523936047583,0.006497590657126081,0.9893772872603827,1.0473718480285572,,
2010-03-01,0.7190635492724757,0.11432032510668573,0.12191380752671149,0.006803731809664861,0.007868605544536365,0.9699700192600742,0.9728750846650445,,
2010-04-01,0.8193972508112589,0.21513967825465447,0.13218766326705614,0.02463727925242925,0.029282452242594965,1.2206443238279938,1.138943139020798,,
2010-05-01,1.020053623184081,0.41261408697118995,0.14590633804759673,0.03282193464505515,0.04168338499708686,1.6530793678450098,1.6225776006470856,,
2010-06-01,1.3704691211382547,0.680957475970389,0.1760973225037257,0.03893216828966266,0.0652899121495419,2.331746000051574,3.2062362233451744,,
2010-07-01,2.0289313754727765,0.8485162309640875,0.20737143870322935,0.045776306225911556,0.07496460723819898,3.2055599586042036,5.317306142929644,,
2010-08-01,2.3994566125254475,0.8472533285175688,0.2487153963696572,0.04568608229270213,0.07232632496511872,3.6134377446704944,5.390592784082562,,
2010-09-01,1.8777470350265504,0.9274871513000025,0.24605630238850912,0.04578195956606549,0.0742279970396591,3.1713004453207865,5.549221169618355,,
2010-10-01,1.6605106322996077,0.5046322599008773,0.16910101881911677,0.03316209939714086,0.05057549448891659,2.417981504905659,3.6829133267315544,,
2010-11-01,1.0740769604841869,0.2340497739732303,0.10924735392133395,0.015200052456040941,0.03203369998042786,1.4646078408152199,2.0943149149288973,,
2010-12-01,0.8332649257875258,0.16417359823590422,0.10683499420842817,0.010563552909395932,0.025414924773144398,1.1402519959143984,1.3824279103036683,,
2011-01-01,0.7965668305273979,0.11045803670697332,0.10983829344472577,0.007445302985998181,0.013024360753272747,1.037332824418368,1.1887000391068487,,
2011-02-01,0.7327405938080379,0.11461984221445369,0.112119338874306,0.0068583851398487175,0.009469639032569399,0.9758077990692158,1.1015369666576273,,
2011-03-01,0.7901144700665628,0.1438133648252027,0.10748603507395714,0.01705011030175374,0.027682467991700956,1.0861464482591774,1.260118423045894,,
2011-04-01,0.7952995379765828,0.20858227132415658,0.14148962969581286,0.021793343102001154,0.02696347544524669,1.1941282575438,1.3411420349918288,,
