date,Quiscab,San_Francisco,Tzununa,La_Catarata,San_Buenaventura,q_pred_final_m3s
2008-12-01,1.0313724279403687,0.2961696430139654,0.15668423473834991,0.025145783413744145,0.030180821663903776,1.5395529107703319
2008-12-02,0.9588942527770996,0.2804115198649393,0.1504969745874405,0.022444538261063043,0.017102171901372677,1.429349457391915
2008-12-03,0.9588942527770996,0.2783727042315021,0.1504969745874405,0.022445374818046485,0.015430704026135472,1.425640010440224
2008-12-04,1.0395184755325317,0.30608413365722875,0.1654786467552185,0.025070786225543252,0.01842474827982813,1.5545767904503502
2008-12-05,1.1180906295776367,0.31381550837304123,0.1622537076473236,0.02557943332209465,0.020301176248585375,1.6400404551686816
2008-12-06,1.0395184755325317,0.3049829474629425,0.15733501315116882,0.025116000820157084,0.015906375926569856,1.5428588128933702
2008-12-07,1.0827373266220093,0.31319038873500177,0.17817147076129913,0.025179201753576224,0.020715262288787274,1.6199936501606735
2008-12-08,0.9717284440994263,0.2985587421651098,0.15205276012420654,0.024069019943655817,0.015084390932132053,1.4614933572645303
2008-12-09,1.0236974954605103,0.29463019368559196,0.16055603325366974,0.0243482673377913,0.015359647847503599,1.5185916375850668
2008-12-10,0.9984263777732849,0.2773805541905545,0.11419688165187836,0.022278024022862393,0.013764461809563044,1.4260462994481433
2008-12-11,0.9715015888214111,0.28253189254983035,0.11632298678159714,0.02191276148326332,0.019505700911406697,1.4117749305475087
2008-12-12,0.9032308459281921,0.2781387167248535,0.10851773619651794,0.021563473712830492,0.015032917349937546,1.3264836899123316
2008-12-13,0.9032308459281921,0.27132728839319176,0.11008545011281967,0.02134216726803688,0.013532569120147914,1.3195183208223886
2008-12-14,0.9447919726371765,0.27232103677233965,0.11584664136171341,0.021734331753787424,0.013614045880909646,1.3683080284059268
2008-12-15,0.9447919726371765,0.27157690112259686,0.11546377092599869,0.021307787179917933,0.01308974354079926,1.3662301754064892
2008-12-16,1.0122466087341309,0.24612161731496943,0.12086878716945648,0.021542664730029207,0.011217129927089455,1.4119968078756755
2008-12-17,0.9580696821212769,0.24299041271283064,0.1108277216553688,0.0217675058816751,0.011336914711596062,1.3449922370827474
2008-12-18,1.0021542310714722,0.24246370237976606,0.11521625518798828,0.02187571378179796,0.011383658310168262,1.3930935607311927
2008-12-19,0.9116013050079346,0.23462870531700566,0.11567182838916779,0.0209622527281001,0.010474697470354507,1.2933387889125627
2008-12-20,0.9335804581642151,0.23260660322063834,0.11656404286623001,0.021047300426999146,0.010972649794785745,1.3147710544728684
2008-12-21,0.9335804581642151,0.23370783649887117,0.1161889135837555,0.02087441477887331,0.010829481998831702,1.3151811050245468
2008-12-22,0.9789779782295227,0.2328851242793119,0.13459832966327667,0.021851540532800938,0.010483339094687199,1.3787963117995996
2008-12-23,0.9359130263328552,0.23277525451734543,0.12790459394454956,0.022446188327524173,0.010613855318818513,1.3296529184410928
2008-12-24,0.9359130263328552,0.23268763655353283,0.13221383094787598,0.022645097903894573,0.01110715173210588,1.3345667434702646
2008-12-25,0.9789779782295227,0.2352716228117628,0.13459832966327667,0.022729711574331745,0.011159329961887437,1.3827369722407814
2008-12-26,0.9453384876251221,0.23498745851021857,0.1328800618648529,0.02255123685361288,0.01241179578626111,1.3481690406400675
2008-12-27,0.9605996608734131,0.23825153319763495,0.1315360814332962,0.022994932441228567,0.011798054294312535,1.3651802622398854
2008-12-28,0.9034440517425537,0.21951437503481422,0.12669706344604492,0.019444057694594074,0.010025068808986607,1.2791246167269936
2008-12-29,0.9034440517425537,0.22149950449974015,0.1240692064166069,0.019239003146883614,0.011537178980206992,1.2797889447859914
2008-12-30,0.8864837288856506,0.21602437645415837,0.11862663924694061,0.019284696344132192,0.01198458038019328,1.252404021311075
2008-12-31,0.9077350497245789,0.21985870394397639,0.1173713207244873,0.019759219652483114,0.01393178743858747,1.278656081484113
