date,date_month,river,flow_m3s,pred_m3s,climatology_m3s,model_family
2021-06-09,2021-06-01,Quiscab,1.5010999999999999,1.087090015411377,1.2404899999999999,XGB_TWEEDIE
2021-07-14,2021-07-01,Quiscab,4.9828,1.5563992261886597,0.911675,XGB_TWEEDIE
2021-08-09,2021-08-01,Quiscab,2.2870999999999997,1.878260850906372,0.980805,XGB_TWEEDIE
2021-09-08,2021-09-01,Quiscab,3.8727,1.883675456047058,1.4868000000000001,XGB_TWEEDIE
2021-10-13,2021-10-01,Quiscab,1.7317,0.8606339693069458,1.83503,XGB_TWEEDIE
2021-11-10,2021-11-01,Quiscab,1.0897999999999999,0.9130500555038452,1.497055,XGB_TWEEDIE
2021-12-08,2021-12-01,Quiscab,1.0607,0.946011483669281,0.86782,XGB_TWEEDIE
2022-01-19,2022-01-01,Quiscab,0.9708,0.8287461400032043,1.1601,XGB_TWEEDIE
2022-02-09,2022-02-01,Quiscab,1.048,0.837864100933075,0.68821,XGB_TWEEDIE
2022-03-09,2022-03-01,Quiscab,0.6076,0.6593378186225891,0.4587,XGB_TWEEDIE
2022-04-06,2022-04-01,Quiscab,0.615,0.6398277282714844,0.5233,XGB_TWEEDIE
2022-05-11,2022-05-01,Quiscab,0.8149,0.6950340270996094,0.58553,XGB_TWEEDIE
2022-06-15,2022-06-01,Quiscab,4.8821,1.6381187438964844,1.2404899999999999,XGB_TWEEDIE
2022-07-13,2022-07-01,Quiscab,1.2848,1.2744866609573364,0.911675,XGB_TWEEDIE
2022-08-10,2022-08-01,Quiscab,1.4283,1.024074673652649,0.980805,XGB_TWEEDIE
2022-09-05,2022-09-01,Quiscab,6.4976,2.567735195159912,1.4868000000000001,XGB_TWEEDIE
2022-10-12,2022-10-01,Quiscab,6.7543,1.9411399364471436,1.83503,XGB_TWEEDIE
2022-11-07,2022-11-01,Quiscab,2.4880999999999998,1.733221173286438,1.497055,XGB_TWEEDIE
2022-12-05,2022-12-01,Quiscab,3.1883000000000004,1.4495477676391602,0.86782,XGB_TWEEDIE
2023-01-18,2023-01-01,Quiscab,0.9825,0.7688724398612976,1.1601,XGB_TWEEDIE
2023-02-15,2023-02-01,Quiscab,0.8871,0.7113813757896423,0.68821,XGB_TWEEDIE
2023-03-13,2023-03-01,Quiscab,1.1155,0.724907398223877,0.4587,XGB_TWEEDIE
2023-04-12,2023-04-01,Quiscab,0.7922,0.7194085121154785,0.5233,XGB_TWEEDIE
2023-05-10,2023-05-01,Quiscab,0.6817000000000001,0.7698881030082703,0.58553,XGB_TWEEDIE
2023-06-14,2023-06-01,Quiscab,0.7096,0.8714049458503723,1.2404899999999999,XGB_TWEEDIE
2023-09-13,2023-09-01,Quiscab,1.5451,1.1274176836013794,1.4868000000000001,XGB_TWEEDIE
2023-10-19,2023-10-01,Quiscab,2.9661999999999997,1.6992541551589966,1.83503,XGB_TWEEDIE
2023-11-06,2023-11-01,Quiscab,7.2947,1.8384894132614136,1.497055,XGB_TWEEDIE
2023-12-06,2023-12-01,Quiscab,1.103,0.9511047601699829,0.86782,XGB_TWEEDIE
2021-06-07,2021-06-01,San_Francisco,0.6325,0.3481062396980489,0.4243,RF_LOG
2021-07-12,2021-07-01,San_Francisco,0.3999,0.491874943996934,0.201805,RF_LOG
2021-08-11,2021-08-01,San_Francisco,0.6335,0.4648424353276983,0.29234,RF_LOG
2021-09-09,2021-09-01,San_Francisco,1.7147999999999999,0.8783474687028543,0.5749199999999999,RF_LOG
2021-10-11,2021-10-01,San_Francisco,0.4702,0.2512925469737875,0.38287000000000004,RF_LOG
2021-11-08,2021-11-01,San_Francisco,0.4839,0.2552669318752875,0.27118000000000003,RF_LOG
2021-12-06,2021-12-01,San_Francisco,0.3267,0.15875748248982177,0.193905,RF_LOG
2022-01-17,2022-01-01,San_Francisco,0.272,0.1423438950163857,0.22638,RF_LOG
2022-02-07,2022-02-01,San_Francisco,0.22419999999999998,0.11135474262091474,0.09570000000000001,RF_LOG
2022-03-07,2022-03-01,San_Francisco,0.179,0.0903334039739213,0.098,RF_LOG
2022-04-04,2022-04-01,San_Francisco,0.1173,0.09930381100879968,0.07898999999999999,RF_LOG
2022-05-09,2022-05-01,San_Francisco,0.3618,0.256235771437633,0.17937,RF_LOG
2022-06-13,2022-06-01,San_Francisco,0.8863,0.7358801186257691,0.4243,RF_LOG
2022-07-11,2022-07-01,San_Francisco,0.206,0.34741982799802573,0.201805,RF_LOG
2022-08-08,2022-08-01,San_Francisco,0.3464,0.24716057964911683,0.29234,RF_LOG
2022-09-07,2022-09-01,San_Francisco,3.5336,1.0335702031048641,0.5749199999999999,RF_LOG
2022-10-10,2022-10-01,San_Francisco,4.3266,0.5408794300251576,0.38287000000000004,RF_LOG
2022-11-09,2022-11-01,San_Francisco,1.3982,0.5184311609708663,0.27118000000000003,RF_LOG
2022-12-07,2022-12-01,San_Francisco,0.48269999999999996,0.21383721542090964,0.193905,RF_LOG
2023-01-16,2023-01-01,San_Francisco,0.26080000000000003,0.12457616573688383,0.22638,RF_LOG
2023-02-13,2023-02-01,San_Francisco,0.2231,0.11313312672089593,0.09570000000000001,RF_LOG
2023-03-15,2023-03-01,San_Francisco,0.2318,0.1507228994013388,0.098,RF_LOG
2023-04-10,2023-04-01,San_Francisco,0.1138,0.1531101787654514,0.07898999999999999,RF_LOG
2023-05-08,2023-05-01,San_Francisco,0.1891,0.16712769388546866,0.17937,RF_LOG
2023-06-12,2023-06-01,San_Francisco,0.21530000000000002,0.34933735713267594,0.4243,RF_LOG
2023-07-19,2023-07-01,San_Francisco,0.6532,0.2638444173624606,0.201805,RF_LOG
2023-08-07,2023-08-01,San_Francisco,0.8126,0.2786584568740979,0.29234,RF_LOG
2023-09-11,2023-09-01,San_Francisco,0.6479,0.327169811621061,0.5749199999999999,RF_LOG
2023-10-17,2023-10-01,San_Francisco,0.9527,0.7174035079074552,0.38287000000000004,RF_LOG
2023-11-09,2023-11-01,San_Francisco,1.6284,0.47123345050365906,0.27118000000000003,RF_LOG
2023-12-04,2023-12-01,San_Francisco,0.43439999999999995,0.20507398015986905,0.193905,RF_LOG
2021-06-09,2021-06-01,Tzununa,0.2626,0.2152198851108551,0.095085,XGB_TWEEDIE
2021-07-14,2021-07-01,Tzununa,0.21680000000000002,0.13579674065113068,0.09417,XGB_TWEEDIE
2021-08-09,2021-08-01,Tzununa,0.1635,0.16591106355190277,0.082415,XGB_TWEEDIE
2021-09-08,2021-09-01,Tzununa,0.43839999999999996,0.1678272932767868,0.12087999999999999,XGB_TWEEDIE
2021-10-13,2021-10-01,Tzununa,0.1696,0.09223543107509613,0.16803,XGB_TWEEDIE
2021-11-10,2021-11-01,Tzununa,0.2031,0.09110581874847412,0.11228,XGB_TWEEDIE
2021-12-08,2021-12-01,Tzununa,0.1792,0.11313103884458542,0.09573999999999999,XGB_TWEEDIE
2022-01-19,2022-01-01,Tzununa,0.0819,0.09238806366920471,0.0991,XGB_TWEEDIE
2022-02-09,2022-02-01,Tzununa,0.11,0.11796261370182037,0.06461,XGB_TWEEDIE
2022-03-09,2022-03-01,Tzununa,0.1166,0.06662339717149734,0.07097,XGB_TWEEDIE
2022-04-06,2022-04-01,Tzununa,0.09209999999999999,0.09811797738075256,0.06738,XGB_TWEEDIE
2022-05-11,2022-05-01,Tzununa,0.1066,0.10661313682794571,0.07313,XGB_TWEEDIE
2022-06-15,2022-06-01,Tzununa,0.5933999999999999,0.1637750267982483,0.095085,XGB_TWEEDIE
2022-07-13,2022-07-01,Tzununa,0.16169999999999998,0.13290533423423767,0.09417,XGB_TWEEDIE
2022-08-10,2022-08-01,Tzununa,0.163,0.11417899280786514,0.082415,XGB_TWEEDIE
2022-09-05,2022-09-01,Tzununa,0.5038,0.2277592569589615,0.12087999999999999,XGB_TWEEDIE
2022-10-12,2022-10-01,Tzununa,0.5836,0.17674967646598816,0.16803,XGB_TWEEDIE
2022-11-07,2022-11-01,Tzununa,0.362,0.17876888811588287,0.11228,XGB_TWEEDIE
2022-12-05,2022-12-01,Tzununa,0.22740000000000002,0.13382112979888916,0.09573999999999999,XGB_TWEEDIE
2023-01-18,2023-01-01,Tzununa,0.1419,0.10179737210273743,0.0991,XGB_TWEEDIE
2023-02-15,2023-02-01,Tzununa,0.1242,0.08539652079343796,0.06461,XGB_TWEEDIE
2023-03-13,2023-03-01,Tzununa,0.14880000000000002,0.11454905569553375,0.07097,XGB_TWEEDIE
2023-04-12,2023-04-01,Tzununa,0.1272,0.10456570982933044,0.06738,XGB_TWEEDIE
2023-05-10,2023-05-01,Tzununa,0.1864,0.10671941936016083,0.07313,XGB_TWEEDIE
2023-06-14,2023-06-01,Tzununa,0.2009,0.1688859462738037,0.095085,XGB_TWEEDIE
2023-07-17,2023-07-01,Tzununa,0.205,0.10954657196998596,0.09417,XGB_TWEEDIE
2023-08-09,2023-08-01,Tzununa,0.1885,0.11014711856842041,0.082415,XGB_TWEEDIE
2023-09-13,2023-09-01,Tzununa,0.1905,0.15976957976818085,0.12087999999999999,XGB_TWEEDIE
2023-10-19,2023-10-01,Tzununa,0.4072,0.19820956885814667,0.16803,XGB_TWEEDIE
2023-11-06,2023-11-01,Tzununa,0.1837,0.1823386698961258,0.11228,XGB_TWEEDIE
2023-12-06,2023-12-01,Tzununa,0.1055,0.09498918801546097,0.09573999999999999,XGB_TWEEDIE
2021-06-07,2021-06-01,La_Catarata,0.0598,0.029721980516741207,0.034235,RF_LOG
2021-07-12,2021-07-01,La_Catarata,0.0664,0.03151028051391045,0.015274999999999999,RF_LOG
2021-08-11,2021-08-01,La_Catarata,0.0386,0.02404746937440575,0.017365000000000002,RF_LOG
2021-09-09,2021-09-01,La_Catarata,0.0599,0.04478863146429071,0.036599999999999994,RF_LOG
2021-10-11,2021-10-01,La_Catarata,0.0512,0.02506150941746967,0.028435000000000002,RF_LOG
2021-11-08,2021-11-01,La_Catarata,0.0444,0.01933693447730294,0.03211,RF_LOG
2021-12-06,2021-12-01,La_Catarata,0.0367,0.009207628275954368,0.00932,RF_LOG
2022-01-17,2022-01-01,La_Catarata,0.0179,0.008369603814192496,0.016300000000000002,RF_LOG
2022-02-07,2022-02-01,La_Catarata,0.008400000000000001,0.00397117304330849,0.00068,RF_LOG
2022-03-07,2022-03-01,La_Catarata,0.00057,0.002797625904306313,0.0010500000000000002,RF_LOG
2022-04-04,2022-04-01,La_Catarata,0.0064,0.0034207395184558524,0.00308,RF_LOG
2022-05-09,2022-05-01,La_Catarata,0.0465,0.0287148269229482,0.016989999999999998,RF_LOG
2022-06-13,2022-06-01,La_Catarata,0.1696,0.04955512211969416,0.034235,RF_LOG
2022-07-11,2022-07-01,La_Catarata,0.016800000000000002,0.02929849212665309,0.015274999999999999,RF_LOG
2022-08-08,2022-08-01,La_Catarata,0.0173,0.020921762587183854,0.017365000000000002,RF_LOG
2022-09-07,2022-09-01,La_Catarata,0.1856,0.05073709417318261,0.036599999999999994,RF_LOG
2022-10-10,2022-10-01,La_Catarata,0.6337,0.03887922628601173,0.028435000000000002,RF_LOG
2022-11-09,2022-11-01,La_Catarata,0.10740000000000001,0.039494928576983,0.03211,RF_LOG
2022-12-07,2022-12-01,La_Catarata,0.0273,0.014693249521566665,0.00932,RF_LOG
2023-01-16,2023-01-01,La_Catarata,0.0484,0.008496566278394926,0.016300000000000002,RF_LOG
2023-02-13,2023-02-01,La_Catarata,0.013,0.004096742059402898,0.00068,RF_LOG
2023-03-15,2023-03-01,La_Catarata,0.013900000000000001,0.015206341698205506,0.0010500000000000002,RF_LOG
2023-04-10,2023-04-01,La_Catarata,0.0039,0.015387469819965034,0.00308,RF_LOG
2023-05-08,2023-05-01,La_Catarata,0.0188,0.019228473315620505,0.016989999999999998,RF_LOG
2023-06-12,2023-06-01,La_Catarata,0.09670000000000001,0.028532667295006028,0.034235,RF_LOG
2023-07-19,2023-07-01,La_Catarata,0.060200000000000004,0.023321800867204725,0.015274999999999999,RF_LOG
2023-08-07,2023-08-01,La_Catarata,0.07970000000000001,0.02458567125073598,0.017365000000000002,RF_LOG
2023-09-11,2023-09-01,La_Catarata,0.1011,0.024245519783084344,0.036599999999999994,RF_LOG
2023-10-23,2023-10-01,La_Catarata,0.1092,0.03718829724148567,0.028435000000000002,RF_LOG
2023-11-09,2023-11-01,La_Catarata,0.0513,0.04203341578834592,0.03211,RF_LOG
2023-12-04,2023-12-01,La_Catarata,0.0305,0.019615330695408325,0.00932,RF_LOG
2021-06-07,2021-06-01,San_Buenaventura,0.0501,0.03643692929699801,0.057495000000000004,RF_LOG
2021-07-12,2021-07-01,San_Buenaventura,0.0419,0.044674463655243093,0.016640000000000002,RF_LOG
2021-08-11,2021-08-01,San_Buenaventura,0.0466,0.03292168443447969,0.02352,RF_LOG
2021-09-09,2021-09-01,San_Buenaventura,0.0877,0.06511794799194229,0.048485,RF_LOG
2021-10-11,2021-10-01,San_Buenaventura,0.0359,0.025837956671871765,0.054514999999999994,RF_LOG
2021-11-08,2021-11-01,San_Buenaventura,0.046799999999999994,0.038470634960051354,0.02228,RF_LOG
2021-12-06,2021-12-01,San_Buenaventura,0.0089,0.015505096299990317,0.0077599999999999995,RF_LOG
2022-01-17,2022-01-01,San_Buenaventura,0.0104,0.0307457124438515,0.1369,RF_LOG
2022-02-07,2022-02-01,San_Buenaventura,0.0026,0.022930180004574648,0.00217,RF_LOG
2022-03-07,2022-03-01,San_Buenaventura,0.0028,0.002149688827650228,0.00055,RF_LOG
2022-04-04,2022-04-01,San_Buenaventura,0.0039,0.004406245345056335,0.002495,RF_LOG
2022-05-09,2022-05-01,San_Buenaventura,0.0655,0.039664371105302326,0.032170000000000004,RF_LOG
2022-06-13,2022-06-01,San_Buenaventura,0.1559,0.07848635101559766,0.057495000000000004,RF_LOG
2022-07-11,2022-07-01,San_Buenaventura,0.04,0.028009574853498302,0.016640000000000002,RF_LOG
2022-08-08,2022-08-01,San_Buenaventura,0.031,0.03305376795405081,0.02352,RF_LOG
2022-09-07,2022-09-01,San_Buenaventura,0.174,0.0836418552504109,0.048485,RF_LOG
2022-10-10,2022-10-01,San_Buenaventura,0.5172,0.060942450671038595,0.054514999999999994,RF_LOG
2022-11-09,2022-11-01,San_Buenaventura,0.0501,0.05398340147796227,0.02228,RF_LOG
2022-12-07,2022-12-01,San_Buenaventura,0.0050999999999999995,0.037280727198151606,0.0077599999999999995,RF_LOG
2023-01-16,2023-01-01,San_Buenaventura,0.0175,0.029356270353833227,0.1369,RF_LOG
2023-02-13,2023-02-01,San_Buenaventura,0.0119,0.0041865743635392605,0.00217,RF_LOG
2023-03-15,2023-03-01,San_Buenaventura,0.0314,0.032676120286002586,0.00055,RF_LOG
2023-04-10,2023-04-01,San_Buenaventura,0.0155,0.010342384538662855,0.002495,RF_LOG
2023-05-08,2023-05-01,San_Buenaventura,0.0060999999999999995,0.016224776106126316,0.032170000000000004,RF_LOG
2023-06-12,2023-06-01,San_Buenaventura,0.015099999999999999,0.03563870949625986,0.057495000000000004,RF_LOG
2023-07-19,2023-07-01,San_Buenaventura,0.0456,0.02475677414580467,0.016640000000000002,RF_LOG
2023-08-07,2023-08-01,San_Buenaventura,0.048299999999999996,0.029244425911626574,0.02352,RF_LOG
2023-09-11,2023-09-01,San_Buenaventura,0.0584,0.033109765366377206,0.048485,RF_LOG
2023-10-23,2023-10-01,San_Buenaventura,0.0841,0.06173499985148648,0.054514999999999994,RF_LOG
2023-11-09,2023-11-01,San_Buenaventura,0.039200000000000006,0.05209202338085405,0.02228,RF_LOG
2023-12-04,2023-12-01,San_Buenaventura,0.004200000000000001,0.019364587556866254,0.0077599999999999995,RF_LOG
