model,n,MAE_m3s,RMSE_m3s,bias_m3s,highflow_MAE_m3s,R2,NSE,Pearson_r,MAE_skill_vs_monthly_climatology
SUM_PER_RIVER_MODELS,29,1.6497067481220584,2.9173696556877378,-1.6269897813812022,4.736170100779578,0.0959470051954684,0.0959470051954684,0.8576365976587689,0.14522324992362468
SUM_PER_RIVER_MONTHLY_CLIMATOLOGY,29,1.9299855172413793,3.309959971371412,-1.8496648275862073,5.49587375,-0.16374130666817321,-0.16374130666817321,0.6070609306001113,0.0
