model,n,MAE_m3s,RMSE_m3s,bias_m3s,highflow_MAE_m3s,R2,NSE,Pearson_r,river,MAE_skill_vs_monthly_climatology
Quiscab_XGB_TWEEDIE,29,1.0772425303952449,1.872226766434858,-1.0547212479295403,3.2330425132751466,0.08824129455115803,0.08824129455115803,0.8636464070174467,Quiscab,0.1464897342834106
Quiscab_MonthlyClimatology,29,1.262131896551724,2.1139509356568933,-1.1650025862068965,3.65975,-0.1623925700219644,-0.1623925700219644,0.5487900720010377,Quiscab,0.0
San_Francisco_RF_LOG,31,0.4408243664773568,0.8893466132359068,-0.414582927258448,1.2598495254106594,0.09279144162859143,0.09279144162859143,0.7013456947714883,San_Francisco,0.11238765740932555
San_Francisco_MonthlyClimatology,31,0.4966406451612903,0.988484062149812,-0.48315677419354836,1.5098274999999999,-0.12073870378232554,-0.12073870378232554,0.5563628778654697,San_Francisco,0.0
Tzununa_XGB_TWEEDIE,31,0.09261549109489688,0.14498344896549195,-0.09088046818317906,0.2395336593270302,-0.1066350130512208,-0.1066350130512208,0.7021470476771419,Tzununa,0.2682013641656037
Tzununa_MonthlyClimatology,31,0.12655870967741933,0.17598569265068661,-0.1254490322580645,0.30029875,-0.6305055326418494,-0.6305055326418494,0.5873387705107033,Tzununa,0.0
La_Catarata_RF_LOG,31,0.04993044374762733,0.11619869259498368,-0.04789365887976059,0.14872268415922707,-0.07820668857577395,-0.07820668857577395,0.4968150495719546,La_Catarata,0.04808998783766261
La_Catarata_MonthlyClimatology,31,0.05245290322580646,0.11942686844446528,-0.052417741935483875,0.154373125,-0.13894729508547887,-0.13894729508547887,0.42461377662579036,La_Catarata,0.0
San_Buenaventura_RF_LOG,31,0.031992829429112406,0.08598843571305892,-0.021635920941446413,0.08196097010320097,0.14621768648116895,0.14621768648116895,0.5737866179157491,San_Buenaventura,0.2947283261314898
San_Buenaventura_MonthlyClimatology,31,0.045362419354838715,0.09544537993431873,-0.023001451612903227,0.09265166666666666,-0.05190587155814974,-0.05190587155814974,0.1924992761047885,San_Buenaventura,0.0
