date,Quiscab,San_Francisco,Tzununa,La_Catarata,San_Buenaventura,q_pred_dev_m3s
2008-12-01,1.0205113887786865,0.23486617693597947,0.10137934982776642,0.01875340967042795,0.02145927571367813,1.3969696009265387
2008-12-02,0.9708162546157837,0.21695128059069754,0.09709808230400085,0.01588735609096082,0.01511700593191459,1.3158699795333575
2008-12-03,0.9708162546157837,0.21046509414119158,0.09709808230400085,0.015474425795289534,0.01457134980583923,1.308425206662105
2008-12-04,0.9347273111343384,0.21815663558263923,0.09839127957820892,0.016374817121570878,0.0227345296483484,1.2903845730651058
2008-12-05,0.9539636373519897,0.22795414627787236,0.09892234951257706,0.016529158306785054,0.024537255876059934,1.3219065473252842
2008-12-06,0.9347273111343384,0.21918833279276614,0.09575176984071732,0.015915403117022275,0.022600854334318004,1.288183671219162
2008-12-07,1.0147058963775635,0.22372559275727127,0.10359593480825424,0.01607547563483119,0.024906476230836645,1.3830093758087567
2008-12-08,0.9539636373519897,0.21896841735784375,0.09815347194671631,0.014373396240506488,0.021184621443551398,1.3066435443406077
2008-12-09,0.9781410098075867,0.2120412692218272,0.1055372953414917,0.014248033769047461,0.021059787405783986,1.331027395545737
2008-12-10,0.9418031573295593,0.20556089778881806,0.09897418320178986,0.012580273468206282,0.025106517857119627,1.2840250296454934
2008-12-11,1.01894211769104,0.21998987755525073,0.0990886241197586,0.013372753174844688,0.02708541082520878,1.3784787833661027
2008-12-12,0.918523907661438,0.21104355284583823,0.09355975687503815,0.012411216315957785,0.0260226167301833,1.2615610504284556
2008-12-13,0.9374268651008606,0.20725951471209758,0.09659502655267715,0.01243846609558092,0.022991232651561104,1.2767111051127773
2008-12-14,0.9982956647872925,0.2095882928335342,0.10387387126684189,0.012561628722759099,0.023632689662000238,1.3479521472724278
2008-12-15,0.9982956647872925,0.20562184839914013,0.10331622511148453,0.011995590940351566,0.02123879140590998,1.3404681206441786
2008-12-16,0.9781652688980103,0.1795789884019847,0.10242325812578201,0.012276589707446413,0.016139231054503628,1.288583336187727
2008-12-17,0.9736200571060181,0.17943750026931918,0.09571504592895508,0.01183083545353749,0.01572531550248669,1.2763287542603166
2008-12-18,0.9822245836257935,0.18055546890712781,0.1005641296505928,0.011576094986588273,0.015214883079219465,1.2901351602493216
2008-12-19,0.8914325833320618,0.17603520690013733,0.10136833041906357,0.011372150835072816,0.014438170209273777,1.1946464416956093
2008-12-20,0.9202600717544556,0.17646263110634,0.10136833041906357,0.01144417606325269,0.014579740607799072,1.2241149499509107
2008-12-21,0.9447347521781921,0.17695759774303618,0.10136833041906357,0.011402794272154088,0.01458151340193452,1.2490449880143806
2008-12-22,1.0107529163360596,0.17570834624993362,0.1320672631263733,0.011519451672798229,0.014637046726029732,1.3446850241111945
2008-12-23,0.9548897743225098,0.1751774899612071,0.12387613952159882,0.011383793130836924,0.016465873325919318,1.281793070262072
2008-12-24,0.9745410680770874,0.1773529956489003,0.12833181023597717,0.011427421444367838,0.017264663843187235,1.3089179592495201
2008-12-25,0.9737949371337891,0.17712947538860116,0.13306793570518494,0.011633478675756008,0.024407511308377167,1.3200333382117084
2008-12-26,0.9638763070106506,0.17733537068052882,0.12390124797821045,0.01164552985198224,0.025251855988790126,1.3020103115101622
2008-12-27,0.9837125539779663,0.1760523996533354,0.1282738745212555,0.011470225425354934,0.026227770285516185,1.3257368238634284
2008-12-28,0.8750860095024109,0.1812764160236465,0.1289743185043335,0.01096396892496703,0.022916241154086685,1.2192169541094444
2008-12-29,0.843636691570282,0.1782415544436435,0.12316960096359253,0.010912868894050621,0.029972259190643863,1.1859329750622125
2008-12-30,0.8350437879562378,0.1670851054820976,0.1146848201751709,0.010573201010264318,0.030252386377659642,1.1576393010014303
2008-12-31,0.8414711356163025,0.16603163498508933,0.1089169830083847,0.009550768288046387,0.03090915762451025,1.156879679522333
2009-01-01,0.8758090138435364,0.15703013435682592,0.11477045714855194,0.009373518228388021,0.030535824925982422,1.1875189485032847
2009-01-02,0.8484082221984863,0.15592029195743728,0.12025019526481628,0.009335294268001833,0.030675912005511643,1.1645899156942534
2009-01-03,0.8444659113883972,0.15917438479491494,0.11593426018953323,0.009512086315968714,0.031109951060864942,1.1601965937496792
2009-01-04,0.8110851049423218,0.16246859400642608,0.12341028451919556,0.009737938358734237,0.03111326152887477,1.1378151833555523
2009-01-05,0.8441829681396484,0.16105979176680907,0.12438016384840012,0.009734272081395292,0.02502557535558072,1.1643827711918338
2009-01-06,0.8767761588096619,0.15346970273310262,0.12421000003814697,0.009392980917689432,0.01473532945819584,1.1785841719567967
2009-01-07,0.8767761588096619,0.16318781683908848,0.13028255105018616,0.010352996554632933,0.01343423304218609,1.1940337562957557
2009-01-08,0.9656264781951904,0.1627251910567954,0.14541824162006378,0.01082828208997476,0.011389343321978454,1.2959875362840028
2009-01-09,0.9216543436050415,0.16602107927370147,0.16957156360149384,0.010771277630483883,0.010970016955204083,1.2789882810659248
2009-01-10,0.8665232062339783,0.15065263705069834,0.10994800925254822,0.011121929837369078,0.010008988935538407,1.1482547713101323
2009-01-11,0.9790862798690796,0.17640273198877873,0.2712610960006714,0.013053595233249747,0.016889585050690062,1.4566932881424695
