depth_lo_m,depth_hi_m,amsclae_shallow_pixels,observed_direct_pixels,amsclae_supported_pixels,known_pixels,known_pct
0.5,2.0,1585,289,40,329,20.757097791798106
2.0,5.0,2339,696,46,742,31.722958529286018
5.0,10.0,3659,1279,80,1359,37.14129543591145
10.0,20.0,7289,1747,124,1871,25.668816024145972
20.0,30.0,6600,727,21,748,11.333333333333334
