stable_z_m,predicted_z_m,residual_m,abs_residual_m,nearest_neighbor_m,n_neighbors
1553.924,1552.4789999999998,-1.4450000000001637,1.4450000000001637,40.0,8
1552.479,1552.6332683125518,0.15426831255172146,0.15426831255172146,28.284271247461902,8
1553.924,1553.0382936579563,-0.8857063420437044,0.8857063420437044,28.284271247461902,6
1552.479,1552.5920914708013,0.11309147080123694,0.11309147080123694,20.0,8
1552.479,1552.5784190115417,0.09941901154161314,0.09941901154161314,20.0,8
1552.479,1552.54389768116,0.06489768115989136,0.06489768115989136,20.0,8
1553.924,1552.4789999999998,-1.4450000000001637,1.4450000000001637,28.284271247461902,8
1553.924,1552.9596274044875,-0.9643725955124864,0.9643725955124864,28.284271247461902,7
1552.479,1552.673539185717,0.1945391857168488,0.1945391857168488,28.284271247461902,8
1552.479,1552.5482281228901,0.06922812289008107,0.06922812289008107,20.0,8
1552.479,1552.5330150073355,0.05401500733546527,0.05401500733546527,20.0,8
1552.479,1552.479,0.0,0.0,20.0,8
1552.479,1552.7324634927381,0.2534634927380921,0.2534634927380921,20.0,8
1552.479,1552.840881972253,0.36188197225305885,0.36188197225305885,20.0,7
1552.479,1552.6649547656434,0.18595476564337332,0.18595476564337332,20.0,7
1552.479,1552.6234923524103,0.14449235241022507,0.14449235241022507,20.0,8
1552.479,1552.5487872464985,0.0697872464984357,0.0697872464984357,20.0,8
1552.479,1552.5730433637546,0.09404336375450839,0.09404336375450839,20.0,8
1552.479,1552.6811918187636,0.2021918187635947,0.2021918187635947,20.0,8
1552.479,1552.7164310834096,0.23743108340954677,0.23743108340954677,20.0,7
1552.479,1552.5931900242836,0.11419002428351632,0.11419002428351632,20.0,8
1553.98125,1552.6149197319753,-1.3663302680247398,1.3663302680247398,40.0,8
1553.924,1552.7414012012996,-1.1825987987003828,1.1825987987003828,56.568542494923804,8
1552.479,1552.55764046052,0.07864046051986406,0.07864046051986406,20.0,8
1553.98125,1552.741113148391,-1.2401368516091225,1.2401368516091225,28.284271247461902,8
1553.924,1553.5806324697521,-0.3433675302478605,0.3433675302478605,28.284271247461902,5
1552.479,1552.5964333392756,0.11743333927552158,0.11743333927552158,20.0,8
1552.479,1552.5708563406586,0.09185634065852355,0.09185634065852355,20.0,8
1552.479,1552.6127321557751,0.13373215577507835,0.13373215577507835,20.0,8
1552.479,1552.853759639718,0.37475963971792225,0.37475963971792225,20.0,8
1553.6950000000002,1553.3356202714924,-0.35937972850774713,0.35937972850774713,20.0,8
1553.6950000000002,1553.5211008560836,-0.17389914391651473,0.17389914391651473,20.0,8
1552.479,1552.5273708343896,0.04837083438951595,0.04837083438951595,20.0,8
1552.479,1552.5465467241406,0.06754672414058405,0.06754672414058405,20.0,8
1552.479,1552.5949567011867,0.11595670118663293,0.11595670118663293,20.0,8
1552.479,1552.6031326315388,0.12413263153871412,0.12413263153871412,20.0,8
1552.479,1552.6121612324175,0.13316123241747846,0.13316123241747846,20.0,8
1553.6950000000002,1553.53874329637,-0.15625670363010613,0.15625670363010613,20.0,8
1553.98125,1553.4195922878548,-0.5616577121452337,0.5616577121452337,20.0,8
1552.479,1552.5925181054542,0.11351810545420449,0.11351810545420449,20.0,8
1552.479,1552.600879545418,0.12187954541786894,0.12187954541786894,20.0,8
1552.479,1553.747161920222,1.268161920221928,1.268161920221928,56.568542494923804,3
1552.479,1552.5187025536693,0.03970255366925812,0.03970255366925812,20.0,8
1552.479,1552.6298443730395,0.15084437303949016,0.15084437303949016,20.0,8
1552.479,1552.584175786683,0.1051757866830485,0.1051757866830485,20.0,8
1552.479,1552.6092254751263,0.1302254751262808,0.1302254751262808,20.0,8
