n,obs_mean,sim_mean,bias,relative_bias_pct,mae,rmse,pearson_r,model,variable,month
1054,0.3686543253899506,0.8580441068605527,0.48938978147060186,132.7503158827558,0.9850839967363244,2.5106230341385505,-0.024959667539983948,ACCESS-CM2,precip_consensus,1
960,0.6296391970554329,1.1009778438220124,0.4713386467665795,74.8585299280666,1.369263163809426,3.0932601094513155,-0.026119718148561955,ACCESS-CM2,precip_consensus,2
1054,1.5286393068467115,1.2929598127249309,-0.23567949412178082,-15.417600022855769,2.1443458010185883,4.455024888075692,0.016703783079553343,ACCESS-CM2,precip_consensus,3
1020,3.3015951336251543,2.305980211393555,-0.9956149222315998,-30.155572743966754,3.8117706839728416,5.779773564311934,-0.029189879774325796,ACCESS-CM2,precip_consensus,4
1054,8.25663468976617,8.027257046023168,-0.2293776437430011,-2.7781009135272416,7.625678666587828,10.12515429923283,0.0747524271093412,ACCESS-CM2,precip_consensus,5
1020,10.943573573043981,13.461240466864997,2.5176668938210187,23.005893614335374,8.822611621356641,11.169065307242755,-0.02307147270756086,ACCESS-CM2,precip_consensus,6
1054,7.218289280959809,11.082871979359531,3.864582698399722,53.538761720087955,8.124821304396981,10.496357173488905,0.0062218286059181165,ACCESS-CM2,precip_consensus,7
1054,8.047922313901696,10.302900316711536,2.254978002809843,28.01938083963204,7.9659814631617065,10.039608190054112,0.07916355721856402,ACCESS-CM2,precip_consensus,8
1020,11.492642896448613,14.566397056395425,3.073754159946812,26.745407367496338,9.276655700566995,12.176000934705336,-0.022769363565477763,ACCESS-CM2,precip_consensus,9
1054,7.302695459658507,11.512396100541785,4.209700640883279,57.64584685392502,9.395114205148571,12.750737668071356,0.11299393140839979,ACCESS-CM2,precip_consensus,10
1020,2.423605491486269,3.6036660796681015,1.1800605881818327,48.690291894749095,3.981511882546054,7.130748672276374,0.06005320853366124,ACCESS-CM2,precip_consensus,11
1054,0.7674585471686034,1.6538151830742547,0.886356635905651,115.49244440311467,1.9154747105354386,4.728485249242445,-0.013238087134992844,ACCESS-CM2,precip_consensus,12
1054,15.332099226326973,15.991518743923658,0.659419517596685,4.300908230911955,1.5637349249769559,1.9377684433780409,-0.010208032527675657,ACCESS-CM2,tas,1
960,16.029824437417012,16.429977972520525,0.4001535351035163,2.4963064110014392,1.3618343906069001,1.7259044340569152,0.12663528617781913,ACCESS-CM2,tas,2
1054,16.62624387650164,17.289797423252566,0.6635535467509279,3.991000924079718,1.7384625625444978,2.1631022478345194,0.05853090194895922,ACCESS-CM2,tas,3
1020,17.132186214938045,18.459732965174894,1.3275467502368468,7.748846140134297,1.835918006699667,2.237932049702868,-0.09696160196755332,ACCESS-CM2,tas,4
1054,17.043248637548622,18.83835102706701,1.7951023895183909,10.532630413919641,2.00064410254322,2.3947094345582496,-0.056900943687820844,ACCESS-CM2,tas,5
1020,16.62766233701668,18.332487309095292,1.704824972078611,10.25294438583415,1.7329480484124098,2.0225607400990726,-0.027922382273868042,ACCESS-CM2,tas,6
1054,16.56660255028934,17.985460694082143,1.4188581437928007,8.5645692258611,1.4500352455949965,1.6893465739885605,-0.04268039065155743,ACCESS-CM2,tas,7
1054,16.605652794195006,17.867097820355934,1.2614450261609262,7.596479595200867,1.3055123081369697,1.5115672812195204,0.09999641216283532,ACCESS-CM2,tas,8
1020,16.254945785407532,17.7496163365262,1.4946705511186689,9.195174015655418,1.5129061194682083,1.709070725239674,0.1115630473645054,ACCESS-CM2,tas,9
1054,16.055269399064187,17.430438913775774,1.375169514711586,8.56522229886557,1.5550226928997424,1.8368364893611588,0.0976038516581416,ACCESS-CM2,tas,10
1020,15.622706843760522,17.035014606158267,1.4123077623977456,9.040096421970565,1.913517457814351,2.2830887666146267,-0.01708061467481768,ACCESS-CM2,tas,11
1054,15.362106867669596,16.3585290984027,0.9964222307331045,6.486234208083334,1.7675132745295423,2.168862365428607,-0.0859091514304986,ACCESS-CM2,tas,12
1054,11.866369181069388,9.709637452880663,-2.156731728188725,-18.175161207940455,2.5318360261986728,3.158185667826409,0.0010003263771390437,ACCESS-CM2,tasmin,1
960,12.24321210221052,9.989243563493982,-2.2539685387165367,-18.409944383055986,2.528925199575,3.1196421128645375,0.0706193695297321,ACCESS-CM2,tasmin,2
1054,12.879569901170148,10.755756807793544,-2.1238130933766026,-16.489782730894202,2.5467741735940863,3.33145433235583,0.06821896322760143,ACCESS-CM2,tasmin,3
1020,13.75964925672512,12.16702059193287,-1.5926286647922498,-11.574631264774732,2.068110875600542,2.711043312577857,-0.006964528842335893,ACCESS-CM2,tasmin,4
1054,14.386521793153456,13.268386126556928,-1.1181356665965292,-7.772105604626755,1.5558752855281703,2.097383627063864,0.008527709053604856,ACCESS-CM2,tasmin,5
1020,14.484391844133354,13.626504374526284,-0.8578874696070692,-5.922840798832305,1.145227374457268,1.4666761413414688,0.00016166685063252777,ACCESS-CM2,tasmin,6
1054,14.118229145314213,13.114541332164087,-1.003687813150127,-7.109162224380294,1.2396274394788105,1.5523517333358243,-0.050950469213661434,ACCESS-CM2,tasmin,7
1054,14.200022594868791,12.623685032996487,-1.5763375618723066,-11.100951081880106,1.639024976796751,1.9733153450954706,0.07779028106180531,ACCESS-CM2,tasmin,8
1020,14.214839590717506,12.929882006807185,-1.2849575839103209,-9.039550363617305,1.3782310089251566,1.697322305033649,0.05182169208146316,ACCESS-CM2,tasmin,9
1054,13.875989385329087,12.668842913480237,-1.20714647184885,-8.699534413921873,1.593281618355201,2.1276243582484247,0.09897010390679098,ACCESS-CM2,tasmin,10
1020,12.972037244638594,11.605904205070509,-1.3661330395680846,-10.53136846436911,2.145443407524979,2.792162966418047,0.059008878249556855,ACCESS-CM2,tasmin,11
1054,12.298558151070695,10.413298964947668,-1.8852591861230283,-15.329107387754233,2.4199727930547117,3.1047677971055685,-0.004512353016607915,ACCESS-CM2,tasmin,12
1054,20.189968832132156,22.273399693372046,2.0834308612398877,10.319138571051809,2.46578105321398,2.941543653538754,0.021727623080457302,ACCESS-CM2,tasmax,1
960,21.262673748130634,22.870711887859933,1.608038139729294,7.562727805437305,2.1885784398911463,2.6820912459392448,0.04516310164527347,ACCESS-CM2,tasmax,2
1054,21.759423145302176,23.82383760487536,2.0644144595731846,9.48745031422806,2.6186796800380896,3.231812078474523,0.01464602530786696,ACCESS-CM2,tasmax,3
