model,n,obs_mean,sim_mean,bias,relative_bias_pct,mae,rmse,pearson_r,variable,obs_column,cmip_column,obs_trend_per_decade,cmip_trend_per_decade,trend_difference_per_decade
ACCESS-CM2,12418,6.079980339721177,6.6692419046077775,0.5892615648866012,9.691833393553773,5.85270861792351,9.40522941734929,0.3458816155397105,precip_vs_era5,era_precip_mm,pr_mm_day,86.55034280169134,-1.9049186558284914,-88.45526145751984
ACCESS-CM2,12418,4.328760014802917,6.6692419046077775,2.340481889804861,54.06818307786046,5.875458549155258,9.39147531924898,0.30968800107753236,precip_vs_chirps,chirps_precip_mm,pr_mm_day,79.57510910232666,-1.9049186558284914,-81.48002775815516
ACCESS-CM2,12418,5.204370177262047,6.6692419046077775,1.4648717273457312,28.14695491388704,5.4712389015158225,8.637631259232059,0.3728187655739166,precip_vs_consensus,precip_consensus_mm,pr_mm_day,83.06272595200895,-1.9049186558284914,-84.96764460783744
ACCESS-CM2,12418,16.271866007186908,17.484092871372177,1.2122268641852623,7.449833127004915,1.645840836467811,1.992513160168626,0.3012550834858837,tas,tmean_c,tas_c,0.1007013019605791,0.29739069946725644,0.19668939750667735
ACCESS-CM2,12418,13.446130142796218,11.913161852129301,-1.5329682906669155,-11.40081402148413,1.8969510878836249,2.5118042082713425,0.42615048037150277,tasmin,tmin_c,tasmin_c,0.07892369263680964,0.28056743498908154,0.2016437423522719
ACCESS-CM2,12418,20.360605624004958,23.055023794811756,2.694418170806801,13.23348735574991,2.900709488057567,3.414838658915484,0.20377469217601432,tasmax,tmax_c,tasmax_c,0.15571252815721662,0.3142140300725096,0.15850150191529297
ACCESS-CM2,12418,78.48741874049715,80.96278907283077,2.4753703323336262,3.153843472057528,7.146635474109947,9.143837753687569,0.5866361128784091,rh,rh_derived_pct,rh_pct,-0.45331520094804933,-0.19935547294940487,0.25395972799864447
ACCESS-CM2,12418,18.958588617734225,20.770943672258202,1.8123550545239757,9.559546288317392,3.2425674906990234,4.269481933074834,0.29096371304640134,shortwave,solar_mj_m2,rsds_mj_m2_day,-0.002873918555563225,-0.053359287120541166,-0.05048536856497794
ACCESS-CM2,12418,31.14497811398399,28.321770108817663,-2.823208005166324,-9.06472945601048,2.8854461742615274,3.1533907661966034,0.43661981169771796,longwave,longwave_mj_m2,rlds_mj_m2_day,0.05663920573494642,0.09919228424733206,0.04255307851238564
ACCESS-CM2,12418,0.8453482250675511,2.773896771630092,1.9285485465625407,228.13658198766927,1.9400424875400393,2.357240066025559,0.12352456006852411,wind,wind_ms,sfcWind_ms,0.013394066583884399,-0.013999930651840926,-0.027393997235725324
ACCESS-ESM1-5,12418,6.079980339721177,6.644251767735505,0.5642714280143281,9.280810076438588,5.926325689926605,9.584013813485257,0.32743913369858807,precip_vs_era5,era_precip_mm,pr_mm_day,86.55034280169134,-5.843267632133509,-92.39361043382485
ACCESS-ESM1-5,12418,4.328760014802917,6.644251767735505,2.3154917529325876,53.49087833500534,5.922937343604668,9.55201904735633,0.29165369514592665,precip_vs_chirps,chirps_precip_mm,pr_mm_day,79.57510910232666,-5.843267632133509,-85.41837673446017
ACCESS-ESM1-5,12418,5.204370177262047,6.644251767735505,1.4398815904734577,27.66677890754806,5.547394439612316,8.821949533238804,0.3521362834946703,precip_vs_consensus,precip_consensus_mm,pr_mm_day,83.06272595200895,-5.843267632133509,-88.90599358414245
ACCESS-ESM1-5,12418,16.271866007186908,17.397627124236628,1.1257611170497166,6.918451249245132,1.3802303718080737,1.642242318104644,0.4079559470411162,tas,tmean_c,tas_c,0.1007013019605791,0.23358217069181764,0.13288086873123856
ACCESS-ESM1-5,12418,13.446130142796218,11.946886039273231,-1.4992441035229878,-11.150004407225001,1.6872274178521245,2.100661656107347,0.5438983257164423,tasmin,tmin_c,tasmin_c,0.07892369263680964,0.28242783050132847,0.20350413786451882
ACCESS-ESM1-5,12418,20.360605624004958,22.84836816756978,2.4877625435648225,12.218509554704868,2.678721663441261,3.142757403900883,0.22002296083371306,tasmax,tmax_c,tasmax_c,0.15571252815721662,0.18473625215566536,0.02902372399844874
ACCESS-ESM1-5,12418,78.48741874049715,81.01223531233025,2.524816571833112,3.2168424090756633,7.264573798608284,9.240619269195657,0.5710238296419196,rh,rh_derived_pct,rh_pct,-0.45331520094804933,0.0407781067660316,0.49409330771408094
ACCESS-ESM1-5,12418,18.958588617734225,20.782649663475674,1.8240610457414494,9.62129134462672,3.210783240578334,4.215868172998389,0.3042607676250323,shortwave,solar_mj_m2,rsds_mj_m2_day,-0.002873918555563225,-0.029615580221255097,-0.026741661665691873
ACCESS-ESM1-5,12418,31.14497811398399,28.35387253460222,-2.7911055793817634,-8.961655292120968,2.857744182792834,3.1198992566969617,0.44042034696591675,longwave,longwave_mj_m2,rlds_mj_m2_day,0.05663920573494642,0.15377433056425066,0.09713512482930424
