model,metric,reference,cmip6,difference,relative_difference_pct
ACCESS-CM2,days_precip_ge_0.1mm_pct,87.49396038009341,75.79320341439846,-11.70075696569495,-13.373216751035425
ACCESS-CM2,days_precip_ge_1mm_pct,62.15171525205348,60.19487840231922,-1.956836849734259,-3.148484063228819
ACCESS-CM2,days_precip_ge_10mm_pct,19.785794813979706,29.086809470124013,9.301014656144307,47.00854700854701
ACCESS-CM2,days_precip_ge_20mm_pct,3.688194556289257,8.439362216137864,4.751167659848607,128.82096069868996
ACCESS-CM2,days_precip_ge_50mm_pct,0.08052826542116283,0.08052826542116283,0.0,0.0
ACCESS-CM2,dry_days_lt_1mm_pct,37.84828474794653,39.80512159768079,1.956836849734259,5.170212765957452
ACCESS-CM2,wet_day_mean_mm,8.191842285388477,10.957621930951102,2.765779645562626,33.76260857091765
ACCESS-CM2,annual_precip_mean_mm,1900.8196723894148,2435.8425285711587,535.0228561817439,28.14695491388704
ACCESS-ESM1-5,days_precip_ge_0.1mm_pct,87.49396038009341,80.27057497181511,-7.223385408278304,-8.255867464335019
ACCESS-ESM1-5,days_precip_ge_1mm_pct,62.15171525205348,62.67514897729103,0.5234337252375525,0.8421870951023486
ACCESS-ESM1-5,days_precip_ge_10mm_pct,19.785794813979706,27.452085682074408,7.666290868094702,38.746438746438756
ACCESS-ESM1-5,days_precip_ge_20mm_pct,3.688194556289257,8.391045256885167,4.70285070059591,127.51091703056773
ACCESS-ESM1-5,days_precip_ge_50mm_pct,0.08052826542116283,0.1449508777580931,0.06442261233693027,80.00000000000001
ACCESS-ESM1-5,dry_days_lt_1mm_pct,37.84828474794653,37.32485102270897,-0.5234337252375596,-1.3829787234042585
ACCESS-ESM1-5,wet_day_mean_mm,8.191842285388477,10.46775086670154,2.275908581313063,27.78262205282598
ACCESS-ESM1-5,annual_precip_mean_mm,1900.8196723894148,2426.7152485805736,525.8955761911589,27.666778907548064
CMCC-ESM2,days_precip_ge_0.1mm_pct,87.49396038009341,69.25430826220004,-18.23965211789337,-20.846755637367682
CMCC-ESM2,days_precip_ge_1mm_pct,62.15171525205348,54.85585440489612,-7.295860847157357,-11.738792433272875
CMCC-ESM2,days_precip_ge_10mm_pct,19.785794813979706,28.19294572394911,8.407150909969403,42.49084249084251
CMCC-ESM2,days_precip_ge_20mm_pct,3.688194556289257,9.067482686422935,5.379288130133677,145.8515283842795
CMCC-ESM2,days_precip_ge_50mm_pct,0.08052826542116283,0.1852150104686745,0.10468674504751167,130.0
CMCC-ESM2,dry_days_lt_1mm_pct,37.84828474794653,45.14414559510388,7.29586084715735,19.276595744680844
CMCC-ESM2,wet_day_mean_mm,8.191842285388477,11.745397037719751,3.5535547523312747,43.37918905823706
CMCC-ESM2,annual_precip_mean_mm,1900.8196723894148,2377.1862815069308,476.36660911751596,25.06111526711537
CNRM-CM6-1,days_precip_ge_0.1mm_pct,87.49396038009341,77.09776131422129,-10.396199065872125,-11.882190520018412
CNRM-CM6-1,days_precip_ge_1mm_pct,62.15171525205348,58.87421484941214,-3.277500402641337,-5.273386887794781
CNRM-CM6-1,days_precip_ge_10mm_pct,19.785794813979706,29.602190368819453,9.816395554839747,49.613349613349605
CNRM-CM6-1,days_precip_ge_20mm_pct,3.688194556289257,9.115799645675631,5.427605089386374,147.16157205240174
CNRM-CM6-1,days_precip_ge_50mm_pct,0.08052826542116283,0.19326783701079078,0.11273957158962795,140.0
CNRM-CM6-1,dry_days_lt_1mm_pct,37.84828474794653,41.12578515058786,3.27750040264133,8.659574468085113
CNRM-CM6-1,wet_day_mean_mm,8.191842285388477,11.482533451342947,3.2906911659544704,40.170343267276635
CNRM-CM6-1,annual_precip_mean_mm,1900.8196723894148,2499.4478161575876,598.6281437681728,31.493158055107383
CNRM-ESM2-1,days_precip_ge_0.1mm_pct,87.49396038009341,77.9916250603962,-9.50233531969721,-10.860561435803033
CNRM-ESM2-1,days_precip_ge_1mm_pct,62.15171525205348,58.439362216137866,-3.712353035915612,-5.973050012956733
CNRM-ESM2-1,days_precip_ge_10mm_pct,19.785794813979706,28.426477693670478,8.640682879690772,43.671143671143675
CNRM-ESM2-1,days_precip_ge_20mm_pct,3.688194556289257,8.535996134643261,4.847801578354003,131.44104803493454
CNRM-ESM2-1,days_precip_ge_50mm_pct,0.08052826542116283,0.11273957158962795,0.032211306168465126,39.99999999999999
CNRM-ESM2-1,dry_days_lt_1mm_pct,37.84828474794653,41.560637783862134,3.712353035915605,9.80851063829787
