variable,n_models,median_relative_bias_pct,p25_relative_bias_pct,p75_relative_bias_pct,median_bias,median_mae,median_rmse,median_pearson_r,median_trend_difference_per_decade
longwave,15,-9.051258250643937,-9.069568320380604,-8.976400846170506,-2.8190124012032243,2.8822972666658275,3.146998790892507,0.4388434387029574,0.04255307851238564
precip_vs_chirps,15,54.30241503921483,53.460057077983365,56.308170389045344,2.350621229289857,5.8993289946592995,9.55201904735633,0.3009721241751407,-94.6330468943036
precip_vs_consensus,15,28.34177847830785,27.641143178255476,30.010075171682406,1.475011066830727,5.521113170648971,8.821949533238804,0.360993114413296,-98.12066374398589
precip_vs_era5,15,9.858599384863886,9.258866284263625,11.286635837728728,0.5994009043715972,5.933674538497138,9.54823490193122,0.33399434776245623,-101.60828059366828
rh,15,3.1877054130189255,2.976850711570207,3.3006478513873,2.5019476957296582,7.271900969402195,9.256494745169805,0.5809030679074201,0.41496680924496854
shortwave,15,9.62129134462672,9.561038837596978,9.770769229276228,1.8240610457414494,3.259950937214693,4.269481933074834,0.29584079033425853,-0.0360168842313474
tas,15,7.449833127004915,7.237696982388715,7.849120203881389,1.2122268641852623,1.606809499300583,1.9488842147826015,0.3473803949888182,0.19668939750667735
tasmax,15,13.238832277211703,12.968769871415235,13.50675782301122,2.6955064291865494,2.900709488057567,3.3826641982693157,0.236001906260846,0.1261641804878291
tasmin,15,-11.250411912195434,-11.441290279922981,-10.936983808635164,-1.5127450273144465,1.859478271866072,2.438207197293589,0.4339530822311128,0.2016437423522719
wind,15,229.14942816851408,227.59480311439233,235.43038970049162,1.937110623774977,1.9464079028835641,2.4033483425615936,0.13191697986498166,0.001906900203837018
