model,variable,quantile,obs_value,cmip_value,difference,relative_difference_pct
ACCESS-CM2,rh,0.5,79.06523449541791,83.49565616461749,4.430421669199575,5.603501586346819
ACCESS-CM2,rh,0.75,86.61181384245056,88.30090957391458,1.6890957314640218,1.9501909226107845
ACCESS-CM2,rh,0.9,91.60414646206316,90.95367493342832,-0.6504715286348386,-0.7100896124873826
ACCESS-CM2,rh,0.95,93.54094944239945,92.44406727233219,-1.0968821700672606,-1.1726224467527964
ACCESS-CM2,rh,0.99,96.10186713446025,94.93990989018009,-1.1619572442801598,-1.2090891456400275
ACCESS-CM2,shortwave,0.01,8.123637298959586,15.599488570600666,7.47585127164108,92.02591150393347
ACCESS-CM2,shortwave,0.05,12.362643611951848,17.03157179539415,4.668928183442302,37.76642221513623
ACCESS-CM2,shortwave,0.1,14.294086126913156,17.75289380619237,3.4588076792792126,24.1974733366613
ACCESS-CM2,shortwave,0.25,16.740133504729148,19.035480783331202,2.295347278602055,13.711642609980444
ACCESS-CM2,shortwave,0.5,19.14489942046432,20.577874751857067,1.432975331392747,7.484893495240901
ACCESS-CM2,shortwave,0.75,21.47965527773001,22.42826703621286,0.9486117584828477,4.416326734379035
ACCESS-CM2,shortwave,0.9,23.61945787306535,24.075022036052765,0.45556416298741453,1.9287663816658596
ACCESS-CM2,shortwave,0.95,24.823127847501073,25.049748827564674,0.22662098006360054,0.9129428871970875
ACCESS-CM2,shortwave,0.99,26.853095109922613,26.591997846583634,-0.26109726333897854,-0.9723172031759544
ACCESS-CM2,longwave,0.01,26.889406656990545,25.245013923603995,-1.6443927333865496,-6.115392408478639
ACCESS-CM2,longwave,0.05,28.27366862738607,26.404670369012553,-1.8689982583735159,-6.610384676303348
ACCESS-CM2,longwave,0.1,29.013446756577814,26.848833314869367,-2.164613441708447,-7.460724883429075
ACCESS-CM2,longwave,0.25,30.238961359415303,27.707553275486678,-2.531408083928625,-8.371346005706764
ACCESS-CM2,longwave,0.5,31.45313495571797,28.5379400390625,-2.9151949166554694,-9.268376334377143
ACCESS-CM2,longwave,0.75,32.26054012532244,29.090088742315576,-3.170451383006867,-9.827645075657822
ACCESS-CM2,longwave,0.9,32.80311042321582,29.456032857325823,-3.3470775658899967,-10.203537172868712
ACCESS-CM2,longwave,0.95,33.08532702089423,29.64637330102139,-3.438953719872842,-10.394195945837422
ACCESS-CM2,longwave,0.99,33.60379732077386,29.95183057425077,-3.6519667465230867,-10.867720429516583
