scenario,horizon,n_models,level_mean_m_p05,level_mean_m_q25,level_mean_m_median,level_mean_m_q75,level_mean_m_p95,level_end_m_p05,level_end_m_q25,level_end_m_median,level_end_m_q75,level_end_m_p95,change_mean_vs_anchor_m_p05,change_mean_vs_anchor_m_q25,change_mean_vs_anchor_m_median,change_mean_vs_anchor_m_q75,change_mean_vs_anchor_m_p95,change_end_vs_anchor_m_p05,change_end_vs_anchor_m_q25,change_end_vs_anchor_m_median,change_end_vs_anchor_m_q75,change_end_vs_anchor_m_p95,cum_P_end_m_p05,cum_P_end_m_q25,cum_P_end_m_median,cum_P_end_m_q75,cum_P_end_m_p95,cum_E_end_m_p05,cum_E_end_m_q25,cum_E_end_m_median,cum_E_end_m_q75,cum_E_end_m_p95,cum_Q_end_m_p05,cum_Q_end_m_q25,cum_Q_end_m_median,cum_Q_end_m_q75,cum_Q_end_m_p95,cum_S_end_m_p05,cum_S_end_m_q25,cum_S_end_m_median,cum_S_end_m_q75,cum_S_end_m_p95
ssp245,2030,15,1551.225733575015,1551.6550568074194,1552.3486100310727,1553.3317829190305,1554.0239062558508,1551.1869832901787,1551.5043444898356,1552.2256218011123,1553.4425973799425,1554.163612126426,-1.544266424984994,-1.1149431925805402,-0.42138996892731484,0.5617829190305201,1.253906255850847,-1.5830167098212542,-1.265655510164379,-0.5443781988876708,0.6725973799425446,1.3936121264259322,-1.0134157582207781,-0.7434884751881636,-0.047905232847730954,0.6822174908495163,1.2779235224705436,-0.025243638095989767,0.0069999038376674216,0.050156280750265736,0.13399045838579599,0.18616499728908398,-0.7436340007190847,-0.6455026242088404,-0.5762281833993491,-0.34093022907000947,0.003279633792913114,0.13241711240192763,0.13241711240192763,0.13241711240192763,0.13241711240192763,0.13241711240192763
ssp245,2050,15,1544.4745564340271,1548.0127662161744,1550.3365020596582,1551.000569471483,1551.839102663566,1544.492293361358,1548.1929896376118,1550.519750490276,1551.0254339231653,1552.1172537119885,-8.295443565972779,-4.757233783825427,-2.4334979403417947,-1.7694305285169776,-0.9308973364338274,-8.277706638642007,-4.577010362388137,-2.2502495097239716,-1.7445660768346443,-0.6527462880115538,-4.217434855249961,-1.8743037057333929,-0.12400464530556093,0.6272414414104042,1.469820830173128,-0.04167008190621949,0.09233227309885128,0.4295888571012346,0.5579206262433297,0.8070564042906115,-4.143312149343412,-3.3201018330313072,-3.053691581394623,-2.6333552099986357,-2.29369765298089,0.13241711240194207,0.13241711240194207,0.13241711240194207,0.13241711240194207,0.13241711240194207
ssp245,2090,15,1525.5466782680155,1537.3042023254816,1542.639156466322,1547.2318178222301,1552.5232655348134,1525.6192303061964,1537.275889047105,1542.6196959125377,1547.4618264070475,1553.0045886043465,-27.223321731984512,-15.465797674518512,-10.13084353367799,-5.538182177769841,-0.24673446518662168,-27.150769693803497,-15.494110952895085,-10.150304087462246,-5.308173592952471,0.23458860434642914,-15.804761146567408,-7.6384335555297085,-3.6421453488786217,1.833714828294976,4.757401132827206,-0.36207192662078175,0.7392685391259874,1.362526480542889,2.2893364294945133,2.952265221454821,-12.016684169992423,-9.724020409339307,-8.895501597902998,-8.210795367754251,-7.093101757765922,0.13241711240197093,0.13241711240197093,0.13241711240197093,0.13241711240197093,0.13241711240197093
ssp585,2030,15,1550.764842172001,1551.5091559126636,1552.2932345667139,1552.745882661949,1553.5025736984255,1550.6283278387468,1551.6216079496203,1552.241976320227,1552.91682994136,1554.0614352294565,-2.0051578279991418,-1.2608440873362952,-0.4767654332861184,-0.024117338050928083,0.7325736984254481,-2.1416721612532683,-1.148392050379698,-0.528023679773014,0.1468299413601244,1.2914352294566238,-1.4524686380163594,-0.6958786678259622,-0.010479942560527034,0.2411778203357105,1.3424663145531357,-0.041095858763759194,0.0030446858039380608,0.07457164571208282,0.09438219090295989,0.14197751023283559,-0.8095087596871282,-0.6814980182497223,-0.6214126547040542,-0.4271549120873982,-0.22729932920971646,0.13241711240192763,0.13241711240192763,0.13241711240192763,0.13241711240192763,0.13241711240192763
ssp585,2050,15,1540.105100681882,1545.9394626964677,1548.1447400878528,1549.9961029896317,1552.8101514045268,1539.8996023341385,1545.7617751943317,1548.154083191957,1550.0540154287698,1553.3235293511373,-12.664899318118046,-6.830537303532196,-4.625259912147158,-2.773897010368387,0.040151404526697965,-12.870397665861514,-7.008224805668306,-4.615916808043039,-2.7159845712301376,0.5535293511372104,-8.17446901907684,-3.147768066556523,-1.7335608018258697,-0.45421201258418337,2.31613885004747,-0.41864362602392446,-0.08408015178335318,0.34023432229878786,0.5849622227896056,0.9195892608112177,-4.589755580959032,-4.077966980743833,-3.306023361216697,-2.9038066862882475,-2.334019506727935,0.13241711240194207,0.13241711240194207,0.13241711240194207,0.13241711240194207,0.13241711240194207
ssp585,2090,15,1511.9267681902936,1522.2576512527032,1530.1243554409712,1541.6236050561697,1554.5059061772022,1511.5494560372326,1521.861627296802,1529.7183456548257,1541.6539547404932,1554.9617809644726,-40.843231809706275,-30.512348747296755,-22.645644559028824,-11.146394943830273,1.73590617720218,-41.22054396276735,-30.90837270319787,-23.051654345174256,-11.116045259506791,2.191780964472703,-28.967107890415633,-21.71648824563126,-16.561465574617348,-5.391503554396283,5.869623926391533,0.16790698032932683,1.6836673863046994,2.9256543627543623,4.208009239926449,5.378351087619626,-14.11744485734526,-12.648610428846986,-11.160337917289755,-9.813047414921332,-8.01334132198802,0.13241711240197093,0.13241711240197093,0.13241711240197093,0.13241711240197093,0.13241711240197093
