number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_tpe:relative_params:0,state
0,0.04901571990794638,2026-09-14 00:34:46.387231,2026-09-14 00:34:48.755374,0 days 00:00:02.368143,10,0.8114873111602354,0.6793667700827162,3,11,1000,,COMPLETE
1,0.04698215479215248,2026-09-14 00:34:48.844916,2026-09-14 00:34:51.301484,0 days 00:00:02.456568,8,0.4452572155175991,0.7167469391312624,3,14,1100,,COMPLETE
2,0.049678239562821636,2026-09-14 00:34:51.389478,2026-09-14 00:34:53.261012,0 days 00:00:01.871534,8,0.5804287788671647,0.7712860584947941,5,9,800,,COMPLETE
3,0.04785692065498485,2026-09-14 00:34:53.349631,2026-09-14 00:34:55.057912,0 days 00:00:01.708281,4,0.37864208437080205,0.8270635657105478,3,7,700,,COMPLETE
4,0.052209586072717015,2026-09-14 00:34:55.142956,2026-09-14 00:34:56.722789,0 days 00:00:01.579833,8,0.912514247132723,0.8889507788842737,3,3,1000,"{""max_depth"": 8, ""max_features"": 0.912514247132723, ""max_samples"": 0.8889507788842737, ""min_samples_leaf"": 3, ""min_samples_split"": 3, ""n_estimators"": 1000}",PRUNED
5,0.046253023722434485,2026-09-14 00:34:56.809984,2026-09-14 00:34:58.036824,0 days 00:00:01.226840,8,0.3616869592887892,0.8970871005858022,1,14,400,"{""max_depth"": 8, ""max_features"": 0.3616869592887892, ""max_samples"": 0.8970871005858022, ""min_samples_leaf"": 1, ""min_samples_split"": 14, ""n_estimators"": 400}",COMPLETE
