method,params_json,n,mae,rmse,bias,r2_nse,pearson_r
IDENTITY,"{""method"": ""IDENTITY""}",11,0.8398979491091393,0.9799111706965865,-0.5827927659763878,0.06454378452631293,0.6354403185007335
MULTIPLICATIVE,"{""method"": ""MULTIPLICATIVE"", ""factor"": 1.0050936160135175}",11,0.8367671614716603,0.9751123213458742,-0.5740703377174217,0.07368363613324957,0.6354403185007336
LINEAR,"{""method"": ""LINEAR"", ""slope"": 1.4029196097980983, ""intercept"": -0.3701494422675895}",11,0.760493429959524,0.912538071416183,-0.26297316046576424,0.1887550006828549,0.6354403185007336
