month,observed_total_m3s,predicted_total_m3s
2018-04-01,0.5421400000000001,0.997319528678048
2018-05-01,0.95578,0.9540256530215375
2018-06-01,3.11057,2.417136094996027
2018-07-01,1.6955799999999999,1.8156895712854755
2018-08-01,1.71401,1.0273891257614722
2018-09-01,2.63394,1.4198462583208673
2018-10-01,0.9079200000000001,2.3669470909938473
2018-11-01,1.59028,1.646818524108806
2018-12-01,1.4043499999999998,1.1387331535194656
2019-02-01,0.94416,1.0010595282822006
2019-04-01,0.79837,0.8232257537645902
2019-05-01,1.32406,1.2021074268603082
2019-06-01,1.3988500000000001,1.887689753322575
2019-07-01,1.26079,1.181685304303719
2019-08-01,1.27272,1.2621828640900397
2019-09-01,1.59077,1.3043382225167433
2019-10-01,3.89801,2.7707828879761744
2019-11-01,5.197830000000001,2.1333153339432904
2020-03-01,0.54678,0.8989141694385807
2020-05-01,1.08788,1.1735622135822483
2020-06-01,1.3195100000000002,2.6304383369862654
2020-07-01,1.45127,1.472089781869846
2020-08-01,2.8148400000000002,1.4780166922366245
2020-09-01,3.55362,2.70280233486653
2020-10-01,3.78268,2.6056639791636145
2020-11-01,3.9565400000000004,2.399163810266591
2020-12-01,2.3202,1.1620201897407507
2021-01-01,1.7563,0.8510776537746022
2021-02-01,1.24182,0.791381811005236
2021-04-01,1.1976999999999998,0.8087745959756516
2021-05-01,1.8528999999999998,1.9352303883740223
