path,score,n_columns,date_columns,river_columns,flow_columns,all_columns
datos/processed/weather_monthly_basin.pkl,15,16,,n_stations,,month_date | tmax_c | tmin_c | humidity_pct | precip_mm | wind_max_kmh | solar_max_wm2 | uv_max | n_stations | n_tmax_c | n_tmin_c | n_humidity_pct | n_precip_mm | n_wind_max_kmh | n_solar_max_wm2 | n_uv_max
resultados\caudales\predicciones_caudal_total_validacion_temporal.csv,15,5,,n_rivers,,date_month | n_rivers | q_total_obs_m3s | q_total_pred_m3s | q_total_climatology_m3s
resultados\caudales\seleccion_modelos_por_tributario.csv,15,11,,river,,river | selected_family | best_cv_loss | study_name | n_dev | n_holdout | n_final | dev_last_date | final_last_date | n_features_dev | n_features_final
resultados\ml_residual\seleccion_corrector_residual.csv,15,10,,calibration_composite_score,,model | calibration_composite_score | level_weighted_MAE_m | level_weighted_bias_m | level_R2 | level_Pearson_r | delta_weighted_MAE_m | delta_weighted_bias_m | selected_for_test | score_improvement_vs_physical
resultados\validacion\predicciones_rolling_horizontes.csv,15,12,,origin_position | target_position,,horizon | requested_lead_days | origin_position | target_position | origin_date | target_date | actual_lead_days | origin_level_m | observed_level_m | physical_level_m | frozen_level_m | interval_weight
resultados\validacion\resumen_validacion.csv,15,5,,criterion,,criterion | value | pass | interpretation | diagnostic_label
datos/processed/chirps_diario_cuenca_real.csv,10,7,date,,,system:index | chirps_precip_mm | date | doy | month | year | .geo
datos/processed/chirps_diario_cuenca_real.pkl,10,7,date,,,system:index | chirps_precip_mm | date | doy | month | year | .geo
datos/processed/clima_diario_features.csv,10,289,date,,,date | dewpoint_c | era_precip_mm | evap_mm | pet_mm | pressure_kpa | runoff_mm | soil_water_1 | soil_water_2 | soil_water_3 | soil_water_4 | solar_mj_m2 | subsurface_runoff_mm | surface_runoff_mm | tmax_c | tmean_c | tmin_c | wind_ms | chirps_precip_mm | missing_era5 | missing_chirps | rh_pct | vpd_kpa | dtr_c | precip_difference_mm | precip_abs_difference_mm | precip_ratio_chirps_era | water_balance_era_mm | water_balance_chirps_mm | net_basin_balance_era_mm | net_basin_balance_chirps_mm | runoff_precip_ratio | date_year | date_month | date_doy | sin_doy_h1 | cos_doy_h1 | sin_doy_h2 | cos_doy_h2 | sin_doy_h3 | cos_doy_h3 | era_precip_mm_sum_10d | chirps_precip_mm_sum_10d | runoff_mm_sum_10d | surface_runoff_mm_sum_10d | subsurface_runoff_mm_sum_10d | evap_mm_sum_10d | pet_mm_sum_10d | solar_mj_m2_sum_10d | water_balance_era_mm_sum_10d | water_balance_chirps_mm_sum_10d | net_basin_balance_era_mm_sum_10d | net_basin_balance_chirps_mm_sum_10d | tmean_c_mean_10d | tmin_c_mean_10d | tmax_c_mean_10d | dewpoint_c_mean_10d | wind_ms_mean_10d | pressure_kpa_mean_10d | soil_water_1_mean_10d | soil_water_2_mean_10d | soil_water_3_mean_10d | soil_water_4_mean_10d | rh_pct_mean_10d | vpd_kpa_mean_10d | dtr_c_mean_10d | precip_difference_mm_mean_10d | precip_abs_difference_mm_mean_10d | precip_ratio_chirps_era_mean_10d | runoff_precip_ratio_mean_10d | era_precip_mm_max1d_10d | era_precip_mm_std_10d | era_precip_mm_wetdays_10d | era_precip_mm_heavy10_days_10d | era_precip_mm_heavy25_days_10d | chirps_precip_mm_max1d_10d | chirps_precip_mm_std_10d | chirps_precip_mm_wetdays_10d | chirps_precip_mm_heavy10_days_10d | chirps_precip_mm_heavy25_days_10d | precip_source_difference_sum_10d | precip_source_ratio_10d | runoff_ratio_10d | era_precip_mm_sum_30d | chirps_precip_mm_sum_30d | runoff_mm_sum_30d | surface_runoff_mm_sum_30d | subsurface_runoff_mm_sum_30d | evap_mm_sum_30d | pet_mm_sum_30d | solar_mj_m2_sum_30d | water_balance_era_mm_sum_30d | water_balance_chirps_mm_sum_30d | net_basin_balance_era_mm_sum_30d | net_basin_balance_chirps_mm_sum_30d | tmean_c_mean_30d | tmin_c_mean_30d | tmax_c_mean_30d | dewpoint_c_mean_30d | wind_ms_mean_30d | pressure_kpa_mean_30d | soil_water_1_mean_30d | soil_water_2_mean_30d | soil_water_3_mean_30d | soil_water_4_mean_30d | rh_pct_mean_30d | vpd_kpa_mean_30d | dtr_c_mean_30d | precip_difference_mm_mean_30d | precip_abs_difference_mm_mean_30d | precip_ratio_chirps_era_mean_30d | runoff_precip_ratio_mean_30d | era_precip_mm_max1d_30d | era_precip_mm_std_30d | era_precip_mm_wetdays_30d | era_precip_mm_heavy10_days_30d | era_precip_mm_heavy25_days_30d | chirps_precip_mm_max1d_30d | chirps_precip_mm_std_30d | chirps_precip_mm_wetdays_30d | chirps_precip_mm_heavy10_days_30d | chirps_precip_mm_heavy25_days_30d | precip_source_difference_sum_30d | precip_source_ratio_30d | runoff_ratio_30d | era_precip_mm_sum_60d | chirps_precip_mm_sum_60d | runoff_mm_sum_60d | surface_runoff_mm_sum_60d | subsurface_runoff_mm_sum_60d | evap_mm_sum_60d | pet_mm_sum_60d | solar_mj_m2_sum_60d | water_balance_era_mm_sum_60d | water_balance_chirps_mm_sum_60d | net_basin_balance_era_mm_sum_60d | net_basin_balance_chirps_mm_sum_60d | tmean_c_mean_60d | tmin_c_mean_60d | tmax_c_mean_60d | dewpoint_c_mean_60d | wind_ms_mean_60d | pressure_kpa_mean_60d | soil_water_1_mean_60d | soil_water_2_mean_60d | soil_water_3_mean_60d | soil_water_4_mean_60d | rh_pct_mean_60d | vpd_kpa_mean_60d | dtr_c_mean_60d | precip_difference_mm_mean_60d | precip_abs_difference_mm_mean_60d | precip_ratio_chirps_era_mean_60d | runoff_precip_ratio_mean_60d | era_precip_mm_max1d_60d | era_precip_mm_std_60d | era_precip_mm_wetdays_60d | era_precip_mm_heavy10_days_60d | era_precip_mm_heavy25_days_60d | chirps_precip_mm_max1d_60d | chirps_precip_mm_std_60d | chirps_precip_mm_wetdays_60d | chirps_precip_mm_heavy10_days_60d | chirps_precip_mm_heavy25_days_60d | precip_source_difference_sum_60d | precip_source_ratio_60d | runoff_ratio_60d | era_precip_mm_sum_90d | chirps_precip_mm_sum_90d | runoff_mm_sum_90d | surface_runoff_mm_sum_90d | subsurface_runoff_mm_sum_90d | evap_mm_sum_90d | pet_mm_sum_90d | solar_mj_m2_sum_90d | water_balance_era_mm_sum_90d | water_balance_chirps_mm_sum_90d | net_basin_balance_era_mm_sum_90d | net_basin_balance_chirps_mm_sum_90d | tmean_c_mean_90d | tmin_c_mean_90d | tmax_c_mean_90d | dewpoint_c_mean_90d | wind_ms_mean_90d | pressure_kpa_mean_90d | soil_water_1_mean_90d | soil_water_2_mean_90d | soil_water_3_mean_90d | soil_water_4_mean_90d | rh_pct_mean_90d | vpd_kpa_mean_90d | dtr_c_mean_90d | precip_difference_mm_mean_90d | precip_abs_difference_mm_mean_90d | precip_ratio_chirps_era_mean_90d | runoff_precip_ratio_mean_90d | era_precip_mm_max1d_90d | era_precip_mm_std_90d | era_precip_mm_wetdays_90d | era_precip_mm_heavy10_days_90d | era_precip_mm_heavy25_days_90d | chirps_precip_mm_max1d_90d | chirps_precip_mm_std_90d | chirps_precip_mm_wetdays_90d | chirps_precip_mm_heavy10_days_90d | chirps_precip_mm_heavy25_days_90d | precip_source_difference_sum_90d | precip_source_ratio_90d | runoff_ratio_90d | tmean_c_lag_1d | tmean_c_lag_3d | tmean_c_lag_7d | tmean_c_lag_14d | tmean_c_lag_30d | dewpoint_c_lag_1d | dewpoint_c_lag_3d | dewpoint_c_lag_7d | dewpoint_c_lag_14d | dewpoint_c_lag_30d | wind_ms_lag_1d | wind_ms_lag_3d | wind_ms_lag_7d | wind_ms_lag_14d | wind_ms_lag_30d | pressure_kpa_lag_1d | pressure_kpa_lag_3d | pressure_kpa_lag_7d | pressure_kpa_lag_14d | pressure_kpa_lag_30d | soil_water_1_lag_1d | soil_water_1_lag_3d | soil_water_1_lag_7d | soil_water_1_lag_14d | soil_water_1_lag_30d | soil_water_2_lag_1d | soil_water_2_lag_3d | soil_water_2_lag_7d | soil_water_2_lag_14d | soil_water_2_lag_30d | soil_water_3_lag_1d | soil_water_3_lag_3d | soil_water_3_lag_7d | soil_water_3_lag_14d | soil_water_3_lag_30d | soil_water_4_lag_1d | soil_water_4_lag_3d | soil_water_4_lag_7d | soil_water_4_lag_14d | soil_water_4_lag_30d | rh_pct_lag_1d | rh_pct_lag_3d | rh_pct_lag_7d | rh_pct_lag_14d | rh_pct_lag_30d | vpd_kpa_lag_1d | vpd_kpa_lag_3d | vpd_kpa_lag_7d | vpd_kpa_lag_14d | vpd_kpa_lag_30d | runoff_mm_lag_1d | runoff_mm_lag_3d | runoff_mm_lag_7d | runoff_mm_lag_14d | runoff_mm_lag_30d | evap_mm_lag_1d | evap_mm_lag_3d | evap_mm_lag_7d | evap_mm_lag_14d | evap_mm_lag_30d | era_precip_mm_api_hl7d | era_precip_mm_api_hl15d | era_precip_mm_api_hl30d | era_precip_mm_api_hl60d | chirps_precip_mm_api_hl7d | chirps_precip_mm_api_hl15d | chirps_precip_mm_api_hl30d | chirps_precip_mm_api_hl60d | soil_water_1_change_10d | soil_water_2_change_10d | soil_water_3_change_10d | soil_water_1_change_30d | soil_water_2_change_30d | soil_water_3_change_30d | sin_doy_h1.1 | cos_doy_h1.1 | sin_doy_h2.1 | cos_doy_h2.1 | sin_doy_h3.1 | cos_doy_h3.1
datos/processed/clima_diario_features.pkl,10,289,date,,,date | dewpoint_c | era_precip_mm | evap_mm | pet_mm | pressure_kpa | runoff_mm | soil_water_1 | soil_water_2 | soil_water_3 | soil_water_4 | solar_mj_m2 | subsurface_runoff_mm | surface_runoff_mm | tmax_c | tmean_c | tmin_c | wind_ms | chirps_precip_mm | missing_era5 | missing_chirps | rh_pct | vpd_kpa | dtr_c | precip_difference_mm | precip_abs_difference_mm | precip_ratio_chirps_era | water_balance_era_mm | water_balance_chirps_mm | net_basin_balance_era_mm | net_basin_balance_chirps_mm | runoff_precip_ratio | date_year | date_month | date_doy | sin_doy_h1 | cos_doy_h1 | sin_doy_h2 | cos_doy_h2 | sin_doy_h3 | cos_doy_h3 | era_precip_mm_sum_10d | chirps_precip_mm_sum_10d | runoff_mm_sum_10d | surface_runoff_mm_sum_10d | subsurface_runoff_mm_sum_10d | evap_mm_sum_10d | pet_mm_sum_10d | solar_mj_m2_sum_10d | water_balance_era_mm_sum_10d | water_balance_chirps_mm_sum_10d | net_basin_balance_era_mm_sum_10d | net_basin_balance_chirps_mm_sum_10d | tmean_c_mean_10d | tmin_c_mean_10d | tmax_c_mean_10d | dewpoint_c_mean_10d | wind_ms_mean_10d | pressure_kpa_mean_10d | soil_water_1_mean_10d | soil_water_2_mean_10d | soil_water_3_mean_10d | soil_water_4_mean_10d | rh_pct_mean_10d | vpd_kpa_mean_10d | dtr_c_mean_10d | precip_difference_mm_mean_10d | precip_abs_difference_mm_mean_10d | precip_ratio_chirps_era_mean_10d | runoff_precip_ratio_mean_10d | era_precip_mm_max1d_10d | era_precip_mm_std_10d | era_precip_mm_wetdays_10d | era_precip_mm_heavy10_days_10d | era_precip_mm_heavy25_days_10d | chirps_precip_mm_max1d_10d | chirps_precip_mm_std_10d | chirps_precip_mm_wetdays_10d | chirps_precip_mm_heavy10_days_10d | chirps_precip_mm_heavy25_days_10d | precip_source_difference_sum_10d | precip_source_ratio_10d | runoff_ratio_10d | era_precip_mm_sum_30d | chirps_precip_mm_sum_30d | runoff_mm_sum_30d | surface_runoff_mm_sum_30d | subsurface_runoff_mm_sum_30d | evap_mm_sum_30d | pet_mm_sum_30d | solar_mj_m2_sum_30d | water_balance_era_mm_sum_30d | water_balance_chirps_mm_sum_30d | net_basin_balance_era_mm_sum_30d | net_basin_balance_chirps_mm_sum_30d | tmean_c_mean_30d | tmin_c_mean_30d | tmax_c_mean_30d | dewpoint_c_mean_30d | wind_ms_mean_30d | pressure_kpa_mean_30d | soil_water_1_mean_30d | soil_water_2_mean_30d | soil_water_3_mean_30d | soil_water_4_mean_30d | rh_pct_mean_30d | vpd_kpa_mean_30d | dtr_c_mean_30d | precip_difference_mm_mean_30d | precip_abs_difference_mm_mean_30d | precip_ratio_chirps_era_mean_30d | runoff_precip_ratio_mean_30d | era_precip_mm_max1d_30d | era_precip_mm_std_30d | era_precip_mm_wetdays_30d | era_precip_mm_heavy10_days_30d | era_precip_mm_heavy25_days_30d | chirps_precip_mm_max1d_30d | chirps_precip_mm_std_30d | chirps_precip_mm_wetdays_30d | chirps_precip_mm_heavy10_days_30d | chirps_precip_mm_heavy25_days_30d | precip_source_difference_sum_30d | precip_source_ratio_30d | runoff_ratio_30d | era_precip_mm_sum_60d | chirps_precip_mm_sum_60d | runoff_mm_sum_60d | surface_runoff_mm_sum_60d | subsurface_runoff_mm_sum_60d | evap_mm_sum_60d | pet_mm_sum_60d | solar_mj_m2_sum_60d | water_balance_era_mm_sum_60d | water_balance_chirps_mm_sum_60d | net_basin_balance_era_mm_sum_60d | net_basin_balance_chirps_mm_sum_60d | tmean_c_mean_60d | tmin_c_mean_60d | tmax_c_mean_60d | dewpoint_c_mean_60d | wind_ms_mean_60d | pressure_kpa_mean_60d | soil_water_1_mean_60d | soil_water_2_mean_60d | soil_water_3_mean_60d | soil_water_4_mean_60d | rh_pct_mean_60d | vpd_kpa_mean_60d | dtr_c_mean_60d | precip_difference_mm_mean_60d | precip_abs_difference_mm_mean_60d | precip_ratio_chirps_era_mean_60d | runoff_precip_ratio_mean_60d | era_precip_mm_max1d_60d | era_precip_mm_std_60d | era_precip_mm_wetdays_60d | era_precip_mm_heavy10_days_60d | era_precip_mm_heavy25_days_60d | chirps_precip_mm_max1d_60d | chirps_precip_mm_std_60d | chirps_precip_mm_wetdays_60d | chirps_precip_mm_heavy10_days_60d | chirps_precip_mm_heavy25_days_60d | precip_source_difference_sum_60d | precip_source_ratio_60d | runoff_ratio_60d | era_precip_mm_sum_90d | chirps_precip_mm_sum_90d | runoff_mm_sum_90d | surface_runoff_mm_sum_90d | subsurface_runoff_mm_sum_90d | evap_mm_sum_90d | pet_mm_sum_90d | solar_mj_m2_sum_90d | water_balance_era_mm_sum_90d | water_balance_chirps_mm_sum_90d | net_basin_balance_era_mm_sum_90d | net_basin_balance_chirps_mm_sum_90d | tmean_c_mean_90d | tmin_c_mean_90d | tmax_c_mean_90d | dewpoint_c_mean_90d | wind_ms_mean_90d | pressure_kpa_mean_90d | soil_water_1_mean_90d | soil_water_2_mean_90d | soil_water_3_mean_90d | soil_water_4_mean_90d | rh_pct_mean_90d | vpd_kpa_mean_90d | dtr_c_mean_90d | precip_difference_mm_mean_90d | precip_abs_difference_mm_mean_90d | precip_ratio_chirps_era_mean_90d | runoff_precip_ratio_mean_90d | era_precip_mm_max1d_90d | era_precip_mm_std_90d | era_precip_mm_wetdays_90d | era_precip_mm_heavy10_days_90d | era_precip_mm_heavy25_days_90d | chirps_precip_mm_max1d_90d | chirps_precip_mm_std_90d | chirps_precip_mm_wetdays_90d | chirps_precip_mm_heavy10_days_90d | chirps_precip_mm_heavy25_days_90d | precip_source_difference_sum_90d | precip_source_ratio_90d | runoff_ratio_90d | tmean_c_lag_1d | tmean_c_lag_3d | tmean_c_lag_7d | tmean_c_lag_14d | tmean_c_lag_30d | dewpoint_c_lag_1d | dewpoint_c_lag_3d | dewpoint_c_lag_7d | dewpoint_c_lag_14d | dewpoint_c_lag_30d | wind_ms_lag_1d | wind_ms_lag_3d | wind_ms_lag_7d | wind_ms_lag_14d | wind_ms_lag_30d | pressure_kpa_lag_1d | pressure_kpa_lag_3d | pressure_kpa_lag_7d | pressure_kpa_lag_14d | pressure_kpa_lag_30d | soil_water_1_lag_1d | soil_water_1_lag_3d | soil_water_1_lag_7d | soil_water_1_lag_14d | soil_water_1_lag_30d | soil_water_2_lag_1d | soil_water_2_lag_3d | soil_water_2_lag_7d | soil_water_2_lag_14d | soil_water_2_lag_30d | soil_water_3_lag_1d | soil_water_3_lag_3d | soil_water_3_lag_7d | soil_water_3_lag_14d | soil_water_3_lag_30d | soil_water_4_lag_1d | soil_water_4_lag_3d | soil_water_4_lag_7d | soil_water_4_lag_14d | soil_water_4_lag_30d | rh_pct_lag_1d | rh_pct_lag_3d | rh_pct_lag_7d | rh_pct_lag_14d | rh_pct_lag_30d | vpd_kpa_lag_1d | vpd_kpa_lag_3d | vpd_kpa_lag_7d | vpd_kpa_lag_14d | vpd_kpa_lag_30d | runoff_mm_lag_1d | runoff_mm_lag_3d | runoff_mm_lag_7d | runoff_mm_lag_14d | runoff_mm_lag_30d | evap_mm_lag_1d | evap_mm_lag_3d | evap_mm_lag_7d | evap_mm_lag_14d | evap_mm_lag_30d | era_precip_mm_api_hl7d | era_precip_mm_api_hl15d | era_precip_mm_api_hl30d | era_precip_mm_api_hl60d | chirps_precip_mm_api_hl7d | chirps_precip_mm_api_hl15d | chirps_precip_mm_api_hl30d | chirps_precip_mm_api_hl60d | soil_water_1_change_10d | soil_water_2_change_10d | soil_water_3_change_10d | soil_water_1_change_30d | soil_water_2_change_30d | soil_water_3_change_30d | sin_doy_h1.1 | cos_doy_h1.1 | sin_doy_h2.1 | cos_doy_h2.1 | sin_doy_h3.1 | cos_doy_h3.1
