path,score,n_columns,date_columns,river_columns,flow_columns,all_columns
datos/processed/clima_diario_limpio.csv,10,41,date,,,date | dewpoint_c | era_precip_mm | evap_mm | pet_mm | pressure_kpa | runoff_mm | soil_water_1 | soil_water_2 | soil_water_3 | soil_water_4 | solar_mj_m2 | subsurface_runoff_mm | surface_runoff_mm | tmax_c | tmean_c | tmin_c | wind_ms | chirps_precip_mm | missing_era5 | missing_chirps | rh_pct | vpd_kpa | dtr_c | precip_difference_mm | precip_abs_difference_mm | precip_ratio_chirps_era | water_balance_era_mm | water_balance_chirps_mm | net_basin_balance_era_mm | net_basin_balance_chirps_mm | runoff_precip_ratio | date_year | date_month | date_doy | sin_doy_h1 | cos_doy_h1 | sin_doy_h2 | cos_doy_h2 | sin_doy_h3 | cos_doy_h3
datos/processed/clima_diario_limpio.pkl,10,41,date,,,date | dewpoint_c | era_precip_mm | evap_mm | pet_mm | pressure_kpa | runoff_mm | soil_water_1 | soil_water_2 | soil_water_3 | soil_water_4 | solar_mj_m2 | subsurface_runoff_mm | surface_runoff_mm | tmax_c | tmean_c | tmin_c | wind_ms | chirps_precip_mm | missing_era5 | missing_chirps | rh_pct | vpd_kpa | dtr_c | precip_difference_mm | precip_abs_difference_mm | precip_ratio_chirps_era | water_balance_era_mm | water_balance_chirps_mm | net_basin_balance_era_mm | net_basin_balance_chirps_mm | runoff_precip_ratio | date_year | date_month | date_doy | sin_doy_h1 | cos_doy_h1 | sin_doy_h2 | cos_doy_h2 | sin_doy_h3 | cos_doy_h3
datos/processed/era5_diario_cuenca_real.csv,10,23,date,,,system:index | date | dewpoint_c | doy | era_precip_mm | evap_mm | month | pet_mm | pressure_kpa | runoff_mm | soil_water_1 | soil_water_2 | soil_water_3 | soil_water_4 | solar_mj_m2 | subsurface_runoff_mm | surface_runoff_mm | tmax_c | tmean_c | tmin_c | wind_ms | year | .geo
datos/processed/era5_diario_cuenca_real.pkl,10,23,date,,,system:index | date | dewpoint_c | doy | era_precip_mm | evap_mm | month | pet_mm | pressure_kpa | runoff_mm | soil_water_1 | soil_water_2 | soil_water_3 | soil_water_4 | solar_mj_m2 | subsurface_runoff_mm | surface_runoff_mm | tmax_c | tmean_c | tmin_c | wind_ms | year | .geo
datos/processed/nasa_nivel_final_original.csv,10,32,date,,,mission | cycle | date_raw | hour | minute | relative_height_m | estimated_error_m | backscatter_db | wet_tropo | ionosphere | dry_tropo | mode_1 | mode_2 | ice_flag | elevation_egm2008_m | source_flag | date | nivel_nasa_original_m | correccion_s6_m | nivel_final_m | qc_transicion | nivel_sensibilidad_j2_j3_m | year | month | day | doy | sin_doy | cos_doy | lag_1 | lag_2 | lag_3 | delta_nivel_m
datos/processed/nasa_nivel_final_original.pkl,10,32,date,,,mission | cycle | date_raw | hour | minute | relative_height_m | estimated_error_m | backscatter_db | wet_tropo | ionosphere | dry_tropo | mode_1 | mode_2 | ice_flag | elevation_egm2008_m | source_flag | date | nivel_nasa_original_m | correccion_s6_m | nivel_final_m | qc_transicion | nivel_sensibilidad_j2_j3_m | year | month | day | doy | sin_doy | cos_doy | lag_1 | lag_2 | lag_3 | delta_nivel_m
resultados\caudales\clima_diario_features_modelo_caudal.csv,10,96,date,,,date | precip_difference_mm | precip_abs_difference_mm | precip_ratio_chirps_era | solar_mj_m2_sum_10d | tmean_c_mean_10d | tmin_c_mean_10d | tmax_c_mean_10d | wind_ms_mean_10d | rh_pct_mean_10d | precip_difference_mm_mean_10d | precip_abs_difference_mm_mean_10d | precip_ratio_chirps_era_mean_10d | precip_source_difference_sum_10d | precip_source_ratio_10d | solar_mj_m2_sum_30d | tmean_c_mean_30d | tmin_c_mean_30d | tmax_c_mean_30d | wind_ms_mean_30d | rh_pct_mean_30d | precip_difference_mm_mean_30d | precip_abs_difference_mm_mean_30d | precip_ratio_chirps_era_mean_30d | precip_source_difference_sum_30d | precip_source_ratio_30d | solar_mj_m2_sum_60d | tmean_c_mean_60d | tmin_c_mean_60d | tmax_c_mean_60d | wind_ms_mean_60d | rh_pct_mean_60d | precip_difference_mm_mean_60d | precip_abs_difference_mm_mean_60d | precip_ratio_chirps_era_mean_60d | precip_source_difference_sum_60d | precip_source_ratio_60d | solar_mj_m2_sum_90d | tmean_c_mean_90d | tmin_c_mean_90d | tmax_c_mean_90d | wind_ms_mean_90d | rh_pct_mean_90d | precip_difference_mm_mean_90d | precip_abs_difference_mm_mean_90d | precip_ratio_chirps_era_mean_90d | precip_source_difference_sum_90d | precip_source_ratio_90d | precip_consensus_mm | sin_doy_h1_q | cos_doy_h1_q | sin_doy_h2_q | cos_doy_h2_q | precip_prev1d_mm | precip_sum_3d | precip_max1d_3d | wet_days_3d | heavy10_days_3d | heavy25_days_3d | precip_sum_7d | precip_max1d_7d | wet_days_7d | heavy10_days_7d | heavy25_days_7d | precip_sum_14d | precip_max1d_14d | wet_days_14d | heavy10_days_14d | heavy25_days_14d | precip_sum_30d | precip_max1d_30d | wet_days_30d | heavy10_days_30d | heavy25_days_30d | precip_sum_60d | precip_max1d_60d | wet_days_60d | heavy10_days_60d | heavy25_days_60d | precip_sum_90d | precip_max1d_90d | wet_days_90d | heavy10_days_90d | heavy25_days_90d | precip_api_hl7d | precip_api_hl15d | precip_api_hl30d | precip_api_hl60d | tmean_c_mean_7d | tmin_c_mean_7d | tmax_c_mean_7d | rh_pct_mean_7d | wind_ms_mean_7d | solar_mj_m2_sum_7d | precip_recent_ratio_7_30 | precip_recent_ratio_14_60
resultados\caudales\clima_diario_features_modelo_caudal.pkl,10,337,date,,,date | dewpoint_c | era_precip_mm | evap_mm | pet_mm | pressure_kpa | runoff_mm | soil_water_1 | soil_water_2 | soil_water_3 | soil_water_4 | solar_mj_m2 | subsurface_runoff_mm | surface_runoff_mm | tmax_c | tmean_c | tmin_c | wind_ms | chirps_precip_mm | missing_era5 | missing_chirps | rh_pct | vpd_kpa | dtr_c | precip_difference_mm | precip_abs_difference_mm | precip_ratio_chirps_era | water_balance_era_mm | water_balance_chirps_mm | net_basin_balance_era_mm | net_basin_balance_chirps_mm | runoff_precip_ratio | date_year | date_month | date_doy | sin_doy_h1 | cos_doy_h1 | sin_doy_h2 | cos_doy_h2 | sin_doy_h3 | cos_doy_h3 | era_precip_mm_sum_10d | chirps_precip_mm_sum_10d | runoff_mm_sum_10d | surface_runoff_mm_sum_10d | subsurface_runoff_mm_sum_10d | evap_mm_sum_10d | pet_mm_sum_10d | solar_mj_m2_sum_10d | water_balance_era_mm_sum_10d | water_balance_chirps_mm_sum_10d | net_basin_balance_era_mm_sum_10d | net_basin_balance_chirps_mm_sum_10d | tmean_c_mean_10d | tmin_c_mean_10d | tmax_c_mean_10d | dewpoint_c_mean_10d | wind_ms_mean_10d | pressure_kpa_mean_10d | soil_water_1_mean_10d | soil_water_2_mean_10d | soil_water_3_mean_10d | soil_water_4_mean_10d | rh_pct_mean_10d | vpd_kpa_mean_10d | dtr_c_mean_10d | precip_difference_mm_mean_10d | precip_abs_difference_mm_mean_10d | precip_ratio_chirps_era_mean_10d | runoff_precip_ratio_mean_10d | era_precip_mm_max1d_10d | era_precip_mm_std_10d | era_precip_mm_wetdays_10d | era_precip_mm_heavy10_days_10d | era_precip_mm_heavy25_days_10d | chirps_precip_mm_max1d_10d | chirps_precip_mm_std_10d | chirps_precip_mm_wetdays_10d | chirps_precip_mm_heavy10_days_10d | chirps_precip_mm_heavy25_days_10d | precip_source_difference_sum_10d | precip_source_ratio_10d | runoff_ratio_10d | era_precip_mm_sum_30d | chirps_precip_mm_sum_30d | runoff_mm_sum_30d | surface_runoff_mm_sum_30d | subsurface_runoff_mm_sum_30d | evap_mm_sum_30d | pet_mm_sum_30d | solar_mj_m2_sum_30d | water_balance_era_mm_sum_30d | water_balance_chirps_mm_sum_30d | net_basin_balance_era_mm_sum_30d | net_basin_balance_chirps_mm_sum_30d | tmean_c_mean_30d | tmin_c_mean_30d | tmax_c_mean_30d | dewpoint_c_mean_30d | wind_ms_mean_30d | pressure_kpa_mean_30d | soil_water_1_mean_30d | soil_water_2_mean_30d | soil_water_3_mean_30d | soil_water_4_mean_30d | rh_pct_mean_30d | vpd_kpa_mean_30d | dtr_c_mean_30d | precip_difference_mm_mean_30d | precip_abs_difference_mm_mean_30d | precip_ratio_chirps_era_mean_30d | runoff_precip_ratio_mean_30d | era_precip_mm_max1d_30d | era_precip_mm_std_30d | era_precip_mm_wetdays_30d | era_precip_mm_heavy10_days_30d | era_precip_mm_heavy25_days_30d | chirps_precip_mm_max1d_30d | chirps_precip_mm_std_30d | chirps_precip_mm_wetdays_30d | chirps_precip_mm_heavy10_days_30d | chirps_precip_mm_heavy25_days_30d | precip_source_difference_sum_30d | precip_source_ratio_30d | runoff_ratio_30d | era_precip_mm_sum_60d | chirps_precip_mm_sum_60d | runoff_mm_sum_60d | surface_runoff_mm_sum_60d | subsurface_runoff_mm_sum_60d | evap_mm_sum_60d | pet_mm_sum_60d | solar_mj_m2_sum_60d | water_balance_era_mm_sum_60d | water_balance_chirps_mm_sum_60d | net_basin_balance_era_mm_sum_60d | net_basin_balance_chirps_mm_sum_60d | tmean_c_mean_60d | tmin_c_mean_60d | tmax_c_mean_60d | dewpoint_c_mean_60d | wind_ms_mean_60d | pressure_kpa_mean_60d | soil_water_1_mean_60d | soil_water_2_mean_60d | soil_water_3_mean_60d | soil_water_4_mean_60d | rh_pct_mean_60d | vpd_kpa_mean_60d | dtr_c_mean_60d | precip_difference_mm_mean_60d | precip_abs_difference_mm_mean_60d | precip_ratio_chirps_era_mean_60d | runoff_precip_ratio_mean_60d | era_precip_mm_max1d_60d | era_precip_mm_std_60d | era_precip_mm_wetdays_60d | era_precip_mm_heavy10_days_60d | era_precip_mm_heavy25_days_60d | chirps_precip_mm_max1d_60d | chirps_precip_mm_std_60d | chirps_precip_mm_wetdays_60d | chirps_precip_mm_heavy10_days_60d | chirps_precip_mm_heavy25_days_60d | precip_source_difference_sum_60d | precip_source_ratio_60d | runoff_ratio_60d | era_precip_mm_sum_90d | chirps_precip_mm_sum_90d | runoff_mm_sum_90d | surface_runoff_mm_sum_90d | subsurface_runoff_mm_sum_90d | evap_mm_sum_90d | pet_mm_sum_90d | solar_mj_m2_sum_90d | water_balance_era_mm_sum_90d | water_balance_chirps_mm_sum_90d | net_basin_balance_era_mm_sum_90d | net_basin_balance_chirps_mm_sum_90d | tmean_c_mean_90d | tmin_c_mean_90d | tmax_c_mean_90d | dewpoint_c_mean_90d | wind_ms_mean_90d | pressure_kpa_mean_90d | soil_water_1_mean_90d | soil_water_2_mean_90d | soil_water_3_mean_90d | soil_water_4_mean_90d | rh_pct_mean_90d | vpd_kpa_mean_90d | dtr_c_mean_90d | precip_difference_mm_mean_90d | precip_abs_difference_mm_mean_90d | precip_ratio_chirps_era_mean_90d | runoff_precip_ratio_mean_90d | era_precip_mm_max1d_90d | era_precip_mm_std_90d | era_precip_mm_wetdays_90d | era_precip_mm_heavy10_days_90d | era_precip_mm_heavy25_days_90d | chirps_precip_mm_max1d_90d | chirps_precip_mm_std_90d | chirps_precip_mm_wetdays_90d | chirps_precip_mm_heavy10_days_90d | chirps_precip_mm_heavy25_days_90d | precip_source_difference_sum_90d | precip_source_ratio_90d | runoff_ratio_90d | tmean_c_lag_1d | tmean_c_lag_3d | tmean_c_lag_7d | tmean_c_lag_14d | tmean_c_lag_30d | dewpoint_c_lag_1d | dewpoint_c_lag_3d | dewpoint_c_lag_7d | dewpoint_c_lag_14d | dewpoint_c_lag_30d | wind_ms_lag_1d | wind_ms_lag_3d | wind_ms_lag_7d | wind_ms_lag_14d | wind_ms_lag_30d | pressure_kpa_lag_1d | pressure_kpa_lag_3d | pressure_kpa_lag_7d | pressure_kpa_lag_14d | pressure_kpa_lag_30d | soil_water_1_lag_1d | soil_water_1_lag_3d | soil_water_1_lag_7d | soil_water_1_lag_14d | soil_water_1_lag_30d | soil_water_2_lag_1d | soil_water_2_lag_3d | soil_water_2_lag_7d | soil_water_2_lag_14d | soil_water_2_lag_30d | soil_water_3_lag_1d | soil_water_3_lag_3d | soil_water_3_lag_7d | soil_water_3_lag_14d | soil_water_3_lag_30d | soil_water_4_lag_1d | soil_water_4_lag_3d | soil_water_4_lag_7d | soil_water_4_lag_14d | soil_water_4_lag_30d | rh_pct_lag_1d | rh_pct_lag_3d | rh_pct_lag_7d | rh_pct_lag_14d | rh_pct_lag_30d | vpd_kpa_lag_1d | vpd_kpa_lag_3d | vpd_kpa_lag_7d | vpd_kpa_lag_14d | vpd_kpa_lag_30d | runoff_mm_lag_1d | runoff_mm_lag_3d | runoff_mm_lag_7d | runoff_mm_lag_14d | runoff_mm_lag_30d | evap_mm_lag_1d | evap_mm_lag_3d | evap_mm_lag_7d | evap_mm_lag_14d | evap_mm_lag_30d | era_precip_mm_api_hl7d | era_precip_mm_api_hl15d | era_precip_mm_api_hl30d | era_precip_mm_api_hl60d | chirps_precip_mm_api_hl7d | chirps_precip_mm_api_hl15d | chirps_precip_mm_api_hl30d | chirps_precip_mm_api_hl60d | soil_water_1_change_10d | soil_water_2_change_10d | soil_water_3_change_10d | soil_water_1_change_30d | soil_water_2_change_30d | soil_water_3_change_30d | sin_doy_h1.1 | cos_doy_h1.1 | sin_doy_h2.1 | cos_doy_h2.1 | sin_doy_h3.1 | cos_doy_h3.1 | precip_consensus_mm | sin_doy_h1_q | cos_doy_h1_q | sin_doy_h2_q | cos_doy_h2_q | precip_prev1d_mm | precip_sum_3d | precip_max1d_3d | wet_days_3d | heavy10_days_3d | heavy25_days_3d | precip_sum_7d | precip_max1d_7d | wet_days_7d | heavy10_days_7d | heavy25_days_7d | precip_sum_14d | precip_max1d_14d | wet_days_14d | heavy10_days_14d | heavy25_days_14d | precip_sum_30d | precip_max1d_30d | wet_days_30d | heavy10_days_30d | heavy25_days_30d | precip_sum_60d | precip_max1d_60d | wet_days_60d | heavy10_days_60d | heavy25_days_60d | precip_sum_90d | precip_max1d_90d | wet_days_90d | heavy10_days_90d | heavy25_days_90d | precip_api_hl7d | precip_api_hl15d | precip_api_hl30d | precip_api_hl60d | tmean_c_mean_7d | tmin_c_mean_7d | tmax_c_mean_7d | rh_pct_mean_7d | wind_ms_mean_7d | solar_mj_m2_sum_7d | precip_recent_ratio_7_30 | precip_recent_ratio_14_60
resultados\ml_residual\predicciones_test_ml_residual.csv,10,14,date,,,date | observed_level_m | physical_level_m | xgb_residual_level_m | rf_residual_level_m | selected_level_m | physical_delta_m | xgb_residual_prediction_m | rf_residual_prediction_m | xgb_hybrid_delta_m | rf_hybrid_delta_m | selected_delta_m | observed_delta_m | interval_weight
resultados\validacion\predicciones_validacion_test.csv,10,11,date,,,date | observed_level_m | physical_open_loop_level_m | frozen_level_m | physical_one_step_level_m | persistence_one_step_level_m | observed_delta_m | physical_delta_m | level_residual_m | delta_residual_m | interval_weight
