river,family,n_features,n_development,n_holdout,n_final_fit,n,mae,rmse,bias,r2_nse,pearson_r,highflow_threshold_train_q75,highflow_mae,baseline_mae,baseline_rmse,baseline_bias,baseline_r2_nse,baseline_pearson_r,baseline_highflow_mae,model_path,mae_change_vs_baseline_pct,mae_skill_vs_baseline
Quiscab,XGB_TWEEDIE,72,73,36,109,36,1.138050457435184,1.8832583886677987,-1.1190630554940966,-0.020062401300237065,0.7997452887044525,1.2345,1.9321519805335998,1.262131896551724,2.1139509356568933,-1.1650025862068965,-0.1623925700219644,0.5487900720010377,3.65975,./models/caudales_future_compatible\Quiscab_future_compatible_72f.joblib,-9.83109922628083,0.09831099226280826
San_Francisco,RF_LOG,72,77,38,115,38,0.4138987298986745,0.8294823250505186,-0.3922632700003778,0.08036358856876191,0.673093439283583,0.3439,0.5831990860872796,0.4966406451612903,0.988484062149812,-0.4831567741935483,-0.1207387037823255,0.5563628778654697,1.5098275,./models/caudales_future_compatible\San_Francisco_future_compatible_72f.joblib,-16.660318898334296,0.16660318898334292
Tzununa,XGB_TWEEDIE,72,72,38,110,38,0.10993418382500347,0.15089675135057318,-0.10753622280578863,-0.34086985906666256,0.7281042048083385,0.1255325,0.12897443296178696,0.1265587096774193,0.1759856926506866,-0.1254490322580645,-0.6305055326418494,0.5873387705107033,0.30029875,./models/caudales_future_compatible\Tzununa_future_compatible_72f.joblib,-13.13582122857404,0.1313582122857404
La_Catarata,RF_LOG,72,72,38,110,38,0.04611583147272452,0.1065062671302495,-0.045348589661083114,-0.10121530246251931,0.4602088471943599,0.028354999999999998,0.0626858905360083,0.0524529032258064,0.1194268684444652,-0.0524177419354838,-0.1389472950854788,0.4246137766257903,0.154373125,./models/caudales_future_compatible\La_Catarata_future_compatible_72f.joblib,-12.08145090806736,0.1208145090806736
San_Buenaventura,RF_LOG,72,74,38,112,38,0.02990595374376826,0.07889097862572614,-0.020818200709390403,0.1318716438185087,0.5529591437325617,0.0421825,0.052910271763326036,0.0453624193548387,0.0954453799343187,-0.0230014516129032,-0.0519058715581497,0.1924992761047885,0.0926516666666666,./models/caudales_future_compatible\San_Buenaventura_future_compatible_72f.joblib,-34.07328319542493,0.3407328319542493
