scenario,year,level_p50_m,water_area_lower_bound_km2,water_area_upper_bound_km2,certain_exposed_area_km2,uncertain_area_km2,storage_loss_p50_vs_anchor_km3,volume_raw_p50_km3,area_point_estimate_status,storage_change_status
ssp245,2030,1552.348610031073,111.092,120.094,1.9292,9.002,0.0511204258805584,24.67932165077698,REJECTED_BY_16C3,RETAINED_AS_PHYSICALLY_PLAUSIBLE
ssp245,2050,1550.3365020596582,111.0792,120.0812,1.942,9.002,0.2944844750466622,24.43595760161088,REJECTED_BY_16C3,RETAINED_AS_PHYSICALLY_PLAUSIBLE
ssp245,2090,1542.6391564663215,111.0348,120.0368,1.9864,9.002,1.2148833982394969,23.51555867841804,REJECTED_BY_16C3,RETAINED_AS_PHYSICALLY_PLAUSIBLE
ssp585,2030,1552.293234566714,111.0912,120.0932,1.93,9.002,0.0578329967148292,24.67260907994271,REJECTED_BY_16C3,RETAINED_AS_PHYSICALLY_PLAUSIBLE
ssp585,2050,1548.1447400878528,111.066,120.068,1.9552,9.002,0.5583137314313937,24.172128345226145,REJECTED_BY_16C3,RETAINED_AS_PHYSICALLY_PLAUSIBLE
ssp585,2090,1530.1243554409712,111.0032,120.0052,2.018,9.002,2.6749976362302483,22.05544444042729,REJECTED_BY_16C3,RETAINED_AS_PHYSICALLY_PLAUSIBLE
