scenario,year,horizon_role,level_p05_m,level_p50_m,level_p95_m,level_p50_change_vs_2026_m,current_reference_area_km2,water_area_lower_bound_p50_km2,water_area_upper_bound_p50_km2,water_area_bound_width_p50_km2,certain_exposed_area_p50_km2,uncertain_current_mask_area_p50_km2,known_new_exposed_coastal_area_p50_km2,robust_new_exposed_coastal_area_km2,ensemble_sensitive_new_exposed_coastal_area_km2,unknown_coastal_domain_area_km2,storage_loss_p50_vs_2026_km3,volume_raw_p50_km3,area_point_estimate_status,area_reporting_status,storage_change_status,spatial_shoreline_status
ssp245,2030,PRIMARY,1551.225733575015,1552.348610031073,1554.0239062558508,-0.4213899689273148,122.0232,111.092,120.094,9.001999999999995,1.9292,9.002,1.9312,0.0,1.9312,6.7992,0.0511204258805584,24.67932165077698,REJECTED,BOUNDS_ONLY,PHYSICALLY_PLAUSIBLE_NOT_INDEPENDENTLY_VALIDATED,PARTIAL_WITH_EXPLICIT_UNKNOWN
ssp245,2050,PRIMARY,1544.4745564340274,1550.3365020596582,1551.839102663566,-2.4334979403417947,122.0232,111.0792,120.0812,9.001999999999995,1.942,9.002,1.944,1.9348,0.0092,6.7992,0.2944844750466622,24.43595760161088,REJECTED,BOUNDS_ONLY,PHYSICALLY_PLAUSIBLE_NOT_INDEPENDENTLY_VALIDATED,PARTIAL_WITH_EXPLICIT_UNKNOWN
ssp245,2090,STRESS,1525.5466782680155,1542.6391564663215,1552.5232655348132,-10.130843533678444,122.0232,111.0348,120.0368,9.001999999999995,1.9864,9.002,1.9864,,,6.7992,1.2148833982394969,23.51555867841804,REJECTED,BOUNDS_ONLY,PHYSICALLY_PLAUSIBLE_NOT_INDEPENDENTLY_VALIDATED,PARTIAL_WITH_EXPLICIT_UNKNOWN
ssp585,2030,PRIMARY,1550.764842172001,1552.293234566714,1553.5025736984253,-0.4767654332861184,122.0232,111.0912,120.0932,9.001999999999995,1.93,9.002,1.932,0.0,1.932,6.7992,0.0578329967148292,24.67260907994271,REJECTED,BOUNDS_ONLY,PHYSICALLY_PLAUSIBLE_NOT_INDEPENDENTLY_VALIDATED,PARTIAL_WITH_EXPLICIT_UNKNOWN
ssp585,2050,PRIMARY,1540.105100681882,1548.1447400878528,1552.8101514045268,-4.625259912147158,122.0232,111.066,120.068,9.001999999999995,1.9552,9.002,1.9572,0.0,1.9572,6.7992,0.5583137314313937,24.172128345226145,REJECTED,BOUNDS_ONLY,PHYSICALLY_PLAUSIBLE_NOT_INDEPENDENTLY_VALIDATED,PARTIAL_WITH_EXPLICIT_UNKNOWN
ssp585,2090,STRESS,1511.9267681902936,1530.1243554409712,1554.5059061772022,-22.645644559028824,122.0232,111.0032,120.0052,9.001999999999995,2.018,9.002,2.018,,,6.7992,2.6749976362302483,22.05544444042729,REJECTED,BOUNDS_ONLY,PHYSICALLY_PLAUSIBLE_NOT_INDEPENDENTLY_VALIDATED,PARTIAL_WITH_EXPLICIT_UNKNOWN
