scenario,year,n_models,level_p05_m,level_p50_m,level_p95_m,expected_p50_15C_m,difference_vs_expected_m,change_p50_vs_anchor_m
ssp245,2030,15,1551.225733575015,1552.3486100310727,1554.0239062558508,1552.34861,3.107265911239665e-08,-0.42138996892731484
ssp245,2050,15,1544.4745564340274,1550.3365020596582,1551.839102663566,1550.336502,5.965807758911978e-08,-2.4334979403417947
ssp585,2030,15,1550.764842172001,1552.2932345667139,1553.5025736984253,1552.293235,-4.332862317824038e-07,-0.4767654332861184
ssp585,2050,15,1540.105100681882,1548.1447400878528,1552.8101514045268,1548.14474,8.785286809143145e-08,-4.625259912147158
