scenario,year,level_p05_m,level_p50_m,level_p95_m,change_p50_vs_anchor_m,new_exposed_total_pixels,new_exposed_total_area_km2,new_exposed_robust_pixels,new_exposed_robust_area_km2,new_exposed_ensemble_sensitive_pixels,new_exposed_ensemble_sensitive_area_km2,new_exposed_direct_pixels,new_exposed_direct_area_km2,new_exposed_ams_supported_pixels,new_exposed_ams_supported_area_km2,unknown_pixels,unknown_area_km2,already_exposed_anchor_pixels,remains_water_pixels
ssp245,2030,1551.225733575015,1552.348610031073,1554.0239062558508,-0.4213899689273148,4828,1.9312,0,0.0,4828,1.9312,4821,1.9284,7,0.0028,16998,6.7992,1442,222
ssp245,2050,1544.4745564340274,1550.3365020596582,1551.839102663566,-2.4334979403417947,4860,1.944,4837,1.9348,23,0.0092,4821,1.9284,39,0.0156,16998,6.7992,1442,190
ssp585,2030,1550.764842172001,1552.293234566714,1553.5025736984253,-0.4767654332861184,4830,1.932,0,0.0,4830,1.932,4821,1.9284,9,0.0036,16998,6.7992,1442,220
ssp585,2050,1540.105100681882,1548.1447400878528,1552.8101514045268,-4.625259912147158,4893,1.9572,0,0.0,4893,1.9572,4821,1.9284,72,0.0288,16998,6.7992,1442,157
