relative_level_m,wet_pixels,area_km2,volume_km3,mean_water_depth_m,area_pct_reference,volume_pct_reference,exposed_area_from_reference_km2,storage_loss_from_reference_km3,absolute_level_temporal_2014_median_m,absolute_level_temporal_2014_min_m,absolute_level_temporal_2014_max_m,absolute_level_area_anchored_2026_m,dA_dH_km2_per_m,dV_dH_numeric_km2,dVdH_minus_area_km2
-325.0,102894,5.738686506856591,0.0,0.0,4.534491245806233,0.0,120.81766117964669,25.315163370056663,1232.56,1232.31,1233.09,1230.3395226,1.0117185961703798,5.788971124067977,0.05028461721138644
-324.9,104708,5.839858366473652,0.0005788971124069293,0.0991286219765791,4.614433391314159,0.0022867603259936363,120.71648932002964,25.314584472944254,1232.6599999999999,1232.4099999999999,1233.19,1230.4395226000001,1.0203633802060075,5.840076644478059,0.00021827800440732403
-324.79999999999995,106553,5.942759182897839,0.0011680153288958774,0.19654428068652174,4.695741692561194,0.004613896074150688,120.61358850360544,25.313995354727766,1232.76,1232.51,1233.29,1230.5395226,1.0387684042818748,5.943140978390385,0.00038179549254646616
-324.69999999999993,108433,6.047612047330074,0.0017675253080852767,0.29226830263783393,4.778592427707225,0.006982081380426504,120.50873563917321,25.313395844748577,1232.8600000000001,1232.6100000000001,1233.3899999999999,1230.6395226,1.0716743564175253,6.048560210006276,0.0009481626762015694
-324.5999999999999,110396,6.1570940541813926,0.0023777273708974075,0.3861768798679712,4.865100934670874,0.009392502573022444,120.39925363232189,25.312785642685764,1232.96,1232.71,1233.49,1230.7395226,1.089242788489938,6.1563741388476245,-0.0007199153337680286
-324.4999999999999,112339,6.265460605028111,0.0029988001358550813,0.47862405095141874,4.950728050835096,0.011845865231121237,120.29088708147518,25.312164569920807,1233.06,1232.81,1233.5900000000001,1230.8395226000002,1.102628260545109,6.266005106477082,0.000544501448970891
-324.39999999999986,114350,6.3776197062904645,0.003630928392193109,0.5693234403129744,5.039351895717366,0.014342899309462295,120.17872798021283,25.31153244166447,1233.16,1232.91,1233.69,1230.9395226000001,1.1280048846497215,6.377655545893761,3.583960329667235e-05
-324.29999999999984,116384,6.491061581958107,0.004274331245034123,0.6584949458675018,5.128989340018976,0.016884470317461577,120.06528610454518,25.310889038811627,1233.2600000000002,1233.0100000000002,1233.79,1231.0395226,1.1514294607462807,6.491668780465252,0.0006071985071454122
-324.1999999999998,118479,6.607905598439773,0.0049292621482864545,0.7459643717444039,5.221315026258837,0.019471579449164826,119.94844208806352,25.310234107908375,1233.3600000000001,1233.1100000000001,1233.89,1231.1395226000002,1.1695556208209905,6.607585604809077,-0.00031999363069612485
-324.0999999999998,120578,6.724972706122358,0.00559584836599624,0.8320997884351006,5.313816990658579,0.022104729423216497,119.83137498038093,25.309567521690667,1233.46,1233.21,1233.9900000000002,1231.2395226000003,1.1829410928761661,6.725350541751596,0.0003778356292380991
