reference,H0_m,anchor_level_m,relative_anchor_m,wet_pixels,area_raw_km2,area_observed_anchor_km2,area_raw_minus_observed_km2,volume_raw_km3,volume_published_anchored_km3,mean_water_depth_m
primary_temporal_2014_median,1557.56,1552.77,-4.789999999999964,2176687,121.39992921404699,122.0232,-0.6232707859530109,24.73044207665754,24.875278706600877,203.71051479819164
sensitivity_temporal_2014_min,1557.31,1552.77,-4.539999999999964,2177924,121.46892016793139,122.0232,-0.554279832068616,24.760800589577972,24.905637219521314,203.8447411514488
sensitivity_temporal_2014_max,1558.09,1552.77,-5.319999999999936,2173086,121.19909136041908,122.0232,-0.8241086395809276,24.6661567403527,24.810993370296035,203.51767049969914
