scenario,year,level_p05_m,level_p50_m,level_p95_m,area_anchor_adjusted_p05_km2,area_anchor_adjusted_p50_km2,area_anchor_adjusted_p95_km2,area_loss_p50_vs_current_km2,area_p50_vertical_sensitivity_min_km2,area_p50_vertical_sensitivity_max_km2,volume_raw_p05_km3,volume_raw_p50_km3,volume_raw_p95_km3,volume_published_anchored_p50_km3,storage_loss_p50_vs_anchor_km3,volume_p50_vertical_sensitivity_min_km3,volume_p50_vertical_sensitivity_max_km3
ssp245,2030,1551.225733575015,1552.3486100310727,1554.0239062558508,121.53825550200091,121.84974659128497,122.37378782224522,0.17345340871503367,121.84974659128497,121.90691371152063,24.543372125439955,24.67932165077698,24.88288622381515,24.824158280720315,0.05112042588055843,24.61510950958558,24.709639301255905
ssp245,2050,1544.4745564340274,1550.3365020596582,1551.839102663566,119.60109883161537,121.29609000340263,121.7090318163049,0.7271099965973775,121.29609000340263,121.35052425642702,23.733435471104425,24.435957601610877,24.617590813906318,24.58079423155421,0.2944844750466622,24.372040651699596,24.46613444234084
ssp245,2090,1525.5466782680155,1542.6391564663215,1552.5232655348132,114.4620814728308,119.06824549821879,121.89849201868591,2.9549545017812164,119.06824549821879,119.07728069185603,21.531679970485815,23.515558678418042,24.700498911389726,23.660395308361377,1.2148833982394969,23.4528414388812,23.54517873208213
ssp585,2030,1550.764842172001,1552.2932345667139,1553.5025736984253,121.41354752068683,121.83507834482451,122.22916895124906,0.18812165517549317,121.83474370802314,121.89034918985234,24.48767205614898,24.67260907994271,24.819451432495764,24.817445709886048,0.05783299671482922,24.608405015747916,24.702920708977484
ssp585,2050,1540.105100681882,1548.1447400878528,1552.8101514045268,118.3056640006752,120.70194236255338,122.0344103328462,1.321257637446621,120.6991537225419,120.76412903480973,23.21643420221918,24.172128345226145,24.73531669109332,24.316964975169487,0.5583137314313937,24.10852390902973,24.2021564860358
ssp585,2090,1511.9267681902936,1530.1243554409712,1554.5059061772022,110.87248827723342,115.62416353842126,122.51160241161334,6.399036461578746,115.62076139760723,115.69131398989806,20.00522760919996,22.05544444042729,24.941602948493664,22.200281070370625,2.6749976362302483,21.994528973809615,22.084203001135215
