scenario,year,level_p05_m,level_p50_m,level_p95_m,p50_change_vs_2026_m,direct_wet_pixels,direct_exposed_pixels,ams_supported_wet_pixels,ams_supported_exposed_pixels,known_wet_area_km2,known_exposed_area_km2,unknown_area_km2,newly_exposed_direct_pixels,newly_exposed_ams_pixels,newly_exposed_area_vs_2026_km2,remains_wet_area_km2,already_exposed_at_anchor_area_km2,robust_wet_area_km2,ensemble_sensitive_area_km2,robust_exposed_area_km2,robust_unknown_area_km2
ssp245,2030,1551.225733575015,1552.3486100310727,1554.0239062558508,-0.42138996892731484,0,6181,222,89,0.0888,2.508,6.7992,4821,7,1.9312,0.0888,0.5768,0.0828,2.3776,0.1364,6.7992
ssp245,2050,1544.4745564340274,1550.3365020596582,1551.839102663566,-2.4334979403417947,0,6181,190,121,0.076,2.5208,6.7992,4821,39,1.944,0.076,0.5768,0.0408,0.0444,2.5116,6.7992
ssp585,2030,1550.764842172001,1552.2932345667139,1553.5025736984253,-0.4767654332861184,0,6181,220,91,0.088,2.5088,6.7992,4821,9,1.932,0.088,0.5768,0.0788,2.0568,0.4612,6.7992
ssp585,2050,1540.105100681882,1548.1447400878528,1552.8101514045268,-4.625259912147158,0,6181,157,154,0.0628,2.534,6.7992,4821,72,1.9572,0.0628,0.5768,0.0188,2.0364,0.5416,6.7992
