depth_lo_m,depth_hi_m,pixels,area_km2,area_pct_reference,reference_volume_contribution_km3,volume_pct_reference,mean_depth_in_band_m
0.0,1.0,73413,4.094448583278547,3.2352771379125405,0.00013964085722995888,0.0005516095440060608,0.03410492387185975
1.0,2.0,4966,0.2769677259417442,0.21884933549744157,0.00041321955664537713,0.0016323005726052015,1.4919411828231979
2.0,5.0,15115,0.8430058754751235,0.6661110966660952,0.0029468129174228665,0.011640505235326358,3.495601873192193
5.0,10.0,25426,1.4180792186457487,1.1205121233100985,0.010466420336434286,0.041344470835271006,7.380702148945961
10.0,20.0,52699,2.9391707993161456,2.3224206869471757,0.04368961361871481,0.172582783607045,14.864605224330631
20.0,30.0,47290,2.63749572287255,2.0840485452424513,0.06571547528850248,0.25958937861816134,24.915860419644748
30.0,50.0,94628,5.277668540156135,4.170212428403524,0.21193754034386922,0.8371960206053959,40.15741775583337
50.0,75.0,116893,6.519449937275132,5.151420735864365,0.3916716059699903,1.5471818223905602,60.07740066084368
75.0,100.0,104581,5.832775220844452,4.608836559737804,0.5140661370987821,2.0306649006533015,88.13405585418002
100.0,150.0,257819,14.379287582475744,11.361964725858817,1.8029749759546654,7.122114716775893,125.38694741399974
150.0,200.0,230556,12.858753729807647,10.160496857621453,2.257922190797572,8.919247953455013,175.59417018490083
200.0,250.0,249681,13.925408534204717,11.003326809572432,3.139358101923431,12.401097539969795,225.44100549813564
250.0,300.0,321351,17.92264512668253,14.161790739315009,4.9635086627610665,19.606860086994402,276.94063168006323
300.0,325.0,674723,37.63119108952708,29.734732218050798,11.910352972632339,47.048295910743235,316.5021522783275
