reference,H0_m,anchor_level_m,anchor_relative_level_m,anchor_wet_pixels,anchor_area_km2,anchor_area_error_vs_sentinel_km2,anchor_area_error_vs_sentinel_pct,anchor_volume_km3,anchor_mean_depth_m
temporal_2014_median,1557.56,1552.77,-4.789999999999964,2176687,121.39992921404699,-0.6232707859530109,-0.51078056136293,24.73044207665754,203.71051479819164
temporal_2014_min,1557.31,1552.77,-4.539999999999964,2177924,121.46892016793139,-0.554279832068616,-0.4542413508813209,24.760800589577972,203.8447411514488
temporal_2014_max,1558.09,1552.77,-5.319999999999936,2173086,121.19909136041908,-0.8241086395809276,-0.6753704537997098,24.6661567403527,203.51767049969914
area_anchored_2026,1555.3395226,1552.77,-2.5695226000000275,2187861,122.02313448381602,-6.551618398020764e-05,-5.369157994562316e-05,25.000698749885697,204.88490855151366
