relative_level_m,wet_pixels,area_km2,volume_km3,mean_water_depth_m,area_pct_reference,volume_pct_reference,exposed_area_km2,storage_loss_km3
0.0,2269141,126.55634768650329,25.31516337005664,200.0307675816122,100.0,99.99999999999993,0.0,2.1316282072803006e-14
-0.5,2198229,122.60138687659976,25.253828313624187,205.98321892592102,96.87494078155567,99.7577141591548,3.9549608099035254,0.061335056432476165
-1.0,2195728,122.46189910322475,25.192561830096153,205.7175498222595,96.76472286208747,99.51569919510958,4.094448583278535,0.1226015399605096
-2.0,2190762,122.18493137728301,25.07024064688819,205.18275342379354,96.54587352659003,99.0325058559244,4.37141630922028,0.24492272316847163
-5.0,2175647,121.34192550180788,24.704954069215972,203.59784111756073,95.87976242992393,97.58955021573173,5.214422184695408,0.6102093008406904
-10.0,2150221,119.92384628316213,24.101958813557008,200.97719978600315,94.75925030661382,95.20759736461089,6.632501403341152,1.2132045564996545
-20.0,2097522,116.98467548384598,22.917814153093058,195.90441276436846,92.43682961966664,90.5299871783595,9.571672202657311,2.3973492169636046
-30.0,2050232,114.34717976097343,21.761376794652243,190.30969404003943,90.3527810744242,85.96182642215172,12.209167925529854,3.55378657540442
-40.0,2004222,111.78107322239516,20.630624419961094,184.56276921688905,88.325141540345,81.49512653101601,14.775274464108122,4.684538950095568
-50.0,1955604,109.0695112208173,19.52637908609714,179.0269239087805,86.18256864602068,77.1331347961727,17.486836465685982,5.788784283959522
-75.0,1838711,102.55006128354218,16.89692844490246,164.7676094330543,81.03114791015632,66.74627454661629,24.00628640296111,8.418234925154202
-100.0,1734130,96.71728606269772,14.402388297799407,148.91224603286477,76.42231135041852,56.89233795281318,29.839061623805563,10.912775072257256
-150.0,1476311,82.33799848022197,9.920442156080863,120.48437342649042,65.0603466245597,39.187746928842586,44.21834920628132,15.3947212139758
-200.0,1245755,69.47924475041432,6.117370787234193,88.04601732804117,54.899849766938246,24.164848149745517,57.07710293608896,19.19779258282247
-250.0,996074,55.5538362162096,2.985402581341681,53.73890958174,43.896522957365804,11.79294218923699,71.00251147029368,22.32976078871498
-300.0,674723,37.63119108952708,0.6209956457744081,16.502152278332584,29.734732218050798,2.4530580217741575,88.92515659697621,24.694167724282256
-325.0,102894,5.738686506856591,0.0,0.0,4.534491245806233,0.0,120.81766117964669,25.315163370056663
