metric,raster_value,published_value,difference,difference_pct_published
area_km2,126.55634768650329,125.77,0.7863476865032908,0.6252267524078006
volume_km3,25.315163370056663,25.46,-0.14483662994333812,-0.5688791435323571
max_depth_m,325.0,327.56,-2.5600000000000023,-0.7815362071070956
mean_depth_m,200.03076758161237,202.4330126421245,-2.4022450605121435,-1.1866864150063325
