scenario,year,quantile,absolute_level_m,reference,H0_m,relative_level_m,wet_pixels,area_km2,volume_km3,mean_water_depth_m,area_pct_reference,volume_pct_reference,exposed_area_vs_reference_km2,storage_loss_vs_reference_km3,area_change_vs_current_sentinel_km2
ssp245,2030,p05,1551.225733575015,temporal_2014_median,1557.56,-6.3342664249848895,2167992,120.9149847160479,24.543372125439955,202.9804013379869,95.54241010144368,96.9512689555478,5.64136297045539,0.7717912446167077,-1.1082152839521058
ssp245,2030,p05,1551.225733575015,temporal_2014_min,1557.31,-6.0842664249848895,2169283,120.98698740114472,24.573609847316785,203.10952752167032,95.59930387754662,97.07071405426123,5.56936028535857,0.7415535227398777,-1.0362125988552862
ssp245,2030,p05,1551.225733575015,temporal_2014_max,1558.09,-6.864266424984862,2165428,120.77198325625841,24.479325028562283,202.69042843008677,95.42941580095729,96.6982700080734,5.784364430244878,0.8358383414943802,-1.251216743741594
ssp245,2030,p05,1551.225733575015,area_anchored_2026,1555.3395226,-4.113789024984953,2180118,121.59128569163582,24.812597809871946,204.06559293071763,96.07679734313558,98.01476469719661,4.965061994867469,0.502565560184717,-0.43191430836418476
ssp245,2030,p50,1552.3486100310727,temporal_2014_median,1557.56,-5.2113899689272785,2173577,121.22647580533196,24.67932165077698,203.5802945423206,95.78853848218334,97.48829699423638,5.329871881171329,0.6358417192796821,-0.7967241946680446
ssp245,2030,p50,1552.3486100310727,temporal_2014_min,1557.31,-4.9613899689272785,2175839,121.35263387945201,24.709639301255905,203.61848368121704,95.8882237815984,97.60805782704534,5.2037138070512725,0.6055240688007579,-0.6705661205479885
ssp245,2030,p50,1552.3486100310727,temporal_2014_max,1558.09,-5.741389968927251,2170954,121.0801837503289,24.61510950958558,203.29593784184124,95.67294407883865,97.23464608844232,5.4761639361743875,0.7000538604710833,-0.9430162496711034
ssp245,2030,p50,1552.3486100310727,area_anchored_2026,1555.3395226,-2.9909125689273424,2185759,121.90590005773275,24.949304548631762,204.6603530823049,96.32539361811364,98.55478388159388,4.650447628770536,0.3658588214249008,-0.11729994226725182
ssp245,2030,p95,1554.0239062558508,temporal_2014_median,1557.56,-3.536093744149184,2182973,121.75051703629221,24.88288622381515,204.37602097737204,96.20261587975361,98.29241810561325,4.805830650211078,0.43227714624151403,-0.2726829637077941
ssp245,2030,p95,1554.0239062558508,temporal_2014_min,1557.31,-3.286093744149184,2184246,121.82151581098489,24.91333278453221,204.5068362405463,96.25871640413708,98.412688159857,4.734831875518395,0.40183058552445416,-0.20168418901511131
ssp245,2030,p95,1554.0239062558508,temporal_2014_max,1558.09,-4.066093744149157,2180341,121.6037230260871,24.81839742941824,204.09241437529064,96.08662485054919,98.03767436387155,4.952624660416191,0.49676594063842217,-0.41947697391290717
ssp245,2030,p95,1554.0239062558508,area_anchored_2026,1555.3395226,-1.315616344149248,2194116,122.37199334925413,25.153925067546858,205.5529568416577,96.69368276365373,99.36307619211132,4.184354337249161,0.16123830250980475,0.3487933492541231
ssp245,2050,p05,1544.4745564340274,temporal_2014_median,1557.56,-13.085443565972582,2133259,118.97782804566236,23.733435471104425,199.47780070414294,94.01174276962075,93.7518558508568,7.578519640840923,1.5817278989522379,-3.0453719543376394
ssp245,2050,p05,1544.4745564340274,temporal_2014_min,1557.31,-12.835443565972582,2134583,119.05167123316677,23.763189041880096,199.60399375947506,94.07009084054276,93.86938845509377,7.504676453336515,1.5519743281765663,-2.971528766833231
ssp245,2050,p05,1544.4745564340274,temporal_2014_max,1558.09,-13.615443565972555,2130402,118.81848515540551,23.67042011113588,199.21496289215247,93.88583609392278,93.5029324722185,7.737862531097775,1.6447432589207835,-3.2047148445944913
ssp245,2050,p05,1544.4745564340274,area_anchored_2026,1555.3395226,-10.864966165972646,2145185,119.64297446120429,23.998357328570457,200.5830884483085,94.53731610331839,94.79835060814281,6.913373225298997,1.3168060414862062,-2.380225538795713
ssp245,2050,p50,1550.3365020596582,temporal_2014_median,1557.56,-7.223497940341758,2163650,120.67281921744961,24.435957601610877,202.49761097880582,95.35106015888832,96.52695992676969,5.883528469053672,0.8792057684457859,-1.3503807825503884
ssp245,2050,p50,1550.3365020596582,temporal_2014_min,1557.31,-6.973497940341758,2164901,120.74259099053724,24.46613444234084,202.6305236754302,95.40619115339241,96.6461645326766,5.813756695966049,0.8490289277158212,-1.280609009462765
ssp245,2050,p50,1550.3365020596582,temporal_2014_max,1558.09,-7.753497940341731,2161025,120.5264156168461,24.372040651699596,202.21327023594895,95.23537761646368,96.27447508605607,6.0299320696571925,0.943122718357067,-1.4967843831539085
ssp245,2050,p50,1550.3365020596582,area_anchored_2026,1555.3395226,-5.003020540341822,2174609,121.28403333516923,24.70458772379113,203.69200334490722,95.83401824743372,97.5881030774317,5.27231435133406,0.6105756462655343,-0.7391666648307762
ssp245,2050,p95,1551.839102663566,temporal_2014_median,1557.56,-5.720897336433836,2171054,121.08576103035189,24.617590813906318,203.3070660367371,95.67735103283579,97.24444774085302,5.470586656151397,0.6975725561503445,-0.9374389696481131
ssp245,2050,p95,1551.839102663566,temporal_2014_min,1557.31,-5.470897336433836,2172323,121.15653671384366,24.64787127205094,203.43822909255056,95.73327527905937,97.36406165644179,5.399810972659623,0.6672920980057242,-0.8666632861563386
ssp245,2050,p95,1551.839102663566,temporal_2014_max,1558.09,-6.250897336433809,2168427,120.93924588414791,24.553453718758117,203.02304301019672,95.56158035133119,96.99109328206228,5.6171018023553785,0.7617096512985455,-1.0839541158520944
ssp245,2050,p95,1551.839102663566,area_anchored_2026,1555.3395226,-3.5004199364339,2183133,121.75944068432901,24.88722968428973,204.3967149028866,96.20966700614903,98.309575650327,4.7969070021742795,0.42793368576693425,-0.2637593156709954
ssp245,2090,p05,1525.5466782680155,temporal_2014_median,1557.56,-32.01332173198443,2041117,113.83881068687779,21.531679970485815,189.141821146659,89.95108721758587,85.05447764936791,12.717536999625494,3.783483399570848,-8.18438931312221
ssp245,2090,p05,1525.5466782680155,temporal_2014_min,1557.31,-31.763321731984433,2042237,113.9012762231353,21.56014742048323,189.28802323730238,90.00044510235372,85.16692981719032,12.655071463367989,3.7550159495734334,-8.121923776864705
ssp245,2090,p05,1525.5466782680155,temporal_2014_max,1558.09,-32.543321731984406,2038793,113.70919469914347,21.47137951370996,188.82711789947885,89.84866960669258,84.8162786857887,12.84715298735982,3.843783856346704,-8.314005300856536
ssp245,2090,p05,1525.5466782680155,area_anchored_2026,1555.3395226,-29.792844331984497,2051146,114.39815610038357,21.785069826838708,190.43200143647823,90.39306063395796,86.05541867688112,12.158191586119713,3.530093543217955,-7.625043899616429
ssp245,2090,p50,1542.6391564663215,temporal_2014_median,1557.56,-14.920843533678408,2123705,118.44497471226578,23.515558678418042,198.53572290038952,93.59070238473502,92.89119858587509,8.111372974237511,1.7996046916386206,-3.5782252877342273
ssp245,2090,p50,1542.6391564663215,temporal_2014_min,1557.31,-14.670843533678408,2124965,118.51524844055547,23.54517873208213,198.66792705490428,93.64623000509884,93.00820377059819,8.04109924594782,1.769984637974531,-3.5079515594445354
ssp245,2090,p50,1542.6391564663215,temporal_2014_max,1558.09,-15.45084353367838,2120266,118.2531720522751,23.4528414388812,198.32737703233548,93.43914723677375,92.64345284305668,8.303175634228182,1.8623219311754617,-3.7700279477248984
ssp245,2090,p50,1542.6391564663215,area_anchored_2026,1555.3395226,-12.700366133678472,2135289,119.09104683012909,23.77927291656701,199.67305309261118,94.10120393576248,93.93292300334772,7.465300856374199,1.5358904534896531,-2.932153169870915
ssp245,2090,p95,1552.5232655348132,temporal_2014_median,1557.56,-5.0367344651867825,2174451,121.2752212327329,24.700498911389726,203.67308886609487,95.82705526011827,97.57195144395563,5.2811264537703835,0.6146644586669368,-0.7479787672670994
ssp245,2090,p95,1552.5232655348132,temporal_2014_min,1557.31,-4.7867344651867825,2176707,121.40104467005159,24.730838514493094,203.71190858948137,95.92647614229351,97.69179899405776,5.155303016451697,0.584324855563569,-0.6221553299484128
ssp245,2090,p95,1552.5232655348132,temporal_2014_max,1558.09,-5.566734465186755,2171841,121.12965422413284,24.636261224259517,203.38753034557246,95.71203376079318,97.31819962655202,5.4266934623704515,0.6789021457971458,-0.8935457758671674
